Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-62089-13111-6,131.202.240.87,62089,131.202.6.26,13111,6,16/04/2015 03:40:31 上午,3291,3,3,2.0,2.0,2.0,0.0,0.6666666666666667,1.1547005383792515,2.0,0.0,0.6666666666666666,1.1547005383792515,1215.436037678517,1823.1540565177756,658.2,666.2163312318304,1534.0,60.0,2064.0,1032.0,709.9352083112938,1534.0,530.0,3229.0,1614.5,632.86056916196,2062.0,1167.0,0,0,0,0,60,84,911.5770282588878,911.5770282588878,0.0,2.0,0.5714285714285715,0.9759000729485333,0.9523809523809526,0,1,0,0,0,0,0,0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,0,0,0,3,2,3,2,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-62089-13111-6,131.202.6.26,13111,131.202.240.87,62089,6,16/04/2015 03:40:31 上午,55,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18181.81818181818,18181.81818181818,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,6,16/04/2015 03:39:52 上午,112313411,29,31,1537.0,4141.0,293.0,0.0,53.0,74.82598860976427,442.0,0.0,133.58064516129033,128.16493909374447,50.55495999493774,0.5342193729651751,1903617.135593221,5165768.491650977,3.1366851E7,25.0,1.12203714E8,4007275.5000000005,6991290.572357256,3.1421908E7,19634.0,1.12313411E8,3743780.366666667,6822157.722655578,3.1421758E7,81.0,0,1,0,0,580,620,0.2582060302665013,0.2760133426986738,0.0,442.0,95.0,111.6049580738538,12455.666666666662,0,0,0,1,1,0,0,0,1.0,96.58333333333333,53.0,133.58064516129033,0,0,0,0,0,0,29,1537,31,4141,-1,16384,12,0,3311792.1428571427,4243731.583465918,1.2543183E7,54907.0,1.2249903428571427E7,1.0331402561145991E7,3.1366851E7,5055891.0,No Label
131.202.240.87-64.12.104.85-1254-443-6,64.12.104.85,443,131.202.240.87,1254,6,16/04/2015 03:39:52 上午,112223504,27,29,3130.0,1963.0,405.0,0.0,115.92592592592591,115.76665054719938,277.0,0.0,67.6896551724138,83.24795297709636,45.3826499660891,0.4990042014728037,2040427.3454545457,5856898.506086551,3.6513668E7,38.0,1.04342395E8,4013169.0384615394,8022840.838636969,3.6533946E7,392.0,1.12223504E8,4007982.285714286,7790583.070992967,3.6533913E7,19515.0,0,1,0,0,540,580,0.24059131142438753,0.2584128900484162,0.0,405.0,94.21052631578944,104.28647646235025,10875.669172932334,0,0,0,1,1,0,0,0,1.0,95.89285714285714,115.92592592592592,67.6896551724138,0,0,0,0,0,0,27,3130,29,1963,-1,63831,18,0,3845861.833333333,4434158.1372083435,1.2630116E7,19515.0,1.4282009E7,1.254973887415806E7,3.6513668E7,5536283.0,No Label
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,6,16/04/2015 03:39:59 上午,119998958,5,5,30.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.3000026050226203,0.08333405695072786,1.3333217555555558E7,1.5574059956183335E7,2.9828547E7,171818.0,8.999853E7,2.24996325E7,1.480014823478514E7,2.9999401E7,300420.0,9.048474E7,2.2621185E7,1.4966930967760736E7,3.0313093E7,171881.0,0,1,0,0,100,100,0.04166702847536393,0.04166702847536393,0.0,6.0,3.8181818181818183,3.027149874657078,9.163636363636364,0,0,0,1,1,0,0,0,1.0,4.2,6.0,1.2,0,0,0,0,0,0,5,30,5,6,-1,16384,5,0,250386.75,157032.17162601853,485935.0,171818.0,2.974935275E7,156757.619815593,2.9828547E7,2.9514218E7,No Label
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,6,16/04/2015 03:39:59 上午,119999009,5,5,30.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.30000247752046016,0.08333402153346116,1.3333223222222222E7,1.5573266602518119E7,2.9828878E7,171310.0,8.9998821E7,2.249970525E7,1.4799861457584579E7,3.0000064E7,300931.0,9.0489165E7,2.262229125E7,1.4968065826560834E7,3.0317146E7,171310.0,0,1,0,0,100,100,0.04166701076673058,0.04166701076673058,0.0,6.0,3.8181818181818183,3.027149874657078,9.163636363636364,0,0,0,1,1,0,0,0,1.0,4.2,6.0,1.2,0,0,0,0,0,0,5,30,5,6,-1,16384,5,0,251239.75,159141.71637542642,489952.0,171310.0,2.97485125E7,159113.82528135908,2.9828878E7,2.9509844E7,No Label
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,6,16/04/2015 03:40:04 上午,119999650,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.2500007291687934,0.07500021875063802,1.499995625E7,1.5849979019183824E7,2.9827368E7,173255.0,8.9999915E7,2.9999971666666668E7,1759.8131529606583,3.0001022E7,2.999794E7,9.0172282E7,2.25430705E7,1.4913093700291801E7,3.0000669E7,173430.0,0,1,0,0,80,100,0.03333343055583912,0.0416667881947989,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,173658.5,489.27054547220257,174364.0,173255.0,2.9826254E7,1135.5723960478015,2.9827368E7,2.9824685E7,No Label
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,6,16/04/2015 03:40:04 上午,119999580,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.2500008750030625,0.07500026250091876,1.49999475E7,1.5848674264748212E7,2.9826779E7,174290.0,8.9999783E7,2.9999927666666668E7,1823.1854906545666,3.0001069E7,2.9997825E7,9.0172801E7,2.254320025E7,1.491179820583414E7,3.0000183E7,175503.0,0,1,0,0,80,100,0.033333450000408334,0.04166681250051042,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,174870.25,573.7765970596305,175503.0,174290.0,2.982502475E7,1518.249732422173,2.9826779E7,2.9823334E7,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,16/04/2015 03:40:16 上午,84027357,14,1,700.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,8.925664530897956,0.17851329061795912,6001954.071428572,1.4103222159674825E7,5.3823323E7,749359.0,8.3277827E7,6405986.692307692,1.4594523143452331E7,5.3823323E7,749359.0,0,0,0,0,0,0,0,0,0,112,8,0.16661240457676182,0.011900886041197274,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,53.333333333333336,50.0,50.0,0,0,0,0,0,0,14,700,1,50,-1,-1,14,0,1500455.75,792.633742657982,1501553.0,1499680.0,1.9131077E7,2.3240895750382528E7,5.3823323E7,5817468.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,16/04/2015 03:40:15 上午,76501666,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0522864430168096,2.5500555333333336E7,4.4166260403974436E7,7.649936E7,1145.0,7.6500505E7,3.82502525E7,5.409240657516647E7,7.649936E7,1145.0,0,0,0,0,0,0,0,0,0,0,0,0.0392148322626072,0.0130716107542024,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,1161.0,0.0,1161.0,1161.0,7.649936E7,0.0,7.649936E7,7.649936E7,No Label
