Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-19597-13000-6,131.202.240.87,19597,131.202.6.26,13000,6,14/04/2015 10:59:26 下午,117195,14,13,8324.0,5828.0,1350.0,0.0,594.5714285714286,569.7641501649492,1350.0,0.0,448.30769230769226,541.6158516598556,120756.0049490166,230.38525534365803,4507.5,11968.419799622672,51996.0,3.0,80129.0,6163.7692307692305,15954.092229236183,58879.0,3.0,117195.0,9766.25,24745.893316320737,88096.0,122.0,0,0,0,0,280,284,119.45902128930416,110.92623405435386,0.0,1350.0,505.42857142857144,549.393701414058,301833.43915343913,0,1,0,0,0,0,0,0,0.0,524.1481481481482,594.5714285714286,448.3076923076923,0,0,0,0,0,0,14,8324,13,5828,-1,32239,10,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-19597-13000-6,131.202.240.87,19597,131.202.6.26,13000,6,14/04/2015 10:59:26 下午,156,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12820.51282051282,156.0,0.0,156.0,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6410.25641025641,6410.25641025641,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32213,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.164-19568-443-6,74.125.226.164,443,131.202.240.87,19568,6,14/04/2015 10:59:28 下午,77,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,714285.7142857143,25974.025974025975,77.0,0.0,77.0,77.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,12987.012987012988,12987.012987012988,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,352,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.164-19568-443-6,131.202.240.87,19568,74.125.226.164,443,6,14/04/2015 10:59:28 下午,1216,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.7368421052631,1216.0,0.0,1216.0,1216.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,822.3684210526316,822.3684210526316,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16459,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-224.0.0.252-60190-5355-17,131.202.240.87,60190,224.0.0.252,5355,17,14/04/2015 10:59:15 下午,411639,1,1,22.0,22.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,106.88977477838593,4.858626126290269,411639.0,0.0,411639.0,411639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.4293130631451345,2.4293130631451345,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,33.0,22.0,22.0,0,0,0,0,0,0,1,22,1,22,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,14/04/2015 10:58:46 下午,65139125,6,1,300.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,5.373114852248936,0.10746229704497871,1.0856520833333334E7,1.5759776131598588E7,3.3923192E7,749259.0,3.6925647E7,7385129.4,1.4835228040781185E7,3.3923192E7,749259.0,0,0,0,0,0,0,0,0,0,48,8,0.09211054032426746,0.015351756720711245,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,57.142857142857146,50.0,50.0,0,0,0,0,0,0,6,300,1,50,-1,-1,6,0,1501838.0,0.0,1501838.0,1501838.0,3.1068335E7,4037377.488035767,3.3923192E7,2.8213478E7,No Label
131.202.240.87-131.202.244.3-62686-53-17,131.202.240.87,62686,131.202.244.3,53,17,14/04/2015 10:58:47 下午,76088,1,3,34.0,328.0,34.0,34.0,34.0,0.0,153.0,34.0,109.33333333333333,65.51590137770626,4757.649037956051,52.570707601724315,25362.666666666668,43318.89830470453,75383.0,312.0,0,0,0,0,0,76088.0,38044.0,53246.5548369094,75695.0,393.0,0,0,0,0,8,24,13.142676900431079,39.42803070129324,34.0,153.0,79.19999999999999,62.037891646960404,3848.7,0,0,0,0,0,0,0,0,3.0,99.0,34.0,109.33333333333333,0,0,0,0,0,0,1,34,3,328,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.233.171.188-1187-5228-6,131.202.240.87,1187,64.233.171.188,5228,6,14/04/2015 10:59:28 下午,45075638,1,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.044369865602345994,0.08873973120469199,1.5025212666666668E7,2.5956645326841377E7,4.4997365E7,39073.0,0,0,0,0,0,4.5075638E7,2.2537819E7,3.1817852124465E7,4.5036438E7,39200.0,0,0,0,0,20,84,0.022184932801172997,0.066554798403519,0.0,1.0,0.6,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,3.0,0.75,1.0,0.3333333333333333,0,0,0,0,0,0,1,1,3,1,-1,361,1,0,39200.0,0.0,39200.0,39200.0,4.4997365E7,0.0,4.4997365E7,4.4997365E7,No Label
131.202.240.87-209.148.205.35-19596-443-6,131.202.240.87,19596,209.148.205.35,443,6,14/04/2015 10:58:48 下午,59080634,3,3,37.0,111.0,37.0,0.0,12.333333333333332,21.361959960016154,37.0,37.0,37.0,0.0,2.5050509782951886,0.10155612074169684,1.18161268E7,2.633895541977663E7,5.8932676E7,21926.0,5.9007957E7,2.95039785E7,4.1618463127475195E7,5.8932676E7,75281.0,5.9029528E7,2.9514764E7,4.170917149247259E7,5.9007602E7,21926.0,0,1,0,0,60,60,0.05077806037084842,0.05077806037084842,0.0,37.0,26.42857142857143,18.054151349547865,325.95238095238096,0,0,0,1,1,0,0,0,1.0,30.833333333333332,12.333333333333334,37.0,0,0,0,0,0,0,3,37,3,111,-1,490,1,0,72677.0,0.0,72677.0,72677.0,5.8932676E7,0.0,5.8932676E7,5.8932676E7,No Label
131.202.240.87-131.202.244.3-65075-53-17,131.202.240.87,65075,131.202.244.3,53,17,14/04/2015 11:00:29 下午,5006809,2,4,84.0,501.0,42.0,42.0,42.0,0.0,161.0,42.0,125.25,55.78754341248591,116.84088608133445,1.198368062372661,1001361.8,2211883.0929990853,4957932.0,372.0,1134.0,1134.0,0.0,1134.0,1134.0,5006809.0,1668936.3333333335,2848830.6735793077,4958374.0,1064.0,0,0,0,0,16,32,0.399456020790887,0.798912041581774,42.0,161.0,89.57142857142857,59.46667734358221,3536.285714285714,0,0,0,0,0,0,0,0,2.0,104.5,42.0,125.25,0,0,0,0,0,0,2,84,4,501,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-77.72.169.132-30315-11113-17,131.202.240.87,30315,77.72.169.132,11113,17,14/04/2015 10:59:41 下午,143274,1,3,18.0,193.0,18.0,18.0,18.0,0.0,108.0,18.0,64.33333333333333,45.05922029211484,1472.7026536566298,27.918533718609098,47758.0,82559.93646436509,143090.0,71.0,0,0,0,0,0,143161.0,71580.5,101129.70473851883,143090.0,71.0,0,0,0,0,8,24,6.979633429652274,20.938900288956823,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,3.0,79.75,18.0,64.33333333333333,0,0,0,0,0,0,1,18,3,193,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.244.3-62689-53-17,131.202.240.87,62689,131.202.244.3,53,17,14/04/2015 10:58:49 下午,5006128,2,4,84.0,501.0,42.0,42.0,42.0,0.0,161.0,42.0,125.25,55.78754341248591,116.8567803300275,1.1985310803079745,1001225.6,2237945.3807002977,5004584.0,303.0,704.0,704.0,0.0,704.0,704.0,5006128.0,1668709.3333333335,2889299.4853857453,5004985.0,419.0,0,0,0,0,16,32,0.39951036010265817,0.7990207202053163,42.0,161.0,89.57142857142857,59.46667734358221,3536.285714285714,0,0,0,0,0,0,0,0,2.0,104.5,42.0,125.25,0,0,0,0,0,0,2,84,4,501,-1,-1,2,0,419.0,0.0,419.0,419.0,5004584.0,0.0,5004584.0,5004584.0,No Label
131.202.240.87-173.252.110.27-19572-443-6,173.252.110.27,443,131.202.240.87,19572,6,14/04/2015 10:58:49 下午,105185430,91,64,25908.0,17513.0,1350.0,0.0,284.70329670329687,452.30180421939735,1350.0,0.0,273.64062499999994,382.07887356539356,412.80432090261934,1.4735881195713132,683022.2727272727,3832803.1928703804,3.4405043E7,11.0,1.04966946E8,1166299.4,4992310.075451493,3.45475E7,19.0,1.05044966E8,1667380.4126984128,5881569.490056269,3.4405043E7,11.0,0,1,0,0,1820,1280,0.865138831490255,0.6084492880810584,0.0,1350.0,285.6410256410256,427.6450887347372,182880.32191894125,0,0,0,1,1,0,0,0,0.0,287.48387096774195,284.7032967032967,273.640625,0,0,0,0,0,0,91,25908,64,17513,-1,16366,66,0,1164215.6,1974939.4846862522,4694401.0,195191.0,1.87320444E7,1.1622091511720074E7,3.4405043E7,6442842.0,No Label
131.202.240.87-173.252.110.27-19524-443-6,131.202.240.87,19524,173.252.110.27,443,6,14/04/2015 10:58:47 下午,107096603,54,62,24847.0,22693.0,1350.0,0.0,460.1296296296297,588.8916370925946,1350.0,0.0,366.0161290322578,490.70957294665783,443.89829993020413,1.083134261504074,931274.8086956523,5332182.755007246,4.5139968E7,4.0,1.07096592E8,2020690.4150943398,7758513.325376753,4.5191549E7,4.0,1.07081835E8,1755439.9180327868,7269351.650813779,4.5192228E7,18.0,0,0,0,0,1080,1240,0.5042176734587931,0.5789165880452809,0.0,1350.0,417.86324786324775,542.9851065777241,294832.82596522244,0,0,0,0,1,0,0,0,1.0,421.4655172413793,460.1296296296296,366.01612903225805,0,0,0,0,0,0,54,24847,62,22693,-1,973,25,0,2299477.0,3622417.634343671,6482277.0,201175.0,3.1628934333333332E7,1.273451429433633E7,4.5139968E7,1.98478E7,No Label
131.202.240.87-131.202.244.3-62692-53-17,131.202.240.87,62692,131.202.244.3,53,17,14/04/2015 10:58:53 下午,67678,1,3,41.0,963.0,41.0,41.0,41.0,0.0,473.0,41.0,321.0,242.7838544878963,14834.953751588404,59.10340140075061,22559.333333333332,37068.91064400643,65357.0,549.0,0,0,0,0,0,67678.0,33839.0,47079.16949140033,67129.0,549.0,0,0,0,0,8,24,14.775850350187653,44.32755105056296,41.0,473.0,209.0,230.19991311901055,52992.0,0,0,0,0,0,0,0,0,3.0,261.25,41.0,321.0,0,0,0,0,0,0,1,41,3,963,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
