Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-74.125.226.163-19464-443-6,131.202.240.87,19464,74.125.226.163,443,6,14/04/2015 10:45:37 下午,311982,5,6,182.0,3899.0,182.0,0.0,36.4,81.39287438099234,1350.0,0.0,649.8333333333334,713.9889121454665,13080.882871447713,35.25844439743319,31198.199999999997,44920.77073346904,136432.0,33.0,286425.0,71606.25,47688.944255980336,136432.0,26821.0,188951.0,37790.2,70225.67018334534,161918.0,174.0,0,0,0,0,100,144,16.026565635196903,19.231878762236285,0.0,1350.0,340.0833333333333,582.1468821734275,338894.99242424243,0,1,0,0,0,0,0,0,1.0,371.0,36.4,649.8333333333334,0,0,0,0,0,0,5,182,6,3899,-1,344,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-19469-13111-6,131.202.240.87,19469,131.202.6.26,13111,6,14/04/2015 10:45:55 下午,151483,3,4,158.0,195.0,158.0,0.0,52.66666666666667,91.22134253196086,195.0,0.0,48.75,97.5,2330.2944884904578,46.20980572077394,25247.166666666668,34564.01602485838,89891.0,69.0,150533.0,75266.5,103422.14492312563,148397.0,2136.0,121655.0,40551.666666666664,46752.34781626837,92096.0,881.0,0,0,0,0,60,104,19.80420245176026,26.405603269013685,0.0,195.0,44.125,82.29986547463403,6773.267857142858,0,1,0,0,0,0,0,0,1.0,50.42857142857143,52.666666666666664,48.75,0,0,0,0,0,0,3,158,4,195,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-19469-13111-6,131.202.6.26,13111,131.202.240.87,19469,6,14/04/2015 10:45:56 下午,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-93.184.215.200-19468-80-6,131.202.240.87,19468,93.184.215.200,80,6,14/04/2015 10:45:53 下午,15356431,3,6,262.0,395.0,262.0,0.0,87.33333333333334,151.26577052768195,395.0,0.0,65.83333333333333,161.2580747332259,42.78337850767538,0.586073678187334,1919553.875,5358732.3307385305,1.5181598E7,50.0,132807.0,66403.5,3457.0450532210307,68848.0,63959.0,1.5356431E7,3071286.2,6781446.454222816,1.5202041E7,50.0,0,0,0,0,60,144,0.19535789272911133,0.39071578545822266,0.0,395.0,65.7,142.0109933146805,20167.122222222224,0,1,0,0,0,0,0,0,2.0,73.0,87.33333333333333,65.83333333333333,0,0,0,0,0,0,3,262,6,395,-1,15872,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-93.184.215.200-19468-80-6,131.202.240.87,19468,93.184.215.200,80,6,14/04/2015 10:46:08 下午,1673,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.457262402869,1673.0,0.0,1673.0,1673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,597.7286312014345,597.7286312014345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16438,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-157.56.141.114-19458-443-6,131.202.240.87,19458,157.56.141.114,443,6,14/04/2015 10:45:24 下午,60845498,9,10,1126.0,5860.0,358.0,0.0,125.11111111111111,156.8115464852991,1350.0,0.0,586.0,634.2435564425459,114.81539685976438,0.31226632412475286,3380305.4444444445,1.4119134214618536E7,5.9953814E7,32.0,6.075781E7,7594726.25,2.115648967724116E7,5.9953814E7,27143.0,840275.0,93363.88888888889,112670.20328312679,310070.0,69.0,0,0,0,0,180,224,0.14791562721698817,0.16435069690776466,0.0,1350.0,349.3,510.50687917422863,260617.2736842105,0,1,0,0,0,0,0,0,1.0,367.6842105263158,125.11111111111111,586.0,0,0,0,0,0,0,9,1126,10,5860,-1,513,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.160-49253-443-17,131.202.240.87,49253,74.125.226.160,443,17,14/04/2015 10:45:03 下午,119982223,219,166,166937.0,17538.0,1350.0,37.0,762.2694063926941,571.6849436478825,1350.0,29.0,105.65060240963854,228.2480539920331,1537.5194373586494,3.2088086916009213,312453.70572916657,1578998.074501791,2.6579098E7,18.0,1.19947414E8,550217.4954128439,2068967.2108333805,2.6579098E7,42.0,1.19956322E8,727008.012121212,2360385.138644374,2.6607106E7,18.0,0,0,0,0,1752,1328,1.8252703985989658,1.3835382930019557,29.0,1350.0,481.4119170984458,561.3332771762299,315095.0480654061,0,0,0,0,0,0,0,0,0.0,482.6623376623377,762.269406392694,105.65060240963855,0,0,0,0,0,0,219,166937,166,17538,-1,-1,219,0,2.5786474333333332E7,4.434892496419326E7,7.699602E7,63507.0,1.3237481333333334E7,1.1554256493595438E7,2.6579098E7,6524345.0,No Label
131.202.240.87-74.125.22.189-19388-443-6,74.125.22.189,443,131.202.240.87,19388,6,14/04/2015 10:44:58 下午,115256332,44,46,19607.0,2935.0,1336.0,0.0,445.6136363636364,197.63711353623452,1350.0,0.0,63.80434782608696,235.71646051655816,195.58144536475444,0.7808681608920194,1295014.9662921352,1767127.2652416911,5042105.0,19.0,1.1377971E8,2646039.7674418613,1775168.6352493097,5084942.0,72.0,1.15256332E8,2561251.822222223,1783999.5087832878,5093094.0,19.0,0,1,0,0,880,920,0.38175776754720947,0.3991103933448099,0.0,1350.0,252.5934065934065,288.58536106793537,83281.51062271062,0,0,0,1,1,0,0,0,1.0,255.4,445.6136363636364,63.80434782608695,0,0,0,0,0,0,44,19607,46,2935,-1,16537,43,0,3212554.5,4471128.808430876,6374120.0,50989.0,5021952.5,28499.9388157238,5042105.0,5001800.0,No Label
131.202.240.87-74.125.22.189-61606-443-17,74.125.22.189,443,131.202.240.87,61606,17,14/04/2015 10:44:58 下午,115228833,38,40,17192.0,4121.0,1350.0,86.0,452.421052631579,183.29751794650275,1350.0,37.0,103.02499999999999,237.35081549340552,184.96238697479475,0.6769139109479656,1496478.35064935,1953812.8154325436,5077441.0,56.0,1.13776564E8,3075042.2702702703,1798879.6533628101,5103658.0,97.0,1.15228833E8,2954585.4615384615,1834188.9252099365,5103311.0,56.0,0,0,0,0,304,320,0.3297785720002909,0.3471353389476747,37.0,1350.0,275.1772151898736,273.67849186608385,74899.91691009412,0,0,0,0,0,0,0,0,1.0,278.70512820512823,452.42105263157896,103.025,0,0,0,0,0,0,38,17192,40,4121,-1,-1,38,0,3.1721753333333336E7,3.200419521442025E7,6.7170318E7,4952143.0,5039543.666666667,36922.52876406671,5077441.0,5003680.0,No Label
131.202.240.87-74.125.226.167-19448-443-6,131.202.240.87,19448,74.125.226.167,443,6,14/04/2015 10:45:11 下午,107723718,83,86,65045.0,3819.0,1350.0,0.0,783.6746987951806,635.1484195366049,1350.0,0.0,44.40697674418605,148.0202194381467,639.2649759823552,1.568828138664876,641212.607142857,2829189.7846588017,1.5758004E7,3.0,1.07658273E8,1312905.768292683,3968956.1765879346,1.5823116E7,3.0,1.07723718E8,1267337.8588235292,3895479.808355168,1.5783398E7,18.0,0,0,0,0,1660,1720,0.770489559225945,0.7983385794389309,0.0,1350.0,413.0235294117647,590.3986914176777,348570.61482770625,0,0,0,0,1,0,0,0,1.0,415.4674556213018,783.6746987951807,44.406976744186046,0,0,0,0,0,0,83,65045,86,3819,-1,1499,65,0,767901.875,1786205.510283776,5187793.0,95199.0,1.2681228875E7,3681982.397747886,1.5758004E7,7450606.0,No Label
