Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.101-63.241.108.124-49550-80-6,131.202.240.101,49550,63.241.108.124,80,6,15/04/2015 11:16:34 下午,106929,2,4,1850.0,430.0,1850.0,0.0,925.0,1308.147545195113,430.0,0.0,107.5,215.0,21322.559829419522,56.111999551104006,21385.8,28546.616843331893,52666.0,43.0,126.0,126.0,0.0,126.0,126.0,106929.0,35643.0,29605.245633164403,52835.0,1458.0,0,0,0,0,64,144,18.703999850368003,37.407999700736006,0.0,1850.0,325.7142857142857,690.9861827575894,477461.9047619048,0,1,0,0,0,0,0,0,2.0,380.0,925.0,107.5,0,0,0,0,0,0,2,1850,4,430,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-63.241.108.124-49551-80-6,131.202.240.101,49551,63.241.108.124,80,6,15/04/2015 11:16:34 下午,145562,2,4,1837.0,515.0,1837.0,0.0,918.5,1298.9551570396877,515.0,0.0,128.75,257.5,16158.063230788255,41.2195490581333,29112.4,41220.97729675996,90809.0,38.0,138.0,138.0,0.0,138.0,138.0,145562.0,48520.66666666667,44666.29402954014,90809.0,1806.0,0,0,0,0,64,144,13.739849686044435,27.47969937208887,0.0,1837.0,335.99999999999994,689.144638906328,474920.33333333326,0,1,0,0,0,0,0,0,2.0,392.0,918.5,128.75,0,0,0,0,0,0,2,1837,4,515,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-184.29.104.78-38969-1935-6,131.202.240.101,38969,184.29.104.78,1935,6,15/04/2015 11:16:35 下午,40287,1,1,0.0,33.0,0.0,0.0,0.0,0.0,33.0,33.0,33.0,0.0,819.1227939533844,49.64380569414451,40287.0,0.0,40287.0,40287.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,24.821902847072256,24.821902847072256,0.0,33.0,22.0,19.05255888325765,363.0,0,0,0,1,1,0,0,0,1.0,33.0,0.0,33.0,0,0,0,0,0,0,1,0,1,33,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-184.29.104.78-38969-1935-6,184.29.104.78,1935,131.202.240.101,38969,6,15/04/2015 11:16:35 下午,2548,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.9293563579278,2548.0,0.0,2548.0,2548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,392.4646781789639,392.4646781789639,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-63.241.108.124-49556-80-6,131.202.240.101,49556,63.241.108.124,80,6,15/04/2015 11:16:35 下午,108483,2,4,1852.0,430.0,1852.0,0.0,926.0,1309.561758757486,430.0,0.0,107.5,215.0,21035.553957762968,55.308204972207626,21696.6,28783.697222559855,53703.0,44.0,154.0,154.0,0.0,154.0,154.0,108483.0,36161.0,29716.52181867858,53901.0,1854.0,0,0,0,0,64,144,18.43606832406921,36.87213664813842,0.0,1852.0,325.99999999999994,691.7215239290061,478478.66666666657,0,1,0,0,0,0,0,0,2.0,380.3333333333333,926.0,107.5,0,0,0,0,0,0,2,1852,4,430,-1,256,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-63.241.108.124-49549-80-6,131.202.240.101,49549,63.241.108.124,80,6,15/04/2015 11:16:32 下午,4005567,4,4,1825.0,430.0,1338.0,0.0,456.25,631.072301721443,430.0,0.0,107.5,215.0,562.9664913856141,1.9972203685520675,572223.8571428572,862925.6396541223,2003963.0,20.0,1945669.0,648556.3333333334,859961.4846330814,1635236.0,58360.0,4005567.0,1335189.0,1111294.8701091893,2062303.0,55960.0,0,0,0,0,136,144,0.9986101842760338,0.9986101842760338,0.0,1338.0,250.55555555555554,453.77723364860185,205913.77777777778,0,1,0,0,0,0,0,0,1.0,281.875,456.25,107.5,0,0,0,0,0,0,4,1825,4,430,-1,254,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-173.193.244.61-44035-80-6,131.202.240.101,44035,173.193.244.61,80,6,15/04/2015 11:16:34 下午,5084167,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867562178819067,1694722.3333333333,2887719.4988624384,5029022.0,37.0,5029022.0,5029022.0,0.0,5029022.0,5029022.0,55108.0,55108.0,0.0,55108.0,55108.0,0,0,0,0,40,64,0.3933781089409534,0.3933781089409534,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8190,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-173.193.244.61-44034-80-6,131.202.240.101,44034,173.193.244.61,80,6,15/04/2015 11:16:34 下午,5084288,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7867374940207951,1694762.6666666667,2871631.49599776,5010363.0,40.0,5010363.0,5010363.0,0.0,5010363.0,5010363.0,73885.0,73885.0,0.0,73885.0,73885.0,0,0,0,0,40,64,0.39336874701039753,0.39336874701039753,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,8190,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-162.208.20.162-41003-80-6,131.202.240.101,41003,162.208.20.162,80,6,15/04/2015 11:16:41 下午,313784,4,4,611.0,398.0,611.0,0.0,152.75,305.5,398.0,0.0,99.5,199.0,3215.5877928766286,25.49524513678199,44826.28571428572,55952.63935899802,114671.0,26.0,199062.0,66354.0,114210.88219167209,198233.0,145.0,313074.0,104358.0,10456.332196329648,114671.0,93764.0,0,0,0,0,80,104,12.747622568390995,12.747622568390995,0.0,611.0,112.11111111111111,228.74792045199254,52325.6111111111,0,1,0,0,0,0,0,0,1.0,126.125,152.75,99.5,0,0,0,0,0,0,4,611,4,398,-1,8190,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-162.208.20.162-41004-80-6,131.202.240.101,41004,162.208.20.162,80,6,15/04/2015 11:16:41 下午,318436,4,4,693.0,398.0,693.0,0.0,173.25,346.5,398.0,0.0,99.5,199.0,3426.120162293208,25.122787624514817,45490.85714285714,56846.57686975993,117458.0,11.0,200937.0,66979.0,115393.74692330603,200224.0,146.0,317858.0,105952.66666666667,10861.300582035898,117458.0,95877.0,0,0,0,0,80,104,12.561393812257409,12.561393812257409,0.0,693.0,121.22222222222223,251.59480210140362,63299.944444444445,0,1,0,0,0,0,0,0,1.0,136.375,173.25,99.5,0,0,0,0,0,0,4,693,4,398,-1,8190,1,0,0,0,0,0,0,0,0,0,No Label
