Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
207.46.7.252-10.0.2.15-80-49926-6,207.46.7.252,80,10.0.2.15,49926,6,15/04/2015 10:31:41 下午,202,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,14851.485148514852,101.0,22.627416997969522,117.0,85.0,0,0,0,0,0,202.0,101.0,22.627416997969522,117.0,85.0,0,0,0,0,0,60,0.0,14851.485148514852,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,64062,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-10.0.2.15-35403-49928-6,10.0.2.15,49928,131.202.240.150,35403,6,15/04/2015 10:33:14 下午,79183,7,8,504.0,332.0,422.0,0.0,72.0,155.3587246772235,164.0,0.0,41.5,68.50234615377366,10557.821754669563,189.434600861296,5655.928571428571,13988.037914118377,39837.0,1.0,78737.0,13122.833333333332,31523.135855537384,77468.0,66.0,78792.0,11256.0,18729.43421462592,39837.0,1.0,0,0,0,0,140,176,88.40281373527145,101.03178712602453,0.0,422.0,52.25,110.77033297172429,12270.06666666667,0,1,0,0,0,0,0,0,1.0,55.733333333333334,72.0,41.5,0,0,0,0,0,0,7,504,8,332,-1,65535,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-10.0.2.15-35403-49928-6,131.202.240.150,35403,10.0.2.15,49928,6,15/04/2015 10:33:14 下午,223,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13452.914798206279,111.5,153.4421715174808,220.0,3.0,220.0,220.0,0.0,220.0,220.0,0,0,0,0,0,0,0,0,0,40,20,8968.609865470851,4484.304932735426,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-10.0.2.15-21209-49929-6,10.0.2.15,49929,131.202.240.150,21209,6,15/04/2015 10:33:14 下午,6657944,21931,141993,3.84716893E8,137.0,64240.0,0.0,17542.1500615567,4524.3671870629605,137.0,0.0,9.648362947469136E-4,0.3635692126409028,5.778315798390614E7,24620.813872871266,40.61628935536758,364.31966077759273,28925.0,-41.0,6657259.0,303.56858185134644,996.8488956233977,28991.0,28.0,6657837.0,46.88881767986869,411.48794676045935,29625.0,0.0,0,0,0,0,438620,2839876,3293.959817024595,21326.85405584667,0.0,64240.0,2346.9088302577466,6196.817144389174,3.84005427209956E7,0,1,0,0,0,0,0,0,6.0,2346.923147312169,17542.150061556702,9.648362947469242E-4,0,0,0,0,0,0,21931,384716893,141993,137,-1,65535,21930,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-10.0.2.15-21209-49929-6,131.202.240.150,21209,10.0.2.15,49929,6,15/04/2015 10:33:21 下午,718,7,2,31.0,0.0,31.0,0.0,4.428571428571429,11.716898663286045,0.0,0.0,0.0,0.0,43175.48746518106,12534.818941504178,89.75,163.91003630040476,429.0,2.0,716.0,119.33333333333334,187.85916710841306,429.0,2.0,457.0,457.0,0.0,457.0,457.0,0,0,0,0,140,40,9749.303621169916,2785.515320334262,0.0,31.0,3.1,9.803060746521975,96.1,0,0,0,0,1,0,0,0,0.0,3.4444444444444446,4.428571428571429,0.0,0,0,0,0,0,0,7,31,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
213.199.179.168-10.0.2.15-40016-49232-6,10.0.2.15,49232,213.199.179.168,40016,6,15/04/2015 10:31:22 下午,285443,1,3,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,1.1547005383792515,14.013305633699197,14.013305633699197,95147.66666666666,145691.3996580901,262890.0,192.0,0,0,0,0,0,263082.0,131541.0,185755.53720414365,262890.0,192.0,0,1,0,0,20,60,3.5033264084247993,10.509979225274398,0.0,2.0,1.2,1.0954451150103321,1.1999999999999997,0,0,0,1,1,0,0,0,3.0,1.5,0.0,1.3333333333333333,0,0,0,0,0,0,1,0,3,4,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
137.116.40.77-10.0.2.15-443-49255-6,10.0.2.15,49255,137.116.40.77,443,6,15/04/2015 10:31:38 下午,119999812,3,4,90.0,127.0,53.0,0.0,30.0,27.184554438136374,90.0,0.0,31.75,42.57052971246658,1.8083361663933273,0.0583334247223654,1.9999968666666664E7,4.889825822749068E7,1.19813075E8,110.0,1.19994639E8,5.99973195E7,8.459225267169306E7,1.19813075E8,181564.0,122514.0,40838.0,65953.4981710599,116949.0,502.0,0,1,0,0,60,80,0.025000039166728025,0.03333338555563737,0.0,90.0,31.75,31.513035851396936,993.0714285714286,0,0,0,1,1,0,0,0,1.0,36.285714285714285,30.0,31.75,0,0,0,0,0,0,3,90,4,127,-1,65535,2,0,186737.0,0.0,186737.0,186737.0,1.19813075E8,0.0,1.19813075E8,1.19813075E8,No Label
10.0.2.15-64.233.171.188-49190-5228-6,10.0.2.15,49190,64.233.171.188,5228,6,15/04/2015 10:31:33 下午,90019194,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03332622596021022,0.06665245192042044,1.80038388E7,2.46507802647984E7,4.5014655E7,187.0,4.5000362E7,4.5000362E7,0.0,4.5000362E7,4.5000362E7,9.0019194E7,3.0006398E7,2.5985833277817763E7,4.5014842E7,543.0,0,0,0,0,40,80,0.02221748397347348,0.04443496794694696,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,65535,2,0,365.0,251.7300141024109,543.0,187.0,4.5007415E7,10238.906191581209,4.5014655E7,4.5000175E7,No Label
131.202.240.150-10.0.2.15-28431-49930-6,10.0.2.15,49930,131.202.240.150,28431,6,15/04/2015 10:33:49 下午,509102,1613,9984,2.7460018E7,137.0,29200.0,0.0,17024.189708617487,3916.413505602632,137.0,0.0,0.01372195512820522,1.371097316956055,5.393841509167121E7,22779.325164701768,43.90324249741261,425.2416949597246,23593.0,-70.0,508631.0,315.52791563275457,1125.555285745063,23786.0,31.0,509073.0,50.993989782630614,491.17458914583455,24132.0,1.0,0,0,0,0,32260,199696,3168.323832945068,19611.0013317567,0.0,29200.0,2367.662959130868,6069.312461422355,3.683655375437669E7,0,1,0,0,0,0,0,0,6.0,2367.8671208071055,17024.189708617483,0.013721955128205128,0,0,0,0,0,0,1613,27460018,9984,137,-1,65535,1612,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-10.0.2.15-28431-49930-6,131.202.240.150,28431,10.0.2.15,49930,6,15/04/2015 10:33:50 下午,919,24,1,31.0,0.0,31.0,0.0,1.2916666666666667,6.327848502189877,0.0,0.0,0.0,0.0,33732.317736670295,27203.48204570185,38.29166666666667,168.6353099253629,829.0,1.0,917.0,39.869565217391305,172.24409327458574,829.0,1.0,0,0,0,0,0,0,0,0,0,480,20,26115.342763873774,1088.139281828074,0.0,31.0,1.1923076923076923,6.079600189283705,36.96153846153846,0,0,0,0,1,0,0,0,0.0,1.24,1.2916666666666667,0.0,0,0,0,0,0,0,24,31,1,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
