Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-64.234.9.152-49624-54828-6,64.234.9.152,54828,131.202.240.86,49624,6,01/04/2015 02:56:59 上午,137,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21897.810218978102,68.5,4.949747468305833,72.0,65.0,0,0,0,0,0,137.0,68.5,4.949747468305833,72.0,65.0,0,0,0,0,0,60,0.0,21897.810218978102,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-10660-80-6,131.202.240.86,10660,68.67.152.196,80,6,01/04/2015 02:57:28 上午,303404,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5918709048002,303404.0,0.0,303404.0,303404.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.2959354524001,3.2959354524001,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-10662-80-6,131.202.240.86,10662,50.7.70.210,80,6,01/04/2015 02:57:29 上午,296992,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.734188126279496,296992.0,0.0,296992.0,296992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.367094063139748,3.367094063139748,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-10672-443-6,131.202.240.86,10672,68.67.152.196,443,6,01/04/2015 02:57:30 上午,301339,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.637043329937379,301339.0,0.0,301339.0,301339.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.3185216649686895,3.3185216649686895,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-10660-80-6,131.202.240.86,10660,68.67.152.196,80,6,01/04/2015 02:57:29 上午,1200060,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6665833374997918,1200060.0,0.0,1200060.0,1200060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8332916687498959,0.8332916687498959,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-10662-80-6,131.202.240.86,10662,50.7.70.210,80,6,01/04/2015 02:57:30 上午,1196078,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6721317506048936,1196078.0,0.0,1196078.0,1196078.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8360658753024468,0.8360658753024468,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-10672-443-6,131.202.240.86,10672,68.67.152.196,443,6,01/04/2015 02:57:31 上午,1200057,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6665875037602382,1200057.0,0.0,1200057.0,1200057.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8332937518801191,0.8332937518801191,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-74.217.253.60-10692-443-6,131.202.240.86,10692,74.217.253.60,443,6,01/04/2015 02:57:30 上午,4595189,8,9,1008.0,3423.0,453.0,0.0,126.0,187.14929105625046,1350.0,0.0,380.3333333333333,584.4328447306842,964.2693695515026,3.6995213907414906,287199.3125,1099380.9559933092,4409275.0,35.0,142020.0,20288.571428571428,23727.408496344076,46885.0,250.0,4595189.0,574398.625,1549695.4864830645,4409344.0,294.0,0,0,0,0,160,200,1.7409512427018778,1.9585701480396125,0.0,1350.0,246.16666666666666,441.64082425321465,195046.61764705883,0,1,0,0,0,0,0,0,1.0,260.6470588235294,126.0,380.3333333333333,0,0,0,0,0,0,8,1008,9,3423,-1,5058,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-205.204.71.142-10687-80-6,131.202.240.86,10687,205.204.71.142,80,6,01/04/2015 02:57:29 上午,6062748,3,5,356.0,635.0,356.0,0.0,118.66666666666666,205.5366958315068,635.0,0.0,127.0,283.98063314247327,163.45723094543925,1.3195336504172694,866106.8571428573,2263450.724141013,5999029.0,34.0,33087.0,16543.5,23231.993295884018,32971.0,116.0,6062748.0,1515687.0,2988948.136343063,5999063.0,2040.0,0,0,0,0,60,124,0.49482511890647607,0.8247085315107935,0.0,635.0,110.1111111111111,229.35804130466212,52605.111111111095,0,1,0,0,0,0,0,0,1.0,123.875,118.66666666666667,127.0,0,0,0,0,0,0,3,356,5,635,-1,123,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-205.204.71.150-10691-443-6,131.202.240.86,10691,205.204.71.150,443,6,01/04/2015 02:57:29 上午,6165874,10,12,1054.0,4897.0,501.0,0.0,105.4,184.42053392541007,1350.0,0.0,408.0833333333333,584.2535966098242,965.1510880695909,3.5680262035844392,293613.04761904763,1308034.227032935,6002036.0,2.0,132447.0,14716.333333333334,16403.129335587157,33528.0,277.0,6165874.0,560534.0000000001,1804837.1510526927,6002105.0,2.0,0,0,0,0,200,264,1.6218300925383815,1.9461961110460577,0.0,1350.0,258.7391304347826,458.78755406271193,210486.01976284583,0,1,0,0,0,0,0,0,1.0,270.5,105.4,408.0833333333333,0,0,0,0,0,0,10,1054,12,4897,-1,140,3,0,163836.0,0.0,163836.0,163836.0,6002036.0,0.0,6002036.0,6002036.0,No Label
