Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.252.79.94-2505-3478-6,131.202.240.87,2505,173.252.79.94,3478,6,30/03/2015 09:21:17 下午,31894463,28,24,2684.0,576.0,140.0,0.0,95.85714285714286,65.20606327505661,104.0,0.0,24.0,29.629597423492964,102.21209869562627,1.6303770344087625,625381.6274509804,4207881.530219785,3.0083799E7,6.0,3.1814752E7,1178324.148148148,5793348.834099787,3.0162875E7,26.0,1810664.0,78724.52173913043,104232.15416553637,356025.0,6.0,0,0,0,0,560,504,0.8778953262201029,0.7524817081886597,0.0,140.0,61.509433962264154,62.87583082231611,3953.370101596517,0,1,0,0,0,0,0,0,0.0,62.69230769230769,95.85714285714286,24.0,0,0,0,0,0,0,28,2684,24,576,-1,29,20,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.94-2507-443-6,131.202.240.87,2507,173.252.79.94,443,6,30/03/2015 09:21:17 下午,31887750,23,29,3524.0,840.0,840.0,0.0,153.21739130434787,237.729976027375,104.0,0.0,28.965517241379317,27.581674504513074,136.8550618968099,1.6307202609152418,625250.0,4189452.3124512583,2.9954504E7,7.0,3.1808352E7,1445834.1818181819,6385813.068566091,3.0033448E7,28.0,1933246.0,69044.5,91454.91636360549,337974.0,8.0,0,0,0,0,460,604,0.7212801154048184,0.9094401455104233,0.0,840.0,82.33962264150944,168.11064847481882,28261.190130624098,0,1,0,0,0,0,0,0,1.0,83.92307692307692,153.2173913043478,28.96551724137931,0,0,0,0,0,0,23,3524,29,840,-1,38,14,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,6,30/03/2015 09:20:18 下午,117704631,150,220,28814.0,84807.0,9052.0,0.0,192.09333333333333,811.6052148597076,1350.0,0.0,385.48636363636354,520.4983253215282,965.3061144212753,3.1434617045781317,318982.7398373981,1716167.4626622228,1.8987148E7,5.0,1.17570934E8,789066.6711409397,2637482.0966090867,1.8987252E7,20.0,1.17704617E8,537464.0045662101,2231072.4204152445,1.9077932E7,5.0,0,1,0,0,3144,4412,1.274376366720864,1.8690853378572674,0.0,9052.0,309.7196765498653,661.2179565553605,437209.18607124663,0,0,0,1,1,0,0,0,1.0,310.5567567567568,192.09333333333333,385.48636363636365,0,0,0,0,0,0,150,28814,220,84807,-1,2043,32,0,5736759.714285715,9110566.30738746,2.5517779E7,315701.0,1.1058986000000002E7,5083570.988233534,1.8987148E7,6282115.0,No Label
131.202.240.87-173.252.100.27-2512-443-6,131.202.240.87,2512,173.252.100.27,443,6,30/03/2015 09:21:22 下午,65434873,8,13,1165.0,983.0,648.0,0.0,145.625,271.90856525152503,476.0,0.0,75.61538461538461,129.386075024542,32.826532726670074,0.32092978922722143,3271743.6500000004,1.4138304225155713E7,6.33252E7,17.0,6.5296324E7,9328046.285714285,2.3815092704003125E7,6.332536E7,17031.0,6.5434873E7,5452906.083333334,1.8273831811979167E7,6.3464629E7,49.0,0,0,0,0,160,284,0.12225896732465577,0.19867082190256563,0.0,648.0,97.63636363636361,189.32072697498725,35842.33766233766,0,1,0,0,0,0,0,0,1.0,102.28571428571429,145.625,75.61538461538461,0,0,0,0,0,0,8,1165,13,983,-1,65,2,0,2109491.0,0.0,2109491.0,2109491.0,6.33252E7,0.0,6.33252E7,6.33252E7,No Label
131.202.240.87-173.252.100.27-2512-443-6,131.202.240.87,2512,173.252.100.27,443,6,30/03/2015 09:22:27 下午,7494,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.88017080330934,7494.0,0.0,7494.0,7494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,133.44008540165467,133.44008540165467,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16291,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,6,30/03/2015 09:20:37 下午,90231285,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.033247891792741284,0.06649578358548257,1.8046257E7,2.46580063826684E7,4.5061255E7,38284.0,4.5100218E7,4.5100218E7,0.0,4.5100218E7,4.5100218E7,9.0231285E7,3.0077095E7,2.601437363396307E7,4.5099794E7,38284.0,0,0,0,0,40,116,0.02216526119516086,0.04433052239032172,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,361,2,0,38623.5,480.1255044256658,38963.0,38284.0,4.50577495E7,4957.525642898885,4.5061255E7,4.5054244E7,No Label
131.202.240.150-131.202.240.87-38633-51425-17,131.202.240.87,51425,131.202.240.150,38633,17,30/03/2015 09:21:17 下午,119999227,25637,24921,2.7275867E7,2.644783E7,1182.0,64.0,1063.925849358363,190.90285953933278,1182.0,54.0,1061.2668030977882,195.35035766595567,447700.3589364788,421.3193806656771,2373.543267994533,6117.295156241368,52110.0,0.0,1.19944825E8,4678.7652129817525,11073.413803607256,141274.0,32.0,1.19999227E8,4815.3782905296885,11259.75558835187,89682.0,7.0,0,0,0,0,205096,199368,213.64304288393456,207.67633778174255,54.0,1182.0,1062.5961945449762,193.15572776820102,37309.13516966339,0,0,0,0,0,0,0,0,0.0,1062.6172119150283,1063.9258493583493,1061.266803097789,0,0,0,0,0,0,25637,27275867,24921,26447830,-1,-1,25637,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-35146-51424-17,131.202.240.150,35146,131.202.240.87,51424,17,30/03/2015 09:21:18 下午,119998339,6198,6201,428974.0,682951.0,938.0,54.0,69.21168118747968,12.26177727361338,781.0,64.0,110.13562328656684,9.985561680100762,9266.169925902057,103.32643021000482,9678.846507501246,14803.598296999022,1456497.0,0.0,1.18534712E8,19127.75730192031,3792.1349345724616,27925.0,19.0,1.19998339E8,19354.57080645167,18744.554413314847,1456497.0,43.0,0,0,0,0,49584,49608,51.65071493197918,51.67571527802564,54.0,938.0,89.68008064516094,23.3178970518948,543.7243229227641,0,0,0,0,0,0,0,0,1.0,89.68731349302364,69.21168118747983,110.13562328656668,0,0,0,0,0,0,6198,428974,6201,682951,-1,-1,6198,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.94-51425-50029-17,131.202.240.87,51425,173.252.79.94,50029,17,30/03/2015 09:21:17 下午,110970676,22,24,1644.0,980.0,140.0,20.0,74.72727272727273,60.64273349331414,104.0,20.0,40.83333333333332,17.05149914782879,23.645886414173056,0.4145239234191923,2466015.022222222,4322552.513148097,1.0007108E7,7.0,1.10820504E8,5277166.857142857,5140348.090778359,1.008726E7,27.0,1.10970676E8,4824812.0,5125030.290418282,1.0087888E7,7.0,0,0,0,0,176,192,0.19825057207004848,0.2162733513491438,20.0,140.0,56.25531914893615,46.26129384321306,2140.107308048103,0,0,0,0,0,0,0,0,1.0,57.47826086956522,74.72727272727273,40.833333333333336,0,0,0,0,0,0,22,1644,24,980,-1,-1,22,0,100938.09090909091,70404.07621928513,313209.0,79158.0,9980110.0,70876.53167586563,1.0007108E7,9766534.0,No Label
131.202.240.87-173.252.79.94-51424-443-17,131.202.240.87,51424,173.252.79.94,443,17,30/03/2015 09:21:17 下午,119382536,114,1,2280.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,19.26579948008476,0.9632899740042379,1047215.2280701754,644029.0244214048,1655929.0,99782.0,1.19282069E8,1055593.5309734514,640626.9813544285,1655929.0,99782.0,0,0,0,0,0,0,0,0,0,912,8,0.9549135394476793,0.008376434556558591,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.17391304347826,20.0,20.0,0,0,0,0,0,0,114,2280,1,20,-1,-1,114,0,0,0,0,0,0,0,0,0,No Label
