Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-209.148.205.10-2595-443-6,209.148.205.10,443,131.202.240.87,2595,6,30/03/2015 09:44:43 下午,1219,2,4,68.0,0.0,41.0,27.0,34.0,9.899494936611665,0.0,0.0,0.0,0.0,55783.42904019688,4922.067268252666,243.8,239.26596080512581,516.0,23.0,120.0,120.0,0.0,120.0,120.0,1219.0,406.3333333333333,297.0897731887339,633.0,70.0,0,0,0,0,40,80,1640.6890894175554,3281.3781788351107,0.0,41.0,9.714285714285714,17.075462763024277,291.5714285714286,1,0,0,0,1,0,0,0,2.0,11.333333333333334,34.0,0.0,0,0,0,0,0,0,2,68,4,0,-1,16346,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-24.156.140.72-2597-443-6,24.156.140.72,443,131.202.240.87,2597,6,30/03/2015 09:44:45 下午,227,2,2,27.0,41.0,27.0,0.0,13.5,19.091883092036785,41.0,0.0,20.5,28.991378028648448,299559.4713656388,17621.14537444934,75.66666666666667,25.146238950056393,104.0,56.0,171.0,171.0,0.0,171.0,171.0,123.0,123.0,0.0,123.0,123.0,0,1,0,0,40,40,8810.57268722467,8810.57268722467,0.0,41.0,21.8,20.70507184242547,428.70000000000005,0,0,0,1,1,0,0,0,1.0,27.25,13.5,20.5,0,0,0,0,0,0,2,27,2,41,-1,16520,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-24.156.140.72-2597-443-6,131.202.240.87,2597,24.156.140.72,443,6,30/03/2015 09:44:45 下午,357,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5602.240896358543,357.0,0.0,357.0,357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2801.1204481792715,2801.1204481792715,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16520,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-31.13.73.7-2601-443-6,31.13.73.7,443,131.202.240.87,2601,6,30/03/2015 09:44:51 下午,225,2,2,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,22.5,31.81980515339464,337777.7777777778,17777.777777777777,75.0,30.643106892089126,110.0,53.0,172.0,172.0,0.0,172.0,172.0,115.0,115.0,0.0,115.0,115.0,0,1,0,0,40,40,8888.888888888889,8888.888888888889,0.0,45.0,24.2,22.81885185542866,520.7,0,0,0,1,1,0,0,0,1.0,30.25,15.5,22.5,0,0,0,0,0,0,2,31,2,45,-1,16518,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-31.13.73.7-2601-443-6,131.202.240.87,2601,31.13.73.7,443,6,30/03/2015 09:44:51 下午,365,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.452054794521,365.0,0.0,365.0,365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2739.7260273972606,2739.7260273972606,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16518,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2309-443-6,173.252.100.27,443,131.202.240.87,2309,6,30/03/2015 09:44:52 下午,219,2,2,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,22.5,31.81980515339464,347031.96347031964,18264.8401826484,73.0,68.69497798238238,150.0,18.0,69.0,69.0,0.0,69.0,69.0,201.0,201.0,0.0,201.0,201.0,0,1,0,0,40,40,9132.4200913242,9132.4200913242,0.0,45.0,24.2,22.81885185542866,520.7,0,0,0,1,1,0,0,0,1.0,30.25,15.5,22.5,0,0,0,0,0,0,2,31,2,45,-1,16359,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2309-443-6,131.202.240.87,2309,173.252.100.27,443,6,30/03/2015 09:44:52 下午,20744,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.41342074816815,20744.0,0.0,20744.0,20744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,48.206710374084075,48.206710374084075,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16359,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.121-2563-443-6,173.194.123.121,443,131.202.240.87,2563,6,30/03/2015 09:46:23 下午,69,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,797101.4492753623,28985.507246376812,69.0,0.0,69.0,69.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,14492.753623188406,14492.753623188406,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,364,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.121-2563-443-6,131.202.240.87,2563,173.194.123.121,443,6,30/03/2015 09:46:23 下午,795,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2515.7232704402513,795.0,0.0,795.0,795.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1257.8616352201257,1257.8616352201257,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16402,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.49-2561-80-6,74.125.226.49,80,131.202.240.87,2561,6,30/03/2015 09:46:23 下午,34186,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,87.75522143567542,17093.0,23993.54729922193,34059.0,127.0,0,0,0,0,0,34186.0,17093.0,23993.54729922193,34059.0,127.0,0,0,0,0,0,60,0.0,87.75522143567542,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,16537,0,0,0,0,0,0,0,0,0,0,No Label
