Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-69.127.154.145-49624-53106-6,69.127.154.145,53106,131.202.240.86,49624,6,01/04/2015 01:17:40 上午,49,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,61224.48979591837,24.5,4.949747468305833,28.0,21.0,0,0,0,0,0,49.0,24.5,4.949747468305833,28.0,21.0,0,0,0,0,0,60,0.0,61224.48979591837,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-1885-80-6,131.202.240.86,1885,68.67.152.196,80,6,01/04/2015 01:18:00 上午,299494,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677930108783482,299494.0,0.0,299494.0,299494.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.338965054391741,3.338965054391741,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-1887-80-6,131.202.240.86,1887,50.7.70.210,80,6,01/04/2015 01:18:01 上午,299710,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.673117346768543,299710.0,0.0,299710.0,299710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.3365586733842716,3.3365586733842716,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-1885-80-6,131.202.240.86,1885,68.67.152.196,80,6,01/04/2015 01:18:01 上午,1200051,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6665958363436222,1200051.0,0.0,1200051.0,1200051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8332979181718111,0.8332979181718111,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-1887-80-6,131.202.240.86,1887,50.7.70.210,80,6,01/04/2015 01:18:01 上午,1200061,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6665819487509383,1200061.0,0.0,1200061.0,1200061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8332909743754692,0.8332909743754692,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-191.189.220.200-49624-53593-6,191.189.220.200,53593,131.202.240.86,49624,6,01/04/2015 01:17:55 上午,13807702,9,8,178.0,139.0,94.0,0.0,19.77777777777778,34.49194753046636,60.0,0.0,17.375,25.019635146363402,22.958201154688883,1.231196907349246,862981.375,3034131.9881156096,1.2233932E7,19.0,1.350456E7,1688070.0,4262879.713476226,1.2233932E7,20212.0,1368935.0,195562.14285714284,140702.9213193867,389012.0,50.0,0,0,0,0,288,272,0.6518101274201891,0.579386779929057,0.0,94.0,17.61111111111111,28.954607250759796,838.3692810457517,0,1,0,0,0,0,0,0,0.0,18.647058823529413,19.77777777777778,17.375,0,0,0,0,0,0,9,178,8,139,-1,255,4,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-191.189.220.200-49624-53593-6,131.202.240.86,49624,191.189.220.200,53593,6,01/04/2015 01:18:09 上午,35,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,28571.428571428572,28571.428571428572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-1885-80-6,131.202.240.86,1885,68.67.152.196,80,6,01/04/2015 01:18:05 上午,4803255,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4163843060591203,4803255.0,0.0,4803255.0,4803255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20819215302956015,0.20819215302956015,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-1887-80-6,131.202.240.86,1887,50.7.70.210,80,6,01/04/2015 01:18:05 上午,4800245,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41664540039102166,4800245.0,0.0,4800245.0,4800245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20832270019551083,0.20832270019551083,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.172-1922-80-6,131.202.240.86,1922,68.67.152.172,80,6,01/04/2015 01:18:00 上午,10102629,4,6,804.0,2146.0,804.0,0.0,201.0,402.0,1350.0,0.0,357.66666666666663,581.1305074307032,292.0032003550759,0.9898413571358504,1122514.3333333333,3328737.509526322,9998955.0,34.0,53072.0,17690.666666666664,30331.98203766667,52715.0,144.0,1.0102629E7,2020525.8,4460167.373464555,9998989.0,220.0,0,0,0,0,80,144,0.39593654285434016,0.5939048142815103,0.0,1350.0,268.1818181818182,480.7697615661405,231139.56363636363,0,1,0,0,0,0,0,0,1.0,295.0,201.0,357.6666666666667,0,0,0,0,0,0,4,804,6,2146,-1,38,1,0,0,0,0,0,0,0,0,0,No Label
