Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,04/06/2015 01:31:23 上午,119816919,165,206,17862.0,9853.0,881.0,0.0,108.25454545454548,161.0796142551971,363.0,0.0,47.830097087378626,70.55491040621875,231.31123910805954,3.096390752628183,323829.51081081055,1261599.27572433,1.1216072E7,0.0,1.1953959E8,728899.9390243905,1836390.3579916619,1.1216072E7,137138.0,1.19816919E8,584472.775609756,1675132.52418045,1.1564612E7,138.0,0,1,0,0,5292,6604,1.3771010085812672,1.7192897440469155,0.0,881.0,74.86827956989245,123.01239770204792,15132.049988406805,0,0,0,1,1,0,0,0,1.0,75.07008086253369,108.25454545454545,47.83009708737864,0,0,0,0,0,0,165,17862,206,9853,-1,1444,159,0,6390908.499999999,7615444.32031742,2.1002227E7,276895.0,8129113.0,2411609.355893043,1.1216072E7,5011594.0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,04/06/2015 01:31:23 上午,119979049,219,293,3651.0,87.0,29.0,0.0,16.671232876712324,12.572419349097308,27.0,0.0,0.29692832764505134,2.343138653962842,31.15543948010456,4.267411721191422,234792.65949119366,1088526.738396506,1.216885E7,0.0,1.19828628E8,549672.6055045873,1689102.5826151776,1.2558964E7,129.0,1.19979049E8,410887.1541095893,1442332.5897635755,1.2324111E7,0.0,0,1,0,0,4380,5896,1.8253186854314873,2.442093035759935,0.0,29.0,7.339181286549709,11.696936569446253,136.81832510964907,0,0,0,1,1,0,0,0,1.0,7.353515625,16.671232876712327,0.29692832764505117,0,0,0,0,0,0,219,3651,293,87,-1,14965,145,0,1.0123094666666668E7,1.4136627042594746E7,3.7662915E7,401300.0,9237121.5,2505199.6632219753,1.216885E7,6606868.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,04/06/2015 01:31:31 上午,60344093,7,9,686.0,23.0,341.0,0.0,98.0,166.0070279636779,10.0,0.0,2.5555555555555554,3.2829526005987013,11.749285882878379,0.26514608480402546,4022939.5333333327,1.4294441040157838E7,5.5609837E7,25.0,6.0028896E7,1.0004816E7,2.2527861801535644E7,5.5922567E7,255.0,6.0305022E7,7538127.750000001,1.9564209814842932E7,5.5884077E7,58.0,0,1,0,0,224,288,0.11600141210176114,0.14914467270226434,0.0,341.0,41.8235294117647,112.63615943277145,12686.90441176471,0,0,0,1,1,0,0,0,1.0,44.4375,98.0,2.5555555555555554,0,0,0,0,0,0,7,686,9,23,-1,54,3,0,4420516.0,0.0,4420516.0,4420516.0,5.5609837E7,0.0,5.5609837E7,5.5609837E7,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,04/06/2015 01:31:54 上午,119815566,55,47,17517.0,6704.0,853.0,0.0,318.49090909090916,355.17642317937094,677.0,0.0,142.63829787234033,210.0025285077503,202.15236474365943,0.8513084184737733,1186292.732673267,3818756.9794781995,2.5190069E7,16.0,1.19584275E8,2214523.611111111,5030463.975702542,2.5190069E7,25830.0,1.1981554E8,2604685.652173913,5499810.468187299,2.5419716E7,25870.0,0,1,0,0,1760,1504,0.4590388530986032,0.39226956537517005,0.0,853.0,241.4174757281553,309.7904897422483,95970.14753474206,0,0,0,1,1,0,0,0,0.0,243.7843137254902,318.4909090909091,142.63829787234042,0,0,0,0,0,0,55,17517,47,6704,-1,65400,25,0,4751841.25,2975629.278911535,7023878.0,564428.0,1.7749634E7,8642587.087957209,2.5190069E7,6128216.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,04/06/2015 01:33:31 上午,60310272,4,5,683.0,10.0,342.0,0.0,170.75,197.16553958539507,4.0,0.0,2.0,1.9999999999999998,11.490579913153104,0.1492283105604299,7538784.000000001,2.097928106769858E7,5.9458685E7,31.0,6.0001233E7,2.0000411E7,3.417186767815789E7,5.9458685E7,270709.0,6.031023E7,1.50775575E7,2.976895441645201E7,5.9730513E7,82.0,0,1,0,0,128,160,0.06632369358241329,0.08290461697801661,0.0,342.0,69.5,143.365306511412,20553.611111111113,0,0,0,1,1,0,0,0,1.0,77.22222222222223,170.75,2.0,0,0,0,0,0,0,4,683,5,10,-1,58,2,0,579748.0,0.0,579748.0,579748.0,5.9458685E7,0.0,5.9458685E7,5.9458685E7,No Label
2.30.116.54-10.8.8.178-58139-43020-6,2.30.116.54,58139,10.8.8.178,43020,6,04/06/2015 01:33:23 上午,118788088,147,185,17462.0,11226.0,902.0,0.0,118.78911564625854,180.9329790127218,472.0,0.0,60.6810810810811,89.16582572424137,241.50569710323143,2.7948930367496105,358876.3987915409,1986808.63800789,2.9628541E7,0.0,1.18609657E8,812394.9109589041,2949339.767421119,2.9628541E7,128728.0,1.18788088E8,645587.4347826092,2658799.4291916196,2.9968625E7,29.0,0,1,0,0,4704,5920,1.2374978204885325,1.5573952162610782,0.0,902.0,86.23123123123123,140.1651907872253,19646.280708419265,0,0,0,1,1,0,0,0,1.0,86.49096385542168,118.78911564625851,60.68108108108108,0,0,0,0,0,0,147,17462,185,11226,-1,1444,143,0,7374476.4,1.154732172624093E7,2.7048426E7,340187.0,1.3518586E7,9617661.520208564,2.9628541E7,5604780.0,No Label
10.8.8.178-86.4.212.228-52449-59222-6,10.8.8.178,52449,86.4.212.228,59222,6,04/06/2015 01:33:23 上午,118756197,219,284,3889.0,61.0,29.0,0.0,17.757990867579917,12.868811154571596,15.0,0.0,0.21478873239436622,1.7712843828991083,33.26142213866953,4.235568439430575,236566.12948207156,1582141.8489305393,2.9574991E7,0.0,1.18489968E8,543531.9633027526,2415986.9835511735,2.9852645E7,0.0,1.18756197E8,419633.20494699635,2100735.3430904755,2.9574991E7,0.0,0,0,0,0,4392,5716,1.8441142907262347,2.391454148704341,0.0,29.0,7.8373015873015905,12.219550441093284,149.31741298242306,0,0,0,0,1,0,0,0,1.0,7.852882703777336,17.75799086757991,0.2147887323943662,0,0,0,0,0,0,219,3889,284,61,-1,19688,148,0,7542828.8,1.1485414852483744E7,2.7044911E7,395517.0,1.31427956E7,9491552.036846625,2.9574991E7,7492477.0,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,04/06/2015 01:34:24 上午,107125259,47,43,15438.0,5708.0,837.0,0.0,328.468085106383,355.29472463097636,693.0,0.0,132.7441860465116,205.29306497034167,197.39508867838538,0.8401379921051113,1203654.595505618,2612239.1080016256,1.6246046E7,17.0,1.06699034E8,2319544.2173913037,3285576.408016955,1.6246046E7,805.0,1.07125218E8,2550600.428571428,3591081.354552775,1.665174E7,816.0,0,1,0,0,1504,1376,0.438738729210447,0.40139926289466427,0.0,837.0,239.46153846153845,309.18158302533357,95593.25128205125,0,0,0,1,1,0,0,0,0.0,242.12222222222223,328.468085106383,132.74418604651163,0,0,0,0,0,0,47,15438,43,5708,-1,64755,22,0,5215839.5,3580230.0407514917,1.0071832E7,424658.0,8121122.375,3694436.533427988,1.6246046E7,5285881.0,No Label
10.8.8.178-91.190.218.125-55623-12350-6,10.8.8.178,55623,91.190.218.125,12350,6,04/06/2015 01:36:43 上午,20455524,35,49,1925.0,977.0,534.0,0.0,55.00000000000002,106.88861712356577,121.0,0.0,19.938775510204085,26.240401549316807,141.86876855366793,4.10647021313167,246452.0963855422,1719827.9504964785,1.5700783E7,11.0,2.0312803E7,597435.3823529412,2674577.4970514276,1.5700783E7,532.0,4754724.0,99056.75,119449.0549850847,482579.0,51.0,0,0,0,0,700,1012,1.7110292554715294,2.395440957660141,0.0,534.0,34.14117647058824,73.01209178087207,5330.7655462184875,0,1,0,0,0,0,0,0,1.0,34.54761904761905,55.0,19.93877551020408,0,0,0,0,0,0,35,1925,49,977,-1,1056,14,0,0,0,0,0,0,0,0,0,No Label
10.8.8.178-91.190.218.125-55623-12350-6,91.190.218.125,12350,10.8.8.178,55623,6,04/06/2015 01:37:04 上午,142713,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.014140267529937,142713.0,0.0,142713.0,142713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.007070133764969,7.007070133764969,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1056,0,0,0,0,0,0,0,0,0,0,No Label
