Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,04/06/2015 01:31:20 上午,119936077,40,39,10619.0,8498.0,1285.0,0.0,265.4749999999999,366.2416175640031,693.0,0.0,217.89743589743594,248.59338972367104,159.3932407844222,0.6586842089223912,1537642.012820513,3317157.5711082667,2.0192248E7,9.0,1.19140785E8,3054891.923076923,4211822.997775018,2.0192248E7,46.0,1.19424498E8,3142749.947368421,4393938.113305506,2.0593227E7,63.0,0,1,0,0,1280,1248,0.3335109918594386,0.32517321706295266,0.0,1285.0,246.825,313.65827470535385,98381.51329113923,0,0,0,1,1,0,0,0,0.0,249.9493670886076,265.475,217.89743589743588,0,0,0,0,0,0,40,10619,39,8498,-1,64595,15,0,4007324.4444444445,4764665.571821964,1.3947296E7,23.0,9205185.777777778,4452329.428302666,2.0192248E7,5448085.0,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,04/06/2015 01:31:23 上午,119946532,274,200,17713.0,9784.0,766.0,4.0,64.64598540145987,97.57992235885527,363.0,0.0,48.919999999999995,71.62116696751697,229.24381006697217,3.951760772875034,253586.74841437614,1104835.7095682437,1.1084894E7,71.0,1.1953598E8,437860.73260073253,1490306.390652367,1.1418264E7,71.0,1.19946532E8,602746.3919597991,1678216.2741831664,1.137192E7,323.0,0,1,0,0,8768,6400,2.2843511640670027,1.6674096088080312,0.0,766.0,58.17473684210528,87.81108049851495,7710.7858583166735,0,0,0,1,1,0,0,0,0.0,58.29746835443038,64.64598540145985,48.92,0,0,0,0,0,0,274,17713,200,9784,-1,256,274,0,1.03166745E7,1.3907390354588035E7,3.7350336E7,134516.0,9041538.333333332,1719338.722352599,1.1084894E7,7140654.0,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,04/06/2015 01:31:23 上午,119832282,139,136,3645.0,43.0,103.0,0.0,26.22302158273381,15.043917912771178,27.0,0.0,0.31617647058823534,2.4027829725282923,30.776347895970133,2.2948740974489663,437344.0948905109,1530142.7329692065,1.2331235E7,9.0,1.16935202E8,847356.536231884,2065767.1055264673,1.2331235E7,37.0,1.19832282E8,887646.5333333334,2114289.6345433937,1.2597522E7,33.0,0,1,0,0,2780,2720,1.1599545438014773,1.1349195536474888,0.0,103.0,13.460144927536227,16.87737178959965,284.84567852437414,0,0,0,1,1,0,0,0,0.0,13.50909090909091,26.223021582733814,0.3161764705882353,0,0,0,0,0,0,139,3645,136,43,-1,401,127,0,7726365.857142856,7441678.916824246,2.0992976E7,30.0,8869833.571428573,2776348.1826367322,1.2331235E7,5048802.0,No Label
10.8.8.130-64.4.23.162-51146-40019-6,10.8.8.130,51146,64.4.23.162,40019,6,04/06/2015 01:31:29 上午,60578983,7,8,353.0,368.0,347.0,0.0,50.42857142857143,130.78462848369853,347.0,0.0,46.0,121.66816698357405,11.901817499973546,0.24761062760000443,4327070.214285715,1.1869859057031877E7,4.2685912E7,27.0,6.030801E7,1.0051335E7,1.7306634202755705E7,4.2685953E7,248.0,6.0542668E7,8648952.57142857,1.6222555092667295E7,4.2685961E7,44.0,0,1,0,0,224,256,0.11555162621333541,0.13205900138666904,0.0,347.0,66.75,139.0680888390048,19339.93333333333,0,0,0,1,1,0,0,0,1.0,71.2,50.42857142857143,46.0,0,0,0,0,0,0,7,353,8,368,-1,54,3,0,422987.0,214980.26047058366,575001.0,270973.0,2.9578126E7,1.853720873388418E7,4.2685912E7,1.647034E7,No Label
2.101.222.231-10.8.8.130-9396-34461-6,2.101.222.231,9396,10.8.8.130,34461,6,04/06/2015 01:31:26 上午,118106314,131,168,3044.0,2788.0,84.0,0.0,23.236641221374036,17.412123124672334,29.0,0.0,16.595238095238084,12.918092078050192,49.379239792378925,2.5316174036216217,396329.91275167797,2147818.4810112608,2.2725602E7,0.0,1.1742712E8,903285.5384615383,3189128.2341951975,2.2725732E7,3955.0,1.18106314E8,707223.4371257483,2857710.3718450973,2.2725737E7,202.0,0,1,0,0,4204,5400,1.1091701668041218,1.4224472368174998,0.0,84.0,19.506666666666664,15.358479695292907,235.88289855072452,0,0,0,1,1,0,0,0,1.0,19.57190635451505,23.236641221374047,16.595238095238095,0,0,0,0,0,0,131,3044,168,2788,-1,395,100,0,6551332.8,5122969.628690883,1.2377675E7,329045.0,1.6099279E7,4287536.532632288,2.2725602E7,1.2861757E7,No Label
10.8.8.130-77.103.197.35-52719-47872-6,10.8.8.130,52719,77.103.197.35,47872,6,04/06/2015 01:31:26 上午,118407606,105,100,14257.0,7776.0,853.0,0.0,135.7809523809524,215.80912065243336,321.0,0.0,77.76,78.88274382098581,186.07757342885557,1.731307699946235,580429.4411764707,2548817.5609253882,2.2696851E7,17.0,1.17778345E8,1132484.0865384617,3575741.1157874246,2.3098887E7,288.0,1.18407606E8,1196036.4242424236,3603003.7116898275,2.2696851E7,141219.0,0,1,0,0,3360,3200,0.8867673585090471,0.8445403414371877,0.0,853.0,107.44174757281556,165.75269266798412,27473.955126687197,0,0,0,1,1,0,0,0,0.0,107.96585365853659,135.78095238095239,77.76,0,0,0,0,0,0,105,14257,100,7776,-1,257,87,0,6796430.8,5247072.934771033,1.2816049E7,353762.0,1.58536174E7,4472456.176088962,2.2696851E7,1.2465427E7,No Label
157.56.192.53-10.8.8.130-443-33104-6,10.8.8.130,33104,157.56.192.53,443,6,04/06/2015 01:33:20 上午,119979068,49,48,9339.0,14207.0,821.0,0.0,190.59183673469383,298.5963634495674,725.0,0.0,295.9791666666667,247.92427546581277,196.2508993652126,0.8084743582105506,1249781.9583333328,2816043.4065850424,2.0616689E7,9.0,1.19633647E8,2492367.645833334,3610664.156199571,2.0616689E7,44.0,1.19979068E8,2552746.1276595746,3702588.2902034353,2.0983748E7,56.0,0,1,0,0,1568,1536,0.40840457270429875,0.40006978550625183,0.0,821.0,247.66326530612258,281.1628263574513,79052.53492531032,0,0,0,1,1,0,0,0,0.0,250.2164948453608,190.59183673469389,295.9791666666667,0,0,0,0,0,0,49,9339,48,14207,-1,64286,15,0,6123841.0,7388664.863520298,2.3543652E7,27.0,8200758.375,5106959.774762502,2.0616689E7,5088713.0,No Label
10.8.8.130-64.4.23.162-51146-40019-6,10.8.8.130,51146,64.4.23.162,40019,6,04/06/2015 01:33:29 上午,60623137,4,5,348.0,354.0,346.0,0.0,87.0,172.66924065005517,346.0,0.0,70.8,153.85447669794988,11.579737287432025,0.14845817035169262,7577892.125000001,2.1092968972075835E7,5.9779183E7,21.0,6.0354094E7,2.0118031333333336E7,3.4347570296409E7,5.9779183E7,268178.0,6.0623116E7,1.5155778999999998E7,2.9953772020154458E7,6.0086036E7,50.0,0,1,0,0,128,160,0.06598140904519673,0.08247676130649591,0.0,346.0,104.8,166.451060541997,27705.955555555556,0,0,0,1,1,0,0,0,1.0,116.44444444444444,87.0,70.8,0,0,0,0,0,0,4,348,5,354,-1,58,2,0,269043.0,0.0,269043.0,269043.0,5.9779183E7,0.0,5.9779183E7,5.9779183E7,No Label
2.30.116.54-10.8.8.130-58139-48835-6,10.8.8.130,48835,2.30.116.54,58139,6,04/06/2015 01:33:23 上午,119082326,290,197,17462.0,11322.0,608.0,4.0,60.21379310344829,92.9199667688108,472.0,0.0,57.47208121827411,88.06146671868706,241.71513075752318,4.089607722308011,245025.3621399175,1641947.4381488236,2.9635183E7,40.0,1.18747193E8,410889.9411764705,2160755.8218232845,2.9967459E7,66.0,1.19082326E8,607562.8877551025,2550978.59175648,2.9635183E7,40.0,0,1,0,0,9280,6316,2.4352900194441953,1.6543177028638154,0.0,608.0,59.12090163934426,90.81142166903278,8246.714305550877,0,0,0,1,1,0,0,0,0.0,59.24229979466119,60.213793103448275,57.47208121827411,0,0,0,0,0,0,290,17462,197,11322,-1,258,290,0,7500221.0,1.15232681740859E7,2.7065472E7,332417.0,1.34190688E7,9658080.256176105,2.9635183E7,5472387.0,No Label
10.8.8.130-86.4.212.228-59320-59222-6,86.4.212.228,59222,10.8.8.130,59320,6,04/06/2015 01:33:23 上午,118351376,142,140,3879.0,44.0,107.0,0.0,27.316901408450704,15.098903120326959,28.0,0.0,0.3142857142857144,2.4497414759674188,33.14705863664821,2.3827352881811867,421179.2740213526,2130487.342652235,2.9520573E7,4.0,1.18347969E8,839347.2978723402,2953848.0846756697,2.9520573E7,27.0,1.18351376E8,851448.7482014386,3016087.517674448,3.0033367E7,16.0,0,1,0,0,2840,2824,1.1998170600061295,1.1829182281750572,0.0,107.0,13.961130742049473,17.318314460078522,299.9240157381649,0,0,0,1,1,0,0,0,0.0,14.01063829787234,27.316901408450704,0.3142857142857143,0,0,0,0,0,0,142,3879,140,44,-1,421,131,0,7304724.2,1.1355752418067645E7,2.6635505E7,364037.0,1.33399618E7,9350988.613596143,2.9520573E7,7723504.0,No Label
