Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,23/05/2015 03:21:27 上午,90232376,70,38,30405.0,13055.0,965.0,0.0,434.35714285714295,463.3481814651707,1308.0,41.0,343.55263157894746,312.15014555701555,481.6453021252593,1.1969096325248045,843293.23364486,1163199.1101646048,2789537.0,7.0,9.000388E7,1304404.0579710144,1225109.9078242981,2789537.0,14.0,9.0232346E7,2438712.0540540544,1027802.4102997335,3020506.0,20.0,0,1,0,0,2240,1216,0.7757747618216326,0.42113487070317196,0.0,1308.0,407.1284403669725,418.1570035843224,174855.27964661905,0,0,0,1,1,0,0,0,0.0,410.89814814814815,434.35714285714283,343.55263157894734,0,0,0,0,0,0,70,30405,38,13055,-1,988,33,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,23/05/2015 03:21:51 上午,119951862,24084,12998,3.0643843E7,166330.0,1308.0,0.0,1272.3734844710207,205.22666420934345,1308.0,0.0,12.79658408985991,106.46243935749044,256854.47884085367,309.1406784498268,3234.860494592926,92608.53600771689,1.0193765E7,-3.0,1.19726466E8,4971.4099572312725,115202.04336833465,1.0193765E7,0.0,1.19951862E8,9229.1961221821,164275.65994207095,1.0469518E7,2.0,0,0,0,0,789396,463676,200.7805431148705,108.36013533495628,0.0,1308.0,830.8435940997225,626.5210291255286,392528.59993651137,0,1,0,0,0,0,0,0,0.0,830.8659996763929,1272.3734844710182,12.796584089859978,0,0,0,0,0,0,24084,30643843,12998,166330,-1,13364,23959,0,2.8127874666666664E7,3.374667381789988E7,6.7022948E7,6626574.0,9184218.0,1035264.2457696489,1.0193765E7,8125023.0,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,23/05/2015 03:23:43 上午,15058431,1,4,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,13.25,26.5,3.5196229939228063,0.3320399050870572,3764607.7500000005,7366310.205660741,1.4812708E7,26.0,0,0,0,0,0,1.5058431E7,5019477.0,8482075.693046898,1.4812708E7,69.0,0,0,0,0,32,128,0.06640798101741144,0.26563192406964575,0.0,53.0,8.833333333333332,21.63715939458474,468.16666666666663,0,0,0,0,1,0,0,0,4.0,10.6,0.0,13.25,0,0,0,0,0,0,1,0,4,53,-1,988,0,0,245654.0,0.0,245654.0,245654.0,1.4812708E7,0.0,1.4812708E7,1.4812708E7,No Label
10.8.8.138-23.21.114.223-59218-443-6,10.8.8.138,59218,23.21.114.223,443,6,23/05/2015 03:23:58 上午,9903313,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20195261929013048,9903313.0,0.0,9903313.0,9903313.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.10097630964506524,0.10097630964506524,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1266,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,23/05/2015 03:21:59 上午,90698307,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06615338475943107,1.81396614E7,2.4518311326273266E7,4.4999603E7,224418.0,4.5224021E7,4.5224021E7,0.0,4.5224021E7,4.5224021E7,9.0698307E7,3.0232769E7,2.5985472965113007E7,4.5249911E7,227334.0,0,0,0,0,64,128,0.02205112825314369,0.04410225650628738,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,358,0,0,225876.0,2061.9233739399724,227334.0,224418.0,4.49981235E7,2092.328965530994,4.4999603E7,4.4996644E7,No Label
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,23/05/2015 03:22:11 上午,90624447,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06620730055323813,1.81248894E7,2.453121498266824E7,4.4997888E7,208488.0,4.5208033E7,4.5208033E7,0.0,4.5208033E7,4.5208033E7,9.0624447E7,3.0208149E7,2.597843510682364E7,4.5207235E7,210836.0,0,0,0,0,64,128,0.022069100184412712,0.044138200368825424,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,350,0,0,210490.5,488.61078579990436,210836.0,210145.0,4.4997489E7,564.2712113868649,4.4997888E7,4.499709E7,No Label
10.8.8.138-74.125.226.47-45269-443-6,10.8.8.138,45269,74.125.226.47,443,6,23/05/2015 03:24:27 上午,59141343,1,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,1.0652446631115564,0.10145187267729108,1.18282686E7,1.94536586540474E7,4.4998503E7,61.0,0,0,0,0,0,5.9141343E7,1.478533575E7,2.127340783527313E7,4.5207168E7,61.0,0,0,0,0,32,160,0.01690864544621518,0.08454322723107591,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,5.0,10.5,0.0,12.6,0,0,0,0,0,0,1,0,5,63,-1,350,0,0,209058.5,556.4930367938128,209452.0,208665.0,2.93615825E7,2.211394504484988E7,4.4998503E7,1.3724662E7,No Label
10.8.8.138-74.125.226.38-51827-443-6,10.8.8.138,51827,74.125.226.38,443,6,23/05/2015 03:23:10 上午,91414605,13,13,519.0,4293.0,210.0,0.0,39.92307692307692,63.09577579423937,1308.0,0.0,330.2307692307692,558.8628564394777,52.63929106295433,0.28441844713981973,3656584.1999999997,1.2442704992280902E7,4.4999415E7,19.0,9.0991753E7,7582646.083333334,1.758816131085345E7,4.5260209E7,64.0,9.1414605E7,7617883.75,1.7559362407168113E7,4.5209743E7,45.0,0,0,0,0,416,432,0.14220922356990987,0.14220922356990987,0.0,1308.0,178.22222222222217,410.27667337779354,168326.9487179487,0,1,0,0,0,0,0,0,1.0,185.07692307692307,39.92307692307692,330.2307692307692,0,0,0,0,0,0,13,519,13,4293,-1,341,6,0,604163.5,553844.9218982693,995791.0,212536.0,4.4997975E7,2036.467529817257,4.4999415E7,4.4996535E7,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,23/05/2015 03:23:51 上午,98062000,19597,10219,2.5040292E7,130948.0,1308.0,0.0,1277.7614941062413,185.94594244047477,1308.0,0.0,12.814169683922078,109.71828287040198,256686.99394260775,304.0525381901246,3289.015596176452,194271.00365190126,3.1596641E7,-4.0,9.8061878E7,5004.178301694213,239769.4675466364,3.1596641E7,0.0,9.8022729E7,9593.14239577212,335791.41960782063,3.1875173E7,3.0,0,1,0,0,651536,340844,199.84295649691012,104.2095816932145,0.0,1308.0,844.1965321796278,622.3458891155296,387314.4056989992,0,0,0,1,1,0,0,0,0.0,844.2248457204186,1277.7614941062407,12.814169683922106,0,0,0,0,0,0,19597,25040292,10219,130948,-1,13651,19508,0,7617116.5,3412307.114282139,1.0029982E7,5204251.0,2.06442025E7,1.5489087067757238E7,3.1596641E7,9691764.0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,23/05/2015 03:24:14 上午,90681571,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616559388897221,1.81363142E7,2.452095211368309E7,4.4998888E7,225176.0,4.5224064E7,4.5224064E7,0.0,4.5224064E7,4.5224064E7,9.0681571E7,3.0227190333333332E7,2.5973496484964635E7,4.5224361E7,235580.0,0,0,0,0,64,128,0.022055197962990738,0.044110395925981476,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,358,0,0,230378.0,7356.73895146484,235580.0,225176.0,4.4997671E7,1721.0979054080567,4.4998888E7,4.4996454E7,No Label
