Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-74.125.226.38-51827-443-6,74.125.226.38,443,10.8.8.138,51827,6,23/05/2015 03:27:10 上午,45,1,1,0.0,63.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,0.0,1400000.0,44444.444444444445,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,32,22222.222222222223,22222.222222222223,0.0,63.0,42.0,36.373066958946424,1323.0,0,0,0,1,1,0,0,0,1.0,63.0,0.0,63.0,0,0,0,0,0,0,1,0,1,63,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-75.101.155.12-47126-22-6,10.8.8.138,47126,75.101.155.12,22,6,23/05/2015 03:27:52 上午,231660,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.6333419666753,231660.0,0.0,231660.0,231660.0,0,0,0,0,0,231660.0,231660.0,0.0,231660.0,231660.0,0,0,0,0,0,64,0.0,8.6333419666753,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,8415,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.56-51143-443-6,10.8.8.138,51143,74.125.226.56,443,6,23/05/2015 03:27:51 上午,10221076,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39134822987325407,3407025.3333333335,5711980.009313087,1.0001434E7,65.0,1.0001434E7,1.0001434E7,0.0,1.0001434E7,1.0001434E7,219577.0,219577.0,0.0,219577.0,219577.0,0,0,0,0,64,80,0.19567411493662704,0.19567411493662704,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42540,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,23/05/2015 03:27:29 上午,59101196,1,5,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,12.6,28.17445651649735,1.0659682758365838,0.10152078817491274,1.18202392E7,1.945084488464562E7,4.4998067E7,87.0,0,0,0,0,0,5.9101196E7,1.4775299E7,2.1281096627352376E7,4.5219869E7,87.0,0,0,0,0,32,160,0.016920131362485456,0.08460065681242727,0.0,63.0,9.0,23.811761799581316,567.0,0,0,0,0,1,0,0,0,5.0,10.5,0.0,12.6,0,0,0,0,0,0,1,0,5,63,-1,350,0,0,213866.0,11223.198830992882,221802.0,205930.0,2.93366885E7,2.21485338801584E7,4.4998067E7,1.367531E7,No Label
10.8.8.138-75.101.155.12-43336-22-6,10.8.8.138,43336,75.101.155.12,22,6,23/05/2015 03:27:30 上午,119555502,817,836,17444.0,995548.0,1308.0,0.0,21.35128518971849,127.15921479889974,1308.0,0.0,1190.8468899521542,367.7556993080455,8472.985208158801,13.826214371965918,72370.1585956416,150628.69010212753,2049426.0,4.0,1.19317068E8,146221.89705882355,191066.96260995275,2049426.0,4.0,1.1955545E8,143180.17964071865,193209.453386289,2330983.0,6.0,0,1,0,0,30712,26788,6.833646183845223,6.992568188120694,0.0,1308.0,612.4909310761785,646.8105421320578,418363.8774131665,0,0,0,1,1,0,0,0,1.0,612.8614640048397,21.35128518971848,1190.846889952153,0,0,0,0,0,0,817,17444,836,995548,-1,15877,83,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-64.233.171.188-45325-5228-6,10.8.8.138,45325,64.233.171.188,5228,6,23/05/2015 03:27:15 上午,90683116,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06616446660258124,1.81366232E7,2.452115230191819E7,4.4999659E7,224274.0,4.5223933E7,4.5223933E7,0.0,4.5223933E7,4.5223933E7,9.0683116E7,3.0227705333333332E7,2.597764430516134E7,4.5230796E7,231306.0,0,0,0,0,64,128,0.022054822200860413,0.04410964440172083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,4,0,-1,358,0,0,227790.0,4972.374885303802,231306.0,224274.0,4.49981995E7,2064.0446942835324,4.4999659E7,4.499674E7,No Label
10.8.8.138-74.125.226.56-51142-443-6,10.8.8.138,51142,74.125.226.56,443,6,23/05/2015 03:27:51 上午,91264042,11,11,887.0,289.0,517.0,0.0,80.63636363636364,154.67725930289348,153.0,0.0,26.272727272727273,47.07460230122164,12.88568831961223,0.24105879509478662,4345906.761904762,1.3515707466819767E7,4.4999913E7,34.0,9.0847802E7,9084780.2,1.903861705232823E7,4.5207998E7,169.0,9.1264042E7,9126404.2,1.901666127395585E7,4.5208485E7,38.0,0,0,0,0,352,368,0.12052939754739331,0.12052939754739331,0.0,517.0,51.130434782608695,112.895488414497,12745.391304347826,0,1,0,0,0,0,0,0,1.0,53.45454545454545,80.63636363636364,26.272727272727273,0,0,0,0,0,0,11,887,11,289,-1,350,6,0,528514.5,453155.74468442966,848944.0,208085.0,4.49992205E7,979.3428919433683,4.4999913E7,4.4998528E7,No Label
10.8.8.138-75.101.155.12-35968-22-6,10.8.8.138,35968,75.101.155.12,22,6,23/05/2015 03:28:06 上午,77655563,5559,11511,92295.0,1.4652538E7,1308.0,0.0,16.602806260118737,78.69303601968916,1308.0,0.0,1272.916167144475,204.82254023621945,189874.78076747703,219.81683398522267,4549.508641396688,142696.88184516103,1.5755634E7,0.0,7.7413939E7,13928.380532565685,250363.63773917497,1.5755634E7,3.0,7.7616703E7,6743.414682884453,177997.29065978088,1.6054755E7,7.0,0,0,0,0,183276,370336,71.58534154211206,148.2314924431106,0.0,1308.0,863.7357506883016,613.9672180763172,376955.7448723721,0,1,0,0,0,0,0,0,2.0,863.7863503222027,16.602806260118726,1272.9161671444706,0,0,0,0,0,0,5559,92295,11511,14652538,-1,883,691,0,1.7581536E7,1.8874101274499137E7,3.0927541E7,4235531.0,1.241406E7,4725699.270473313,1.5755634E7,9072486.0,No Label
10.8.8.138-75.101.155.12-35968-22-6,10.8.8.138,35968,75.101.155.12,22,6,23/05/2015 03:30:24 上午,242811,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.236859120880027,242811.0,0.0,242811.0,242811.0,0,0,0,0,0,242811.0,242811.0,0.0,242811.0,242811.0,0,0,0,0,0,64,0.0,8.236859120880027,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,883,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.38-51828-443-6,10.8.8.138,51828,74.125.226.38,443,6,23/05/2015 03:28:28 上午,203636,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.821446109725196,203636.0,0.0,203636.0,203636.0,0,0,0,0,0,203636.0,203636.0,0.0,203636.0,203636.0,0,0,0,0,0,64,0.0,9.821446109725196,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
