Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
144.118.64.164-10.8.8.134-9987-49700-6,144.118.64.164,9987,10.8.8.134,49700,6,05/06/2015 09:50:21 下午,590,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3389.830508474576,590.0,0.0,590.0,590.0,0,0,0,0,0,590.0,590.0,0.0,590.0,590.0,0,0,0,0,0,64,0.0,3389.830508474576,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,229,0,0,0,0,0,0,0,0,0,0,No Label
174.21.67.7-10.8.8.134-36864-48866-6,10.8.8.134,48866,174.21.67.7,36864,6,05/06/2015 09:50:21 下午,216488,0,2,0.0,20.0,0,0,0,0,20.0,0.0,10.0,14.142135623730951,92.38387347104688,9.23838734710469,216488.0,0.0,216488.0,216488.0,0,0,0,0,0,216488.0,216488.0,0.0,216488.0,216488.0,0,1,0,0,0,64,0.0,9.23838734710469,0.0,20.0,13.333333333333332,11.547005383792516,133.33333333333334,0,0,0,1,1,0,0,0,0.0,20.0,0.0,10.0,0,0,0,0,0,0,0,0,2,20,-1,259,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.134-99.29.0.18-44588-46385-6,10.8.8.134,44588,99.29.0.18,46385,6,05/06/2015 09:50:21 下午,62298416,36,41,565.0,213.0,56.0,0.0,15.694444444444448,11.486189084397822,98.0,0.0,5.1951219512195115,18.170332292221737,12.4882789957292,1.235986481582453,819715.9999999997,3083966.3225634834,1.9743085E7,9.0,5.9994617E7,1714131.914285714,4432486.287529582,1.9743085E7,334.0,6.2298416E7,1557460.4,4218209.1675322745,1.9986235E7,33.0,0,0,0,0,1152,1332,0.577863809571017,0.658122672011436,0.0,98.0,9.974358974358971,16.13174200863317,260.23310023310023,0,1,0,0,0,0,0,0,1.0,10.103896103896103,15.694444444444445,5.195121951219512,0,0,0,0,0,0,36,565,41,213,-1,8221,28,0,840152.6666666667,1033201.5101577878,2033191.0,243524.0,1.5582836333333334E7,3604812.4631553763,1.9743085E7,1.3384724E7,No Label
10.8.8.134-68.190.134.49-55199-5840-6,10.8.8.134,55199,68.190.134.49,5840,6,05/06/2015 09:50:21 下午,62607331,39,31,580.0,193.0,65.0,0.0,14.87179487179487,12.715882085800144,89.0,0.0,6.225806451612903,18.36610950894674,12.346796895079267,1.1180799258157164,907352.6231884059,3197133.6263181306,1.9754445E7,18.0,6.1846418E7,1627537.3157894737,4212741.418312476,1.9754445E7,107.0,6.2607331E7,2086911.0333333332,4755541.883287724,1.9990546E7,36.0,0,0,0,0,1248,1008,0.622930244383042,0.4951496814326744,0.0,89.0,10.887323943661974,15.890292900091685,252.50140845070425,0,1,0,0,0,0,0,0,0.0,11.042857142857143,14.871794871794872,6.225806451612903,0,0,0,0,0,0,39,580,31,193,-1,258,28,0,915302.6666666667,1179622.6902642783,2277413.0,233120.0,1.5435056333333334E7,3757830.2205794677,1.9754445E7,1.2916964E7,No Label
130.88.8.60-10.8.8.134-56289-56604-6,10.8.8.134,56604,130.88.8.60,56289,6,05/06/2015 09:50:21 下午,119991996,215,179,38988.0,4309.0,1024.0,0.0,181.3395348837209,340.41855911848575,502.0,0.0,24.072625698324018,55.828492175345346,360.83240085447034,3.28355234627483,305323.14503816824,1391331.1873558797,1.3194245E7,11.0,1.1951458E8,558479.3457943924,1895920.6590599765,1.352825E7,15.0,1.19991996E8,674112.3370786516,2039474.2038676913,1.3341211E7,31.0,0,1,0,0,6880,5728,1.7917861788047929,1.4917661674700369,0.0,1024.0,109.6632911392405,265.52338037772125,70502.66552721206,0,0,0,1,1,0,0,0,0.0,109.94162436548223,181.33953488372094,24.07262569832402,0,0,0,0,0,0,215,38988,179,4309,-1,260,123,0,3169447.571428571,6964702.852434525,1.8882234E7,136230.0,1.038812557142857E7,1608351.1363797246,1.3194245E7,8381216.0,No Label
10.8.8.134-68.39.103.211-45549-65514-6,10.8.8.134,45549,68.39.103.211,65514,6,05/06/2015 09:51:23 下午,62634351,88,57,33623.0,139.0,1308.0,0.0,382.0795454545455,426.094485814086,63.0,0.0,2.4385964912280698,9.447254975198671,539.0332854251176,2.315023588254311,434960.7708333336,1869588.0443752704,1.9591958E7,5.0,5.9379607E7,682524.2183908045,2382096.951528868,1.9591958E7,5.0,6.2634351E7,1118470.5535714289,2968452.33321915,1.9830411E7,599.0,0,0,0,0,2816,1840,1.404979832871582,0.9100437553827292,0.0,1308.0,231.24657534246575,379.11027531611404,143724.6008502598,0,1,0,0,0,0,0,0,0.0,232.84137931034482,382.07954545454544,2.43859649122807,0,0,0,0,0,0,88,33623,57,139,-1,260,78,0,1274316.5,1466063.581317161,2310980.0,237653.0,1.51701065E7,6253442.362099814,1.9591958E7,1.0748255E7,No Label
128.78.14.125-10.8.8.134-26965-56230-6,10.8.8.134,56230,128.78.14.125,26965,6,05/06/2015 09:51:24 下午,62332274,85,56,29524.0,182.0,1024.0,0.0,347.3411764705883,413.05890139592555,70.0,0.0,3.250000000000001,12.88586258445489,476.5749441453075,2.262070528663851,445230.52857142856,1897759.184981826,1.9641672E7,14.0,6.1972042E7,737762.4047619046,2437358.463389256,1.9641672E7,14.0,6.2332274E7,1133314.0727272725,2986354.6370158503,1.9820546E7,42.0,0,0,0,0,2720,1832,1.3636595385562222,0.8984109901076287,0.0,1024.0,209.1971830985916,361.0671385955375,130369.47857356907,0,1,0,0,0,0,0,0,0.0,210.68085106382978,347.3411764705882,3.25,0,0,0,0,0,0,85,29524,56,182,-1,66,75,0,1036571.5,1218352.7621590144,1898077.0,175066.0,1.5108694E7,6410598.965538868,1.9641672E7,1.0575716E7,No Label
130.88.8.60-10.8.8.134-56289-15685-17,10.8.8.134,15685,130.88.8.60,56289,17,05/06/2015 09:50:36 下午,119589763,131,98,40216.0,36344.0,1378.0,19.0,306.9923664122137,543.9642450945468,527.0,22.0,370.85714285714295,225.97103180827156,640.188575338175,1.9148796205909362,524516.5043859645,2710306.344909433,2.0323091E7,1.0,9.9466378E7,765125.9846153845,3425807.229347041,2.0462111E7,48.0,1.19589763E8,1232884.1546391752,4199042.266320429,2.047596E7,17.0,0,0,0,0,1048,784,1.0954114860149025,0.8194681345760338,19.0,1378.0,332.96956521739105,437.06485677300924,191025.68902601107,0,0,0,0,0,0,0,0,0.0,334.4235807860262,306.99236641221376,370.85714285714283,0,0,0,0,0,0,131,40216,98,36344,-1,-1,131,0,3675369.0,4211158.101548647,9208817.0,136069.0,1.6233686166666666E7,4403610.100971221,2.0323091E7,1.0290851E7,No Label
134.170.18.137-10.8.8.134-443-34251-6,10.8.8.134,34251,134.170.18.137,443,6,05/06/2015 09:50:23 下午,95307872,15,13,3401.0,5543.0,965.0,0.0,226.7333333333333,344.2570606531169,949.0,0.0,426.38461538461536,406.670328903224,93.84324518335694,0.29378475683519617,3529921.185185185,8849253.563186023,3.2255675E7,13.0,9.4986358E7,6784739.857142856,1.157417680449249E7,3.2255675E7,42.0,9.5307826E7,7942318.833333332,1.2296510987020321E7,3.2670755E7,87.0,0,1,0,0,480,416,0.15738469116171222,0.13640006567348392,0.0,965.0,330.65517241379314,379.0821882108406,143703.30541871922,0,0,0,1,1,0,0,0,0.0,342.4642857142857,226.73333333333332,426.38461538461536,0,0,0,0,0,0,15,3401,13,5543,-1,64755,5,0,370768.0,57988.485753639055,421300.0,319552.0,2.29056855E7,9524599.288100174,3.2255675E7,1.3872169E7,No Label
157.56.52.13-10.8.8.134-40011-56748-6,157.56.52.13,40011,10.8.8.134,56748,6,05/06/2015 09:50:27 下午,97614877,25,27,393.0,1083.0,69.0,0.0,15.719999999999999,25.469786021873052,387.0,0.0,40.11111111111111,101.97297278929932,15.120646005628833,0.5327056858351622,1914017.1960784313,8640411.46070938,5.9690282E7,15.0,9.7298187E7,4054091.125,1.2459000184710275E7,6.0040723E7,39.0,9.7614877E7,3754418.346153846,1.1955837334532835E7,5.9690282E7,278.0,0,1,0,0,800,864,0.2561085028053664,0.27659718302979575,0.0,387.0,27.92452830188679,75.22219625794887,5658.378809869376,0,0,0,1,1,0,0,0,1.0,28.46153846153846,15.72,40.111111111111114,0,0,0,0,0,0,25,393,27,1083,-1,695,15,0,1593955.5,1166035.3637737578,3141821.0,310148.0,2.266275075E7,2.491681886855025E7,5.9690282E7,5628611.0,No Label
