Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,05/06/2015 09:50:21 下午,119889286,206,231,35943.0,18483.0,1308.0,0.0,174.4805825242719,405.78690444153614,1308.0,0.0,80.01298701298704,239.9899179135853,453.9688392172091,3.6450296317554183,274975.42660550453,1341599.935129383,1.4252434E7,3.0,1.19513605E8,582993.1951219513,1932302.3361013602,1.4252482E7,17.0,1.19889286E8,521257.76521739137,1830418.2522424567,1.4252496E7,3.0,0,1,0,0,6604,7392,1.718251954557474,1.9267776771979441,0.0,1308.0,124.30593607305934,331.3707713591161,109806.58811113558,0,0,0,1,1,0,0,0,1.0,124.5903890160183,174.48058252427185,80.01298701298701,0,0,0,0,0,0,206,35943,231,18483,-1,866,153,0,3060640.5714285714,6853057.949802699,1.854424E7,129869.0,1.0119542285714285E7,3349216.3026075577,1.4252434E7,6218302.0,No Label
10.8.8.130-64.4.23.162-52058-40019-6,10.8.8.130,52058,64.4.23.162,40019,6,05/06/2015 09:50:30 下午,119745405,5,5,784.0,10.0,391.0,0.0,156.8,213.79593073770135,4.0,0.0,2.0,1.9999999999999998,6.630734598960185,0.0835105113219167,1.3305045E7,2.6160256839491125E7,5.977286E7,33.0,1.19431276E8,2.9857819E7,3.416642752668764E7,5.977286E7,268984.0,5.9972503E7,1.499312575E7,2.9597866847624894E7,5.9389439E7,33.0,0,1,0,0,160,160,0.04175525566095835,0.04175525566095835,0.0,391.0,72.36363636363637,157.54508734154342,24820.454545454544,0,0,0,1,1,0,0,0,1.0,79.6,156.8,2.0,0,0,0,0,0,0,5,784,5,10,-1,81,3,0,426792.5,221070.5711769434,583113.0,270472.0,5.944591E7,462377.12421788345,5.977286E7,5.911896E7,No Label
130.88.8.60-10.8.8.130-56289-49539-17,10.8.8.130,49539,130.88.8.60,56289,17,05/06/2015 09:50:33 下午,102152501,103,66,22089.0,43392.0,519.0,19.0,214.4563106796117,234.64047494900515,1378.0,22.0,657.4545454545456,675.9803406749497,641.012205858768,1.654389254747664,608050.6011904762,3018780.339360427,2.0801149E7,22.0,7.9872268E7,783061.4509803923,3357941.5656718453,2.0935185E7,69.0,1.02152501E8,1571576.9384615377,4976157.389357243,2.0934567E7,25.0,0,0,0,0,824,528,1.0082964096982805,0.6460928450493836,19.0,1378.0,385.31176470588224,506.4334069932205,256474.79571876093,0,0,0,0,0,0,0,0,0.0,387.5917159763314,214.45631067961165,657.4545454545455,0,0,0,0,0,0,103,22089,66,43392,-1,-1,103,0,2692019.6,3522694.4740778757,7039678.0,130294.0,1.73023832E7,4042900.1597172422,2.0801149E7,1.2046019E7,No Label
157.56.192.53-10.8.8.130-443-51906-6,10.8.8.130,51906,157.56.192.53,443,6,05/06/2015 09:50:34 下午,84486828,9,10,2095.0,3475.0,981.0,0.0,232.77777777777777,371.745469971652,949.0,0.0,347.5,395.1354901240277,65.92743664136616,0.22488712678383427,4693712.666666666,1.345128632050735E7,4.9512241E7,23.0,8.3005254E7,1.037565675E7,1.9312247842523627E7,4.9512276E7,811.0,8.4486828E7,9387425.333333334,1.837662264541841E7,4.9512264E7,33542.0,0,1,0,0,288,320,0.10652548110813202,0.11836164567570225,0.0,981.0,309.95000000000005,375.58648523973386,141065.2078947368,0,0,0,1,1,0,0,0,1.0,326.2631578947368,232.77777777777777,347.5,0,0,0,0,0,0,9,2095,10,3475,-1,64286,3,0,1355138.5,244939.6676826765,1528337.0,1181940.0,4.07212715E7,1.2432308293308226E7,4.9512241E7,3.1930302E7,No Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,05/06/2015 09:52:21 下午,119816373,275,349,45513.0,33845.0,1308.0,0.0,165.5018181818182,314.52606421356364,1308.0,0.0,96.97707736389684,227.12705832301907,662.3301808676849,5.207969364921437,192321.62600321035,806517.362089891,1.0848598E7,0.0,1.19684677E8,436805.3905109489,1203640.206014171,1.0848633E7,25.0,1.19816373E8,344299.92241379304,1077474.7123425747,1.0848662E7,4.0,0,1,0,0,8800,11168,2.295178806656082,2.912790558265355,0.0,1308.0,126.99360000000017,270.8998122780962,73386.70829230777,0,0,0,1,1,0,0,0,1.0,127.19711538461539,165.50181818181818,96.97707736389685,0,0,0,0,0,0,275,45513,349,33845,-1,1444,185,0,1.23709516E7,1.4679156283042047E7,3.613812E7,130847.0,8553006.2,2091554.5692801564,1.0848598E7,6413807.0,No Label
10.8.8.130-64.4.23.162-52058-40019-6,10.8.8.130,52058,64.4.23.162,40019,6,05/06/2015 09:52:30 下午,119792444,8,7,788.0,21.0,391.0,0.0,98.5,180.5404584652901,10.0,0.0,3.0,3.605551275463989,6.753347481582394,0.125216578768524,8556603.142857144,1.820845294369603E7,5.9477229E7,21.0,1.19792394E8,1.711319914285714E7,2.3453544540885948E7,5.9477229E7,1140.0,9.4967999E7,1.5827999833333332E7,2.5486859334427647E7,5.9747626E7,310.0,0,0,0,0,256,224,0.06678217534321279,0.0584344034253112,0.0,391.0,50.56250000000001,132.9205119610965,17667.8625,0,0,0,0,1,0,0,0,0.0,53.93333333333333,98.5,3.0,0,0,0,0,0,0,8,788,7,21,-1,83,4,0,374898.0,182996.69790463435,586200.0,268068.0,3.9555916666666664E7,1.789985179678045E7,5.9477229E7,2.4824445E7,No Label
213.199.179.153-10.8.8.130-40033-49539-17,10.8.8.130,49539,213.199.179.153,40033,17,05/06/2015 09:50:27 下午,30176088,5,7,110.0,610.0,22.0,22.0,22.0,0.0,98.0,22.0,87.14285714285714,28.72529994870127,23.859951627924733,0.3976658604654122,2743280.7272727275,8806305.315057822,2.9294817E7,1050.0,2.9865753E7,7466438.25,1.4638061480570743E7,2.9423499E7,129234.0,3.0176088E7,5029348.0,1.1950897178328076E7,2.942396E7,129143.0,0,0,0,0,40,56,0.16569410852725508,0.23197175193815714,22.0,98.0,57.07692307692308,39.43446364637058,1555.0769230769229,0,0,0,0,0,0,0,0,1.0,61.833333333333336,22.0,87.14285714285714,0,0,0,0,0,0,5,110,7,610,-1,-1,5,0,491977.0,0.0,491977.0,491977.0,2.9294817E7,0.0,2.9294817E7,2.9294817E7,No Label
130.88.8.60-10.8.8.130-56289-49539-17,10.8.8.130,49539,130.88.8.60,56289,17,05/06/2015 09:52:33 下午,119695581,102,100,21055.0,32134.0,533.0,20.0,206.42156862745094,237.34761390672963,1375.0,14.0,321.34000000000003,263.1680041035353,444.36895293569773,1.6876145160279559,595500.4029850743,2593946.5682453387,1.9734601E7,13.0,1.11380391E8,1102776.1485148512,3687577.840950825,1.9865514E7,48.0,1.19695581E8,1209046.2727272722,4093934.286729744,2.0439673E7,13.0,0,0,0,0,816,800,0.852161785321047,0.8354527307069088,14.0,1375.0,262.1231527093593,256.31624882514456,65698.01941179343,0,0,0,0,0,0,0,0,0.0,263.4207920792079,206.42156862745097,321.34,0,0,0,0,0,0,102,21055,100,32134,-1,-1,102,0,3243670.25,5088299.711985155,1.4075734E7,678.0,1.1702034249999998E7,6083956.13717169,1.9734601E7,5249964.0,No Label
157.56.192.53-10.8.8.130-443-51906-6,10.8.8.130,51906,157.56.192.53,443,6,05/06/2015 09:52:48 下午,101985701,10,11,2596.0,3672.0,997.0,0.0,259.6,363.0393918020467,965.0,0.0,333.8181818181818,386.9702361117243,61.45959618397877,0.20591121886782932,5099285.050000001,1.1923929870342705E7,4.0774459E7,13.0,1.01636917E8,1.1292990777777778E7,1.618150669943244E7,4.0774507E7,45.0,1.01947838E8,1.01947838E7,1.5672544095817342E7,4.0774472E7,72.0,0,1,0,0,320,352,0.098052961365633,0.10785825750219631,0.0,997.0,313.5,366.2403257295354,134131.9761904762,0,0,0,1,1,0,0,0,1.0,328.42857142857144,259.6,333.8181818181818,0,0,0,0,0,0,10,2596,11,3672,-1,64430,4,0,1957779.6666666665,2826106.994467891,5221026.0,308886.0,3.197965E7,8196040.423070216,4.0774459E7,2.4555105E7,No Label
130.88.8.60-10.8.8.130-56289-42490-6,130.88.8.60,56289,10.8.8.130,42490,6,05/06/2015 09:54:21 下午,119861308,400,718,6574.0,54939.0,1047.0,0.0,16.434999999999985,89.84849835496196,534.0,0.0,76.51671309192197,154.89457115136693,513.201474490834,9.327447019016345,107306.45299910463,584389.6163631652,1.8412764E7,10.0,1.19182542E8,298703.1127819545,977440.563531029,1.8544322E7,27.0,1.19861308E8,167170.58298465834,735029.7177382346,1.8412764E7,46.0,0,1,0,0,12800,22976,3.337190346696367,5.990256672319979,0.0,1047.0,54.988382484361075,138.19737398439506,19098.514176182754,0,0,0,1,1,0,0,0,1.0,55.03756708407871,16.435,76.516713091922,0,0,0,0,0,0,400,6574,718,54939,-1,1444,119,0,1.2816012E7,0.0,1.2816012E7,1.2816012E7,1.8412764E7,0.0,1.8412764E7,1.8412764E7,No Label
