Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
208.117.240.241-10.8.8.138-443-53289-6,10.8.8.138,53289,208.117.240.241,443,6,25/05/2015 02:32:20 上午,198482,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10.076480486895537,198482.0,0.0,198482.0,198482.0,0,0,0,0,0,198482.0,198482.0,0.0,198482.0,198482.0,0,0,0,0,0,64,0.0,10.076480486895537,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,243,0,0,0,0,0,0,0,0,0,0,No Label
208.117.240.241-10.8.8.138-443-53292-6,208.117.240.241,443,10.8.8.138,53292,6,25/05/2015 02:32:18 上午,2937274,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0213551749002647,1468637.0,2074651.2960013305,2935637.0,1637.0,0,0,0,0,0,2937274.0,1468637.0,2074651.2960013305,2935637.0,1637.0,0,0,0,0,0,96,0.0,1.0213551749002647,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,229,0,0,0,0,0,0,0,0,0,0,No Label
208.117.251.116-10.8.8.138-443-56552-6,208.117.251.116,443,10.8.8.138,56552,6,25/05/2015 02:32:18 上午,2896127,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0358661757581764,1448063.5,2047270.0001134437,2895702.0,425.0,0,0,0,0,0,2896127.0,1448063.5,2047270.0001134437,2895702.0,425.0,0,0,0,0,0,96,0.0,1.0358661757581764,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,229,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-74.125.226.33-58852-443-6,74.125.226.33,443,10.8.8.138,58852,6,25/05/2015 02:32:18 上午,2915379,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0290257287302953,1457689.5,2056318.1384855069,2911726.0,3653.0,0,0,0,0,0,2915379.0,1457689.5,2056318.1384855069,2911726.0,3653.0,0,0,0,0,0,96,0.0,1.0290257287302953,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,229,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.164.255.216-33719-443-6,54.164.255.216,443,10.8.8.138,33719,6,25/05/2015 02:32:29 上午,4999437,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,6.200698198617164,0.6000675676081126,2499718.5,3535060.8514961237,4999384.0,53.0,0,0,0,0,0,53.0,53.0,0.0,53.0,53.0,0,1,0,0,32,64,0.20002252253603756,0.4000450450720751,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,378,0,0,0,0,0,0,0,0,0,0,No Label
208.117.251.116-10.8.8.138-443-56549-6,208.117.251.116,443,10.8.8.138,56549,6,25/05/2015 02:32:40 上午,141146,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21.254587448457627,70573.0,44001.84077967648,101687.0,39459.0,0,0,0,0,0,141146.0,70573.0,44001.84077967648,101687.0,39459.0,0,0,0,0,0,96,0.0,21.254587448457627,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,3455,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.164.255.216-33719-443-6,10.8.8.138,33719,54.164.255.216,443,6,25/05/2015 02:32:34 上午,6306791,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3171184838692134,6306791.0,0.0,6306791.0,6306791.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.1585592419346067,0.1585592419346067,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,378,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.235.151.171-54541-443-6,10.8.8.138,54541,54.235.151.171,443,6,25/05/2015 02:32:39 上午,20215478,1,4,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,9.25,18.5,1.830280738353058,0.2473352349125754,5053869.5,7015832.14302611,1.4990196E7,28.0,0,0,0,0,0,2.0215478E7,6738492.666666667,7536926.424431735,1.4990196E7,217374.0,0,0,0,0,32,128,0.04946704698251508,0.1978681879300603,0.0,37.0,6.166666666666667,15.105186747162932,228.16666666666669,0,0,0,0,1,0,0,0,4.0,7.4,0.0,9.25,0,0,0,0,0,0,1,0,4,37,-1,136,0,0,217374.0,0.0,217374.0,217374.0,1.4990196E7,0.0,1.4990196E7,1.4990196E7,No Label
10.8.8.138-54.235.151.171-54541-443-6,10.8.8.138,54541,54.235.151.171,443,6,25/05/2015 02:32:59 上午,1077022,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856972280974762,1077022.0,0.0,1077022.0,1077022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.928486140487381,0.928486140487381,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,237,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-96.16.196.150-58049-443-6,10.8.8.138,58049,96.16.196.150,443,6,25/05/2015 02:32:38 上午,47020632,1,5,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,10.6,23.70232056149777,1.1271647731149168,0.12760355922055663,9404126.4,1.990878845940426E7,4.499914E7,18.0,0,0,0,0,0,4.7020632E7,1.1755158E7,2.2308114403969556E7,4.5199849E7,18.0,0,0,0,0,32,160,0.021267259870092772,0.10633629935046386,0.0,53.0,7.571428571428572,20.032117069489043,401.2857142857143,0,0,0,0,1,0,0,0,5.0,8.833333333333334,0.0,10.6,0,0,0,0,0,0,1,0,5,53,-1,567,0,0,200833.0,0.0,200833.0,200833.0,4.499914E7,0.0,4.499914E7,4.499914E7,No Label
