Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.0.10-91.189.89.88-58514-80-6,10.8.0.10,58514,91.189.89.88,80,6,15/04/2015 01:55:00 上午,4194848,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7151629808755883,2097424.0,2783319.3689607377,4065528.0,129320.0,0,0,0,0,0,129320.0,129320.0,0.0,129320.0,129320.0,0,0,0,0,32,64,0.23838766029186276,0.4767753205837255,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,130,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.169-58055-80-6,10.8.0.10,58055,74.125.226.169,80,6,15/04/2015 01:55:04 上午,5420097,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553495629321763,2710048.5,3795772.5359331663,5394065.0,26032.0,0,0,0,0,0,26032.0,26032.0,0.0,26032.0,26032.0,0,0,0,0,32,64,0.18449854310725436,0.3689970862145087,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,341,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-74.125.226.35-36378-443-6,10.8.0.10,36378,74.125.226.35,443,6,15/04/2015 01:55:11 上午,59026430,4,5,41.0,192.0,41.0,0.0,10.25,20.5,65.0,0.0,38.4,23.660092983756424,3.9473842480393952,0.15247406966675775,7378303.750000001,2.0847735317861952E7,5.8973808E7,25.0,5.8999683E7,1.9666561E7,3.404107688905066E7,5.8973808E7,64.0,5.902643E7,1.4756607499999998E7,2.9495336998567052E7,5.8999609E7,57.0,0,1,0,0,128,160,0.06776625318522567,0.08470781648153208,0.0,65.0,27.4,24.645035560489212,607.3777777777779,0,0,0,1,1,0,0,0,1.0,30.444444444444443,10.25,38.4,0,0,0,0,0,0,4,41,5,192,-1,412,1,0,26715.0,0.0,26715.0,26715.0,5.8973808E7,0.0,5.8973808E7,5.8973808E7,No Label
173.194.123.1-10.8.0.10-443-48856-6,10.8.0.10,48856,173.194.123.1,443,6,15/04/2015 01:55:11 上午,59026508,4,5,41.0,192.0,41.0,0.0,10.25,20.5,65.0,0.0,38.4,23.660092983756424,3.947379031807201,0.15247386818139402,7378313.5,2.0848278725815967E7,5.8975163E7,19.0,5.9001048E7,1.9667016E7,3.4041856319806315E7,5.8975163E7,48.0,5.9026508E7,1.4756627E7,2.9496263084915157E7,5.9001018E7,47.0,0,1,0,0,128,160,0.06776616363617512,0.0847077045452189,0.0,65.0,27.4,24.645035560489212,607.3777777777779,0,0,0,1,1,0,0,0,1.0,30.444444444444443,10.25,38.4,0,0,0,0,0,0,4,41,5,192,-1,371,1,0,25432.0,0.0,25432.0,25432.0,5.8975163E7,0.0,5.8975163E7,5.8975163E7,No Label
10.8.0.10-74.125.226.35-36378-443-6,10.8.0.10,36378,74.125.226.35,443,6,15/04/2015 01:56:10 上午,714,2,1,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,45.0,45.0,0.0,106442.57703081232,4201.680672268907,357.0,465.2762620207483,686.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,0,1,0,0,64,32,2801.1204481792715,1400.5602240896358,0.0,45.0,30.25,21.219095173922945,450.25000000000006,0,0,0,1,1,0,0,0,0.0,40.333333333333336,15.5,45.0,0,0,0,0,0,0,2,31,1,45,-1,353,1,0,0,0,0,0,0,0,0,0,No Label
173.194.123.1-10.8.0.10-443-48856-6,10.8.0.10,48856,173.194.123.1,443,6,15/04/2015 01:56:10 上午,167,2,1,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,45.0,45.0,0.0,455089.82035928144,17964.071856287424,83.5,72.8319984622144,135.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,0,1,0,0,64,32,11976.047904191617,5988.023952095808,0.0,45.0,30.25,21.219095173922945,450.25000000000006,0,0,0,1,1,0,0,0,0.0,40.333333333333336,15.5,45.0,0,0,0,0,0,0,2,31,1,45,-1,353,1,0,0,0,0,0,0,0,0,0,No Label
134.170.18.175-10.8.0.10-443-54685-6,10.8.0.10,54685,134.170.18.175,443,6,15/04/2015 01:55:02 上午,119797013,52,39,14894.0,18480.0,789.0,0.0,286.42307692307696,340.47178030272016,757.0,0.0,473.8461538461539,234.03076028832965,278.5879143747933,0.759618271951405,1331077.922222222,3975303.6414115257,2.9630745E7,29.0,1.1974767E8,2347993.5294117643,5077806.713021078,2.9630745E7,73.0,1.1979696E8,3152551.5789473685,5727961.348211179,2.9871285E7,91.0,0,1,0,0,1664,1248,0.4340675839722314,0.3255506879791735,0.0,789.0,369.7717391304347,311.9007697674976,97282.09018155755,0,0,0,1,1,0,0,0,0.0,373.83516483516485,286.4230769230769,473.84615384615387,0,0,0,0,0,0,52,14894,39,18480,-1,64224,22,0,2444452.5,2867302.166291114,7750750.0,40313.0,1.11666965E7,8408846.716836723,2.9630745E7,5173012.0,No Label
10.8.0.10-91.190.216.125-55376-12350-6,10.8.0.10,55376,91.190.216.125,12350,6,15/04/2015 01:56:18 上午,55271188,31,43,1763.0,828.0,534.0,0.0,56.87096774193547,112.87950564960376,117.0,0.0,19.255813953488374,24.04073232310591,46.87795022607439,1.3388530747701677,757139.5616438357,2184611.5741381934,1.5822567E7,36.0,5.512707E7,1837569.0000000002,3188340.9335608687,1.5822567E7,334.0,3.9448529E7,939250.6904761904,1546867.239882635,4323929.0,56.0,0,0,0,0,620,892,0.5608708826739892,0.7779821920961786,0.0,534.0,34.54666666666667,76.51396151230378,5854.3863063063045,0,1,0,0,0,0,0,0,1.0,35.013513513513516,56.87096774193548,19.25581395348837,0,0,0,0,0,0,31,1763,43,828,-1,1056,12,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-91.190.216.125-55376-12350-6,91.190.216.125,12350,10.8.0.10,55376,6,15/04/2015 01:57:13 上午,2302309,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8686931250323044,2302309.0,0.0,2302309.0,2302309.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.4343465625161522,0.4343465625161522,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,1056,0,0,0,0,0,0,0,0,0,0,No Label
10.8.0.10-65.55.223.17-55817-40020-6,10.8.0.10,55817,65.55.223.17,40020,6,15/04/2015 01:55:35 上午,60326048,10,11,973.0,972.0,848.0,0.0,97.3,264.4667801024881,844.0,0.0,88.36363636363635,252.838396106,32.241462261874005,0.3481083329045523,3016302.4000000004,7823368.302073942,2.9833827E7,39.0,6.0293477E7,6699275.222222222,1.0856194484041411E7,2.9865954E7,177.0,6.0326008E7,6032600.8,1.0467800531366916E7,2.9865742E7,58.0,0,1,0,0,320,352,0.16576587281169156,0.1823424600928607,0.0,848.0,126.77272727272727,293.4268679583157,86099.32683982684,0,0,0,1,1,0,0,0,1.0,132.8095238095238,97.3,88.36363636363636,0,0,0,0,0,0,10,973,11,972,-1,61,5,0,79048.33333333333,50516.76515111922,132813.0,32571.0,1.9995982333333332E7,8524209.27665413,2.9833827E7,1.480365E7,No Label
