Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-209.148.205.35-2481-443-6,131.202.240.87,2481,209.148.205.35,443,6,30/03/2015 09:12:04 下午,21410,0,3,0.0,27.0,0,0,0,0,27.0,0.0,9.0,15.588457268119896,1261.092947220925,140.12143858010276,10705.0,14905.810947412421,21245.0,165.0,0,0,0,0,0,21410.0,10705.0,14905.810947412421,21245.0,165.0,0,0,0,0,0,60,0.0,140.12143858010276,0.0,27.0,6.75,13.5,182.25,1,0,0,0,1,0,0,0,0.0,9.0,0.0,9.0,0,0,0,0,0,0,0,0,3,27,-1,557,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-2489-3478-6,131.202.240.87,2489,173.252.79.80,3478,6,30/03/2015 09:12:10 下午,30261597,19,14,1424.0,576.0,140.0,0.0,74.94736842105262,70.2989439498762,104.0,0.0,41.142857142857146,28.172155218767514,66.09036529037117,1.0904910272911241,945674.90625,5281499.071709949,2.9888324E7,7.0,3.0180927E7,1676718.1666666667,7040766.458898076,2.9888324E7,27.0,342281.0,26329.30769230769,41255.79920323246,96834.0,7.0,0,0,0,0,380,304,0.627858470258526,0.46263255703259815,0.0,140.0,58.823529411764724,58.27025364534677,3395.4224598930487,0,1,0,0,0,0,0,0,0.0,60.60606060606061,74.94736842105263,41.142857142857146,0,0,0,0,0,0,19,1424,14,576,-1,29,11,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-2492-443-6,131.202.240.87,2492,173.252.79.80,443,6,30/03/2015 09:12:10 下午,30261931,15,22,2544.0,928.0,1120.0,0.0,169.6,388.7909463966464,104.0,0.0,42.18181818181819,22.210328707578853,114.73160784088762,1.2226582632813485,840609.1944444445,4957529.158508546,2.9759051E7,6.0,3.0181706E7,2155836.1428571427,7944841.786780923,2.9759051E7,28.0,502867.0,23946.047619047626,38716.68671319408,95711.0,8.0,0,0,0,0,300,464,0.49567226889784394,0.7269859943835044,0.0,1120.0,91.36842105263158,248.23445990419222,61620.34708392601,0,1,0,0,0,0,0,0,1.0,93.83783783783784,169.6,42.18181818181818,0,0,0,0,0,0,15,2544,22,928,-1,38,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-2487-3478-6,131.202.240.87,2487,173.252.79.80,3478,6,30/03/2015 09:12:10 下午,31821434,28,23,2684.0,576.0,140.0,0.0,95.85714285714286,65.20606327505661,104.0,0.0,25.04347826086957,29.841213509430464,102.4466716364825,1.602693329282395,636428.6799999999,4248268.394758674,3.0072728E7,6.0,3.1742108E7,1175633.6296296297,5791640.175691612,3.0151757E7,27.0,1748706.0,79486.63636363637,107246.36205376028,356236.0,10.0,0,0,0,0,560,484,0.8799100631354325,0.7227832661469624,0.0,140.0,62.69230769230769,62.89098518944943,3955.276018099548,0,1,0,0,0,0,0,0,0.0,63.92156862745098,95.85714285714286,25.043478260869566,0,0,0,0,0,0,28,2684,23,576,-1,29,20,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-2490-443-6,131.202.240.87,2490,173.252.79.80,443,6,30/03/2015 09:12:10 下午,31820792,24,30,3664.0,884.0,980.0,0.0,152.6666666666667,266.6628985241017,104.0,0.0,29.466666666666665,27.240605255989518,142.92541807256086,1.6970036446610128,600392.3018867924,4108754.231254621,2.9945393E7,6.0,3.1739955E7,1379998.043478261,6244905.8802403,3.002437E7,27.0,1875399.0,64668.93103448275,89625.56188185338,344633.0,9.0,0,0,0,0,480,624,0.7542238420715612,0.9427798025894516,0.0,980.0,82.69090909090907,185.90966272252422,34562.40269360271,0,1,0,0,0,0,0,0,1.0,84.22222222222223,152.66666666666666,29.466666666666665,0,0,0,0,0,0,24,3664,30,884,-1,39,14,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2309-443-6,173.252.100.27,443,131.202.240.87,2309,6,30/03/2015 09:10:55 下午,113631320,214,157,86716.0,24904.0,1350.0,0.0,405.21495327102804,545.5464509132,3468.0,0.0,158.624203821656,448.1877813585927,982.2995983853747,3.264944911314944,307111.6756756755,1362795.8447065174,1.2127821E7,4.0,1.01400438E8,476058.39436619746,1613833.1591738597,1.1642803E7,4.0,1.1363132E8,728405.8974358974,2031765.4293731973,1.2177817E7,38.0,0,1,0,0,4340,3308,1.8832835876587546,1.3816613236561892,0.0,3468.0,300.5134408602148,519.8301478061678,270223.38256818225,0,0,0,1,1,0,0,0,0.0,301.3234501347709,405.21495327102804,158.62420382165604,0,0,0,0,0,0,214,86716,157,24904,-1,16525,187,0,2901371.6249999995,3165672.6350102206,8692825.0,49951.0,8116201.499999999,2486510.402062813,1.2127821E7,5384176.0,No Label
131.202.240.87-173.252.100.27-2494-443-6,131.202.240.87,2494,173.252.100.27,443,6,30/03/2015 09:12:13 下午,65548661,8,13,1165.0,975.0,532.0,0.0,145.625,237.28098924512022,424.0,0.0,75.00000000000001,115.74901007496062,32.6475013730639,0.3203726770253934,3277433.0500000003,1.4166594941762885E7,6.3449278E7,14.0,6.5409546E7,9344220.857142858,2.3863462828176547E7,6.3449368E7,1324.0,6.5548661E7,5462388.416666667,1.826594673713407E7,6.3449311E7,48.0,0,0,0,0,160,284,0.12204673410491178,0.19832594292048164,0.0,532.0,97.27272727272725,167.5459231483606,28071.63636363636,0,1,0,0,0,0,0,0,1.0,101.9047619047619,145.625,75.0,0,0,0,0,0,0,8,1165,13,975,-1,64,3,0,2099274.0,0.0,2099274.0,2099274.0,6.3449278E7,0.0,6.3449278E7,6.3449278E7,No Label
131.202.240.87-173.252.100.27-2494-443-6,131.202.240.87,2494,173.252.100.27,443,6,30/03/2015 09:13:18 下午,1430,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.6013986013986,1430.0,0.0,1430.0,1430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,699.3006993006993,699.3006993006993,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16293,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,6,30/03/2015 09:11:37 下午,90199039,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03325977785639157,0.06651955571278315,1.80398078E7,2.4649164478846997E7,4.5080846E7,38155.0,4.5040931E7,4.5040931E7,0.0,4.5040931E7,4.5040931E7,9.0199039E7,3.0066346333333332E7,2.600520574753548E7,4.5119428E7,38155.0,0,0,0,0,40,116,0.022173185237594383,0.044346370475188766,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,361,2,0,38368.5,301.9345955666558,38582.0,38155.0,4.50415975E7,55505.76100280042,4.5080846E7,4.5002349E7,No Label
131.202.240.150-131.202.240.87-37736-63222-17,131.202.240.87,63222,131.202.240.150,37736,17,30/03/2015 09:12:10 下午,119994367,4380,389,1366611.0,26796.0,1179.0,64.0,312.01164383561667,265.24849689978754,937.0,46.0,68.88431876606681,44.60114748028262,11612.270099312245,39.743532294311784,25166.603817114104,15576.581900624446,100639.0,7.0,1.19945906E8,27391.16373601276,14725.769344223067,100639.0,37.0,1.19988402E8,309248.45876288635,167374.83659600967,485598.0,7.0,0,0,0,0,35040,3112,36.501713451265594,3.241818843046191,46.0,1179.0,292.14067085954,263.06022590124974,69200.68245121653,0,0,0,0,0,0,0,0,0.0,292.2019291256029,312.01164383561644,68.88431876606684,0,0,0,0,0,0,4380,1366611,389,26796,-1,-1,4380,0,0,0,0,0,0,0,0,0,No Label
