Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-74.125.226.164-49241-443-6,10.0.2.15,49241,74.125.226.164,443,6,14/04/2015 11:53:19 下午,59997538,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.95003898326628,0.1000041035017137,1.19995076E7,1.955752462119737E7,4.5000647E7,4.0,0,0,0,0,0,5.9997538E7,1.49993845E7,2.1213976684569344E7,4.500172E7,4.0,0,0,0,0,20,100,0.01666735058361895,0.08333675291809474,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,614.5,648.4169183480641,1073.0,156.0,2.99981525E7,2.1216731191327766E7,4.5000647E7,1.4995658E7,No Label
10.0.2.15-74.125.226.164-49241-443-6,10.0.2.15,49241,74.125.226.164,443,6,14/04/2015 11:54:19 下午,351,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5698.005698005698,351.0,0.0,351.0,351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2849.002849002849,2849.002849002849,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63628,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.100-10.0.2.15-443-49184-6,10.0.2.15,49184,173.194.123.100,443,6,14/04/2015 11:53:24 下午,59984941,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.950238494024692,0.1000251046341781,1.19969882E7,1.9554699093480464E7,4.4995267E7,2.0,0,0,0,0,0,5.9984941E7,1.499623525E7,2.121159991074259E7,4.4997051E7,2.0,0,0,0,0,20,100,0.016670850772363018,0.08335425386181508,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,1345.5,620.1326471006022,1784.0,907.0,2.9991124E7,2.1219062522385336E7,4.4995267E7,1.4986981E7,No Label
173.194.123.100-10.0.2.15-443-49184-6,10.0.2.15,49184,173.194.123.100,443,6,14/04/2015 11:54:24 下午,223,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8968.609865470851,223.0,0.0,223.0,223.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4484.304932735426,4484.304932735426,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63303,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-10.0.2.15-55618-52942-17,10.0.2.15,52942,131.202.240.101,55618,17,14/04/2015 11:52:50 下午,119989012,6287,6272,685407.0,432197.0,164.0,22.0,109.01972323842875,13.87842968144862,118.0,22.0,68.90896045918389,8.538141431305283,9314.219538702428,104.66791742563893,9554.786749482388,6111.477477626631,41544.0,1.0,1.19967964E8,19084.94495704743,5168.289298518712,46406.0,83.0,1.19985606E8,19133.4087067453,3997.021464595184,46078.0,1.0,0,0,0,0,50296,50176,52.39646443626021,52.27145298937872,22.0,164.0,88.98996815286627,23.131333346138863,535.0585823701957,0,0,0,0,0,0,0,0,0.0,88.99705390556574,109.0197232384285,68.90896045918367,0,0,0,0,0,0,6287,685407,6272,432197,-1,-1,6287,0,0,0,0,0,0,0,0,0,No Label
131.202.240.101-10.0.2.15-39490-52942-17,10.0.2.15,52942,131.202.240.101,39490,17,14/04/2015 11:52:51 下午,119267063,124,126,12896.0,8104.0,104.0,104.0,104.0,0.0,104.0,64.0,64.31746031746034,3.563483225498994,176.07543500924476,2.096136131062438,478984.18875502,481049.63559837703,977484.0,471.0,1.18304719E8,961826.9837398372,1853.3923703366067,978157.0,959310.0,1.19267063E8,954136.5040000005,85999.10342496111,978458.0,579.0,0,0,0,0,992,1008,1.039683521006969,1.0564526100554685,64.0,104.0,84.07968127490042,20.039801034391733,401.593625498008,0,0,0,0,0,0,0,0,1.0,84.416,104.0,64.31746031746032,0,0,0,0,0,0,124,12896,126,8104,-1,-1,124,0,0,0,0,0,0,0,0,0,No Label
173.252.79.87-10.0.2.15-443-52942-17,10.0.2.15,52942,173.252.79.87,443,17,14/04/2015 11:52:52 下午,119469818,114,1,2280.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,19.251724314169458,0.9625862157084729,1047980.8596491233,644407.7204464216,1652684.0,100004.0,1.17869187E8,1043090.1504424786,645149.5052405519,1652684.0,100004.0,0,0,0,0,0,0,0,0,0,912,8,0.9542159007892688,0.008370314919204112,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.17391304347826,20.0,20.0,0,0,0,0,0,0,114,2280,1,20,-1,-1,114,0,0,0,0,0,0,0,0,0,No Label
173.252.79.87-10.0.2.15-3478-52942-17,10.0.2.15,52942,173.252.79.87,3478,17,14/04/2015 11:52:52 下午,119469879,114,1,2280.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,19.251714484451767,0.9625857242225883,1047981.3947368426,644409.9340765899,1652665.0,99648.0,1.17869334E8,1043091.4513274342,645152.4037264789,1652665.0,99648.0,0,0,0,0,0,0,0,0,0,912,8,0.9542154135771745,0.008370310645413812,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.17391304347826,20.0,20.0,0,0,0,0,0,0,114,2280,1,20,-1,-1,114,0,0,0,0,0,0,0,0,0,No Label
173.252.79.87-10.0.2.15-50017-52942-17,10.0.2.15,52942,173.252.79.87,50017,17,14/04/2015 11:52:53 下午,110989281,11,13,220.0,404.0,20.0,20.0,20.0,0.0,32.0,20.0,31.076923076923077,3.328201177351375,5.62216454037575,0.2162370977067596,4825620.9130434785,5067063.578908937,1.0004915E7,80140.0,1.00825225E8,1.00825225E7,1735.28411058375,1.0085848E7,1.0080219E7,1.10989281E8,9249106.75,2887274.5389552577,1.00868E7,80781.0,0,0,0,0,88,104,0.09910866978226482,0.1171284279244948,20.0,32.0,25.76,6.118823416311342,37.44,0,0,0,0,0,0,0,0,1.0,26.833333333333332,20.0,31.076923076923077,0,0,0,0,0,0,11,220,13,404,-1,-1,11,0,80960.18181818182,532.6888056232857,81885.0,80140.0,1.000166590909091E7,1782.5471917762766,1.0004915E7,9999752.0,No Label
10.0.2.15-69.171.255.36-52942-3478-17,10.0.2.15,52942,69.171.255.36,3478,17,14/04/2015 11:52:53 下午,110992552,11,13,220.0,404.0,20.0,20.0,20.0,0.0,32.0,20.0,31.076923076923077,3.328201177351375,5.621998852679773,0.21623072510306818,4825763.130434782,5067204.138152682,1.0004989E7,80038.0,1.0082762E8,1.0082762E7,1509.3309776187805,1.0085803E7,1.0081424E7,1.10992552E8,9249379.333333336,2887426.6876536314,1.0086798E7,80570.0,0,0,0,0,88,104,0.09910574900557291,0.11712497609749525,20.0,32.0,25.76,6.118823416311342,37.44,0,0,0,0,0,0,0,0,1.0,26.833333333333332,20.0,31.076923076923077,0,0,0,0,0,0,11,220,13,404,-1,-1,11,0,80891.36363636365,485.2080528448112,81809.0,80038.0,1.0001951727272728E7,1685.085047759147,1.0004989E7,1.0000232E7,No Label
