Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-23.49.84.188-2050-443-6,131.202.240.86,2050,23.49.84.188,443,6,01/04/2015 02:06:06 上午,109042,7,8,1140.0,2785.0,621.0,0.0,162.85714285714286,238.2592625491739,1350.0,0.0,348.125,556.2926869656194,35995.30456154509,137.56167348361183,7788.714285714286,10827.982150453954,25679.0,2.0,87013.0,14502.166666666666,12139.015601220168,25887.0,306.0,109042.0,15577.428571428572,14439.404660593904,34195.0,2.0,0,0,0,0,140,176,64.19544762568552,73.36622585792631,0.0,1350.0,245.31250000000003,424.19880853989514,179944.62916666662,0,1,0,0,0,0,0,0,1.0,261.6666666666667,162.85714285714286,348.125,0,0,0,0,0,0,7,1140,8,2785,-1,17388,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-23.49.84.188-2050-443-6,131.202.240.86,2050,23.49.84.188,443,6,01/04/2015 02:06:06 上午,2203,2,2,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,13.5,19.091883092036785,12256.014525646844,1815.7058556513844,734.3333333333334,1216.5575750178589,2139.0,18.0,2139.0,2139.0,0.0,2139.0,2139.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,40,40,907.8529278256922,907.8529278256922,0.0,27.0,5.4,12.074767078498866,145.8,0,0,0,0,1,0,0,0,1.0,6.75,0.0,13.5,0,0,0,0,0,0,2,0,2,27,-1,17388,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-2038-80-6,131.202.240.86,2038,68.67.152.196,80,6,01/04/2015 02:06:07 上午,299690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6735626814374855,299690.0,0.0,299690.0,299690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.3367813407187428,3.3367813407187428,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-2038-80-6,131.202.240.86,2038,68.67.152.196,80,6,01/04/2015 02:06:08 上午,1199062,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667970463579031,1199062.0,0.0,1199062.0,1199062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8339852317895154,0.8339852317895154,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-205.204.71.140-2058-80-6,131.202.240.86,2058,205.204.71.140,80,6,01/04/2015 02:06:08 上午,6066423,3,5,321.0,602.0,321.0,0.0,107.0,185.32943640986986,602.0,0.0,120.4,269.22258449097467,152.14896818108463,1.318734285426519,866631.8571428572,2263515.2565591005,5999682.0,28.0,33279.0,16639.5,23437.05426242812,33212.0,67.0,6066423.0,1516605.75,2988804.0793759385,5999753.0,567.0,0,0,0,0,60,124,0.4945253570349446,0.8242089283915743,0.0,602.0,102.55555555555556,215.2865016153539,46348.27777777778,0,1,0,0,0,0,0,0,1.0,115.375,107.0,120.4,0,0,0,0,0,0,3,321,5,602,-1,123,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-205.204.71.140-2057-80-6,131.202.240.86,2057,205.204.71.140,80,6,01/04/2015 02:06:08 上午,6067501,3,5,323.0,440.0,323.0,0.0,107.66666666666666,186.48413694824913,440.0,0.0,88.0,196.7739820199815,125.75193642324905,1.318499988710344,866785.857142857,2263608.8526867465,6000045.0,22.0,34703.0,17351.5,24417.104261152672,34617.0,86.0,6067501.0,1516875.25,2988835.045778023,6000067.0,479.0,0,0,0,0,60,124,0.49443749576637896,0.8240624929439649,0.0,440.0,84.77777777777777,170.74965430256205,29155.444444444445,0,1,0,0,0,0,0,0,1.0,95.375,107.66666666666667,88.0,0,0,0,0,0,0,3,323,5,440,-1,123,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-2016-80-6,131.202.240.86,2016,50.7.70.210,80,6,01/04/2015 02:06:14 上午,299145,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6857209714352575,299145.0,0.0,299145.0,299145.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3.3428604857176287,3.3428604857176287,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64632,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-50.7.70.210-2016-80-6,131.202.240.86,2016,50.7.70.210,80,6,01/04/2015 02:06:15 上午,1200057,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6665875037602382,1200057.0,0.0,1200057.0,1200057.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8332937518801191,0.8332937518801191,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64632,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-2038-80-6,131.202.240.86,2038,68.67.152.196,80,6,01/04/2015 02:06:11 上午,4802238,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164724863698967,4802238.0,0.0,4802238.0,4802238.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20823624318494835,0.20823624318494835,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.174-2053-80-6,131.202.240.86,2053,68.67.152.174,80,6,01/04/2015 02:06:07 上午,10116841,4,6,804.0,2146.0,804.0,0.0,201.0,402.0,1350.0,0.0,357.66666666666663,581.1305074307032,291.592998249157,0.9884508415225661,1124093.4444444445,3331170.1957003456,1.0006995E7,29.0,56207.0,18735.666666666664,32179.205930745607,55893.0,130.0,1.0116841E7,2023368.2,4463080.202137667,1.0007024E7,194.0,0,0,0,0,80,144,0.39538033660902644,0.5930705049135396,0.0,1350.0,268.1818181818182,480.7697615661405,231139.56363636363,0,1,0,0,0,0,0,0,1.0,295.0,201.0,357.6666666666667,0,0,0,0,0,0,4,804,6,2146,-1,32,1,0,0,0,0,0,0,0,0,0,No Label
