Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-37.209.67.105-61009-1587-6,37.209.67.105,1587,131.202.240.87,61009,6,02/04/2015 02:56:08 上午,162865,2,3,68.0,0.0,68.0,0.0,34.0,48.08326112068523,0.0,0.0,0.0,0.0,417.523715961072,30.700273232431766,40716.25,73303.51494244098,150346.0,163.0,12144.0,12144.0,0.0,12144.0,12144.0,162865.0,81432.5,114932.42910728024,162702.0,163.0,0,0,0,0,40,76,12.280109292972707,18.42016393945906,0.0,68.0,11.333333333333332,27.760883751542686,770.6666666666666,0,1,0,0,0,0,0,0,1.0,13.6,34.0,0.0,0,0,0,0,0,0,2,68,3,0,-1,64800,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-37.209.67.105-61009-1587-6,37.209.67.105,1587,131.202.240.87,61009,6,02/04/2015 02:56:09 上午,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-131.202.240.87-53753-32551-17,131.202.240.86,53753,131.202.240.87,32551,17,02/04/2015 02:55:24 上午,119999421,4913,4966,385050.0,386591.0,83.0,2.0,78.37370242214546,18.787654277417097,209.0,2.0,77.84756343133306,20.03459045768474,6430.372693214911,82.3253972200416,12148.149524195194,38762.63662806026,860434.0,0.0,1.19860392E8,24401.54560260581,54721.22281841262,875522.0,0.0,1.1998468E8,24166.09869083578,53687.78143512169,862227.0,47.0,0,0,0,0,39304,39728,40.94186421116149,41.3835330088801,2.0,209.0,78.10151821862344,19.439377027341376,377.8893792111277,0,0,0,0,0,0,0,0,1.0,78.10942403077235,78.37370242214533,77.84756343133307,0,0,0,0,0,0,4913,385050,4966,386591,-1,-1,4913,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-193.192.37.21-61009-8513-17,193.192.37.21,8513,131.202.240.87,61009,17,02/04/2015 02:55:29 上午,78833493,8,10,855.0,2903.0,148.0,101.0,106.875,16.617009357883866,341.0,74.0,290.29999999999995,107.0742732872841,47.670093725264714,0.22832934727375329,4637264.294117647,8422351.03947076,2.837054E7,117.0,6.6507528E7,9501075.42857143,1.0929872938137157E7,2.8370739E7,317926.0,7.8833493E7,8759277.0,1.0062763122840378E7,2.8370694E7,210.0,0,0,0,0,64,80,0.10147970989944591,0.12684963737430738,74.0,341.0,203.10526315789474,121.48474743624865,14758.543859649122,0,0,0,0,0,0,0,0,1.0,214.38888888888889,106.875,290.3,0,0,0,0,0,0,8,855,10,2903,-1,-1,8,0,2397847.5,2776636.819209107,5054348.0,160.0,1.731033475E7,9487660.304299312,2.837054E7,7047486.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,02/04/2015 02:55:31 上午,117007667,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22220766097319075,4680306.68,8061518.433098898,2.6999613E7,17.0,1.16986263E8,4874427.624999999,8174999.380295212,2.6999613E7,17.0,0,0,0,0,0,0,0,0,0,0,0,0.21366121247422187,0.008546448498968875,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,0,1,0,-1,-1,0,0,253269.625,461948.31095107767,1002847.0,24.0,1.424682925E7,8286111.890089666,2.6999613E7,7497999.0,No Label
131.202.240.87-82.237.50.189-16900-32343-6,131.202.240.87,16900,82.237.50.189,32343,6,02/04/2015 02:57:37 上午,701800,5,7,342.0,114.0,180.0,0.0,68.4,77.34532952932581,114.0,0.0,16.285714285714285,43.0879499230519,649.7577657452266,17.098888572242803,63800.0,76806.37339440001,170306.0,0.0,366124.0,91531.0,72100.2352330883,160976.0,1251.0,701800.0,116966.66666666667,85065.46405602373,188010.0,0.0,0,0,0,0,100,164,7.124536905101168,9.974351667141637,0.0,180.0,35.07692307692308,60.774805002376795,3693.576923076924,0,1,0,0,0,0,0,0,1.0,38.0,68.4,16.285714285714285,0,0,0,0,0,0,5,342,7,114,-1,473,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-82.237.50.189-16900-32343-6,131.202.240.87,16900,82.237.50.189,32343,6,02/04/2015 02:57:38 上午,75,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26666.666666666668,75.0,0.0,75.0,75.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13333.333333333334,13333.333333333334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-93.150.140.75-61009-58531-17,93.150.140.75,58531,131.202.240.87,61009,17,02/04/2015 02:55:38 上午,98429324,2,4,392.0,784.0,289.0,103.0,196.0,131.52186130069785,289.0,103.0,196.0,107.38715006927039,11.947659012673906,0.06095744394221381,1.96858648E7,2.6952898649030417E7,5.3163054E7,174.0,4.5265905E7,4.5265905E7,0.0,4.5265905E7,4.5265905E7,9.8075348E7,3.2691782666666668E7,2.8610632524636123E7,5.3163228E7,365.0,0,0,0,0,16,32,0.020319147980737938,0.040638295961475876,103.0,289.0,182.71428571428572,99.42118199142188,9884.57142857143,0,0,0,0,0,0,0,0,2.0,213.16666666666666,196.0,196.0,0,0,0,0,0,0,2,392,4,784,-1,-1,2,0,269.5,135.0573952066306,365.0,174.0,4.90374045E7,5834549.476497779,5.3163054E7,4.4911755E7,No Label
131.202.240.87-58.34.8.213-61009-16001-17,58.34.8.213,16001,131.202.240.87,61009,17,02/04/2015 02:55:31 上午,108643265,12,14,1260.0,4231.0,149.0,101.0,105.0,13.856406460551018,341.0,74.0,302.2142857142858,91.34733255456977,50.54155911091221,0.23931534090033102,4345730.600000001,1.0808266667682296E7,5.1395649E7,168.0,1.07801226E8,9800111.454545453,1.489513159995468E7,5.1395831E7,749003.0,1.08643265E8,8357174.230769229,1.4047148211539593E7,5.1395817E7,171.0,0,0,0,0,96,112,0.11045323426169124,0.12886210663863978,74.0,341.0,207.11111111111111,119.87054983584883,14368.948717948719,0,0,0,0,0,0,0,0,1.0,215.07692307692307,105.0,302.2142857142857,0,0,0,0,0,0,12,1260,14,4231,-1,-1,12,0,1450140.2,1947907.2695514024,4880208.0,226.0,1.95002484E7,1.8339846122643184E7,5.1395649E7,5296492.0,No Label
131.202.240.87-73.13.49.197-61009-1024-17,73.13.49.197,1024,131.202.240.87,61009,17,02/04/2015 02:55:48 上午,275,0,2,0.0,392.0,0,0,0,0,289.0,103.0,196.0,131.52186130069785,1425454.5454545454,7272.727272727272,275.0,0.0,275.0,275.0,0,0,0,0,0,275.0,275.0,0.0,275.0,275.0,0,0,0,0,0,16,0.0,7272.727272727272,103.0,289.0,165.0,107.38715006927039,11532.0,0,0,0,0,0,0,0,0,0.0,247.5,0.0,196.0,0,0,0,0,0,0,0,0,2,392,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
