Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,6,15/04/2015 10:14:23 下午,119999581,2,3,148.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,24.666666666666664,42.72391992003231,1.850006459605888,0.0416668121532857,29999895.25,34580352.51795045,59947704.0,52026.0,59999730.0,59999730.0,0.0,59999730.0,59999730.0,60051877.0,30025938.5,42388366.64768536,59999040.0,52837.0,0,1,0,0,40,60,0.0166667248613143,0.0250000872919714,0.0,74.0,49.33333333333333,38.21343568257985,1460.2666666666669,0,0,0,1,1,0,0,0,1.0,59.2,74.0,24.666666666666668,0,0,0,0,0,0,2,148,3,74,-1,16384,2,0,52431.5,573.46359954229,52837.0,52026.0,59947359.0,487.9036790187178,59947704.0,59947014.0,No Label
131.202.240.87-64.12.104.85-1254-443-6,131.202.240.87,1254,64.12.104.85,443,6,15/04/2015 10:14:23 下午,119999899,11,13,739.0,1586.0,293.0,0.0,67.18181818181817,85.00331544336159,458.0,0.0,122.0,156.84759056697894,19.37501630730539,0.200000168333475,5217386.913043478,10372694.365490528,40602165.0,58.0,111500383.0,11150038.3,13694983.566726338,40655533.0,24116.0,92287475.0,7690622.916666667,11768032.301367784,40655001.0,9508.0,0,1,0,0,220,260,0.0916667438195093,0.1083334245139656,0.0,458.0,95.12000000000002,127.02077257939612,16134.276666666665,0,0,0,1,1,0,0,0,1.0,99.08333333333331,67.18181818181819,122.0,0,0,0,0,0,0,11,739,13,1586,-1,16384,7,0,1132177.1666666667,1665045.6709626217,3378621.0,20232.0,18867806.0,12937379.57431555,40602165.0,8405794.0,No Label
131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,6,15/04/2015 10:14:27 下午,60054835,1,3,74.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,24.666666666666664,42.72391992003231,2.4644143972754238,0.0666057945209574,20018278.333333336,34581069.58434384,59949058.0,52809.0,0.0,0.0,0.0,0.0,0.0,60054835.0,30027417.5,42390273.00756744,60001867.0,52968.0,0,1,0,0,20,60,0.0166514486302393,0.049954345890718,0.0,74.0,44.4,40.53146925538229,1642.8,0,0,0,1,1,0,0,0,3.0,55.5,74.0,24.666666666666668,0,0,0,0,0,0,1,74,3,74,-1,16384,1,0,52968.0,0.0,52968.0,52968.0,59949058.0,0.0,59949058.0,59949058.0,No Label
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,6,15/04/2015 10:14:27 下午,87805460,12,14,681.0,1852.0,213.0,0.0,56.75,79.87618259189998,453.0,0.0,132.28571428571428,139.2377206691594,28.847864358321225,0.2961091485654765,3512218.4,9550137.365406824,45086942.0,36.0,83896805.0,7626982.272727274,13585503.80186888,45086942.0,28026.0,87784792.0,6752676.307692308,12631009.88764178,45161803.0,1876.0,0,1,0,0,240,280,0.1366657608763737,0.1594433876891027,0.0,453.0,95.7777777777778,117.8301689634226,13883.948717948717,0,0,0,1,1,0,0,0,1.0,99.46153846153848,56.75,132.28571428571428,0,0,0,0,0,0,12,681,14,1852,-1,16384,5,0,3712991.333333333,3555993.289078641,7114375.0,20308.0,24384512.33333333,18202190.99840237,45086942.0,10890558.0,No Label
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,6,15/04/2015 10:14:29 下午,119998971,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.683281572999748,0.2500021437683828,0.0750006431305148,14999871.375,15855892.56062116,29832657.0,167828.0,89999148.0,29999716.0,909.6026605062234,30000749.0,29999035.0,90167764.0,22541941.0,14915777.340539511,30000485.0,168275.0,0,1,0,0,80,100,0.0333336191691177,0.0416670239613971,0.0,6.0,3.6,3.0983866769659336,9.6,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,168042.0,189.16130682568613,168275.0,167828.0,29831700.75,652.5541484553278,29832657.0,29831207.0,No Label
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,6,15/04/2015 10:14:29 下午,119999431,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.683281572999748,0.2500011854222875,0.0750003556266862,14999928.875,15848684.264471171,29826034.0,174632.0,89999230.0,29999743.33333333,807.2857816989801,30000666.0,29999167.0,90175554.0,22543888.5,14912757.689050931,30001324.0,174752.0,0,1,0,0,80,100,0.0333334913896383,0.0416668642370479,0.0,6.0,3.6,3.0983866769659336,9.6,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,174842.25,302.49669419681265,175290.0,174632.0,29825015.5,934.474718759154,29826034.0,29823877.0,No Label
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,6,15/04/2015 10:14:34 下午,90172994,3,5,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.683281572999748,0.266155075210212,0.088718358403404,12881856.285714287,15850451.240758644,29832988.0,172765.0,59993656.0,29996828.0,3997.98174082874,29999655.0,29994001.0,90172994.0,22543248.5,14913109.813195424,30006171.0,173585.0,0,1,0,0,60,100,0.0332693844012765,0.0554489740021275,0.0,6.0,3.333333333333333,3.1622776601683795,10.0,0,0,0,1,1,0,0,0,1.0,3.75,6.0,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,173375.33333333334,201.55975127324731,173585.0,173183.0,29826701.0,6095.050204879366,29832988.0,29820818.0,No Label
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,6,15/04/2015 10:14:34 下午,90167315,3,5,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.683281572999748,0.2661718384316978,0.0887239461438992,12881045.0,15855763.32182596,29838505.0,167232.0,59993642.0,29996821.0,4129.503602129437,29999741.0,29993901.0,90167315.0,22541828.75,14915930.253181895,30008689.0,167936.0,0,1,0,0,60,100,0.0332714798039622,0.055452466339937,0.0,6.0,3.333333333333333,3.1622776601683795,10.0,0,0,0,1,1,0,0,0,1.0,3.75,6.0,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,168459.33333333334,1531.5930704117634,170184.0,167258.0,29831568.33333333,7436.3093892961,29838505.0,29823717.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,15/04/2015 10:14:33 下午,114005968,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070171765043037,16286566.857142854,20834478.53321845,46998534.0,1123.0,114004840.0,19000806.666666668,21424448.040850345,46998534.0,1123.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0614002944126574,0.0087714706303796,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,1,0,-1,-1,0,0,1184.0,101.35580891098448,1301.0,1123.0,37998788.333333336,8046583.411827925,46998534.0,31498681.0,No Label
131.202.240.87-131.202.243.255-137-137-17,131.202.240.87,137,131.202.243.255,137,17,15/04/2015 10:14:30 下午,1499698,2,1,100.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,100.02013738766072,2.0004027477532142,749849.0,714.177848998413,750354.0,749344.0,750354.0,750354.0,0.0,750354.0,750354.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,1.3336018318354763,0.6668009159177382,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,66.66666666666667,50.0,50.0,0,0,0,0,0,0,2,100,1,50,-1,-1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
