Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.150-173.252.100.27-56637-443-6,131.202.240.150,56637,173.252.100.27,443,6,30/03/2015 08:42:00 下午,4278777,11,8,511.0,3580.0,208.0,0.0,46.45454545454545,72.78786112582733,1338.0,0.0,447.50000000000006,584.9507915811624,956.1143289309072,4.44052120500788,237709.8333333333,904685.0092717842,3856766.0,8.0,4145272.0,414527.2,1210838.7636722275,3856766.0,13.0,417441.0,59634.428571428565,73992.7341226987,146399.0,37.0,0,0,0,0,352,272,2.5708280660571936,1.869693138950686,0.0,1338.0,204.55,412.765190673316,170375.10263157892,0,1,0,0,0,0,0,0,0.0,215.31578947368425,46.45454545454545,447.5,0,0,0,0,0,0,11,511,8,3580,-1,63,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-173.252.100.27-56637-443-6,173.252.100.27,443,131.202.240.150,56637,6,30/03/2015 08:42:04 下午,82,2,3,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,15.0,25.98076211353316,926829.268292683,60975.60975609756,20.5,22.781571499789035,54.0,4.0,19.0,19.0,0.0,19.0,19.0,78.0,39.0,21.213203435596427,54.0,24.0,0,1,0,0,64,72,24390.243902439022,36585.365853658535,0.0,45.0,20.166666666666664,22.67524347535582,514.1666666666667,0,0,0,1,1,0,0,0,1.0,24.2,15.5,15.0,0,0,0,0,0,0,2,31,3,45,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-173.252.100.27-56638-443-6,131.202.240.150,56638,173.252.100.27,443,6,30/03/2015 08:42:05 下午,4291681,11,9,509.0,3581.0,206.0,0.0,46.27272727272728,72.34513239892634,1338.0,0.0,397.8888888888889,567.181726707685,953.0065258811176,4.660178610665612,225877.94736842104,873605.9870952169,3827495.0,15.0,4152741.0,415274.1,1212800.57172878,3863280.0,15.0,458688.0,57336.0,69327.76709433035,141898.0,95.0,0,0,0,0,352,304,2.5630982358660863,2.097080374799525,0.0,1338.0,194.7619047619048,404.8280999093201,163885.79047619045,0,1,0,0,0,0,0,0,0.0,204.5,46.27272727272727,397.8888888888889,0,0,0,0,0,0,11,509,9,3581,-1,63,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-173.252.100.27-56638-443-6,173.252.100.27,443,131.202.240.150,56638,6,30/03/2015 08:42:09 下午,202,3,3,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,376237.62376237626,29702.970297029704,40.4,75.53343630472534,175.0,1.0,27.0,13.5,12.020815280171307,22.0,5.0,201.0,100.5,130.8147545195113,193.0,8.0,0,0,0,0,96,72,14851.485148514852,14851.485148514852,0.0,45.0,10.857142857142856,18.97743020387263,360.1428571428571,0,0,0,0,1,0,0,0,1.0,12.666666666666666,25.33333333333333,0.0,0,0,0,0,0,0,3,76,3,0,-1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-209.148.205.32-51195-443-6,131.202.240.150,51195,209.148.205.32,443,6,30/03/2015 08:42:31 下午,5290085,4,2,122.0,138.0,69.0,0.0,30.5,35.81898937714463,69.0,69.0,69.0,0.0,49.14854865280992,1.134197276603306,1058017.0,2351477.1932105785,5264437.0,12.0,5268453.0,1756151.0,3038265.4553812444,5264437.0,12.0,21607.0,21607.0,0.0,21607.0,21607.0,0,1,0,0,128,64,0.7561315177355373,0.3780657588677686,0.0,69.0,47.0,32.63433774416144,1065.0,0,0,0,1,1,0,0,0,0.0,54.833333333333336,30.5,69.0,0,0,0,0,0,0,4,122,2,138,-1,520,2,0,21632.0,0.0,21632.0,21632.0,5264437.0,0.0,5264437.0,5264437.0,No Label
131.202.240.150-199.16.157.105-35070-443-6,131.202.240.150,35070,199.16.157.105,443,6,30/03/2015 08:42:36 下午,5292715,4,2,77.0,92.0,46.0,0.0,19.25,23.05609102457165,46.0,46.0,46.0,0.0,31.930682079046385,1.1336336832797531,1058543.0,2323281.69068938,5214205.0,13.0,5220969.0,1740323.0,3008471.9481165186,5214205.0,13.0,71682.0,71682.0,0.0,71682.0,71682.0,0,1,0,0,128,64,0.7557557888531689,0.3778778944265844,0.0,46.0,30.714285714285708,21.68497395059757,470.2380952380952,0,0,0,1,1,0,0,0,0.0,35.833333333333336,19.25,46.0,0,0,0,0,0,0,4,77,2,92,-1,65,2,0,71746.0,0.0,71746.0,71746.0,5214205.0,0.0,5214205.0,5214205.0,No Label
131.202.240.150-199.16.157.105-35070-443-6,199.16.157.105,443,131.202.240.150,35070,6,30/03/2015 08:42:41 下午,53,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,584905.6603773584,56603.77358490566,26.5,28.991378028648448,47.0,6.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,47.0,47.0,0,1,0,0,32,52,18867.924528301886,37735.84905660377,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-199.16.156.21-51454-443-6,131.202.240.150,51454,199.16.156.21,443,6,30/03/2015 08:42:37 下午,5295911,4,3,77.0,92.0,46.0,0.0,19.25,23.05609102457165,46.0,0.0,30.666666666666668,26.558112382722783,31.911412408554447,1.3217744784608352,882651.8333333334,2122209.3550712112,5214232.0,14.0,5225055.0,1741685.0,3007318.7364293463,5214232.0,28.0,70842.0,35421.0,49670.00873766784,70543.0,299.0,0,1,0,0,80,60,0.7552997019776201,0.5664747764832151,0.0,46.0,26.875,22.82503324985843,520.9821428571429,0,0,0,1,1,0,0,0,0.0,30.714285714285715,19.25,30.666666666666668,0,0,0,0,0,0,4,77,3,92,-1,10558,2,0,70856.0,0.0,70856.0,70856.0,5214232.0,0.0,5214232.0,5214232.0,No Label
131.202.240.150-199.16.156.21-51454-443-6,199.16.156.21,443,131.202.240.150,51454,6,30/03/2015 08:42:42 下午,12279,4,2,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0.0,0.0,0.0,0.0,2524.6355566414204,488.6391399951136,2455.8,4761.486501083459,10915.0,5.0,1364.0,454.6666666666666,736.4484593868965,1305.0,22.0,12274.0,12274.0,0.0,12274.0,12274.0,0,0,0,0,80,40,325.75942666340904,162.87971333170452,0.0,31.0,4.428571428571429,11.716898663286043,137.2857142857143,0,0,0,0,1,0,0,0,0.0,5.166666666666667,7.75,0.0,0,0,0,0,0,0,4,31,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
131.202.240.150-199.16.156.21-51530-443-6,131.202.240.150,51530,199.16.156.21,443,6,30/03/2015 08:42:45 下午,5289137,4,3,77.0,92.0,46.0,0.0,19.25,23.05609102457165,46.0,0.0,30.666666666666668,26.558112382722783,31.95228257464308,1.3234673255769325,881522.8333333334,2122480.5606050123,5213631.0,7.0,5217088.0,1739029.3333333335,3009093.803799465,5213631.0,7.0,72035.0,36017.5,50587.1262328668,71788.0,247.0,0,1,0,0,80,60,0.7562670431868186,0.5672002823901139,0.0,46.0,26.875,22.82503324985843,520.9821428571429,0,0,0,1,1,0,0,0,0.0,30.714285714285715,19.25,30.666666666666668,0,0,0,0,0,0,4,77,3,92,-1,5771,2,0,72049.0,0.0,72049.0,72049.0,5213631.0,0.0,5213631.0,5213631.0,No Label
