Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,04/06/2015 02:40:21 上午,119635206,44,48,6202.0,2824.0,484.0,0.0,140.9545454545454,129.06784848962994,234.0,0.0,58.83333333333333,75.25710069936099,75.44601879149187,0.7690044015973024,1314672.5934065932,2658708.488033041,13798288.0,10.0,118995631.0,2767340.255813953,3397071.3705087565,13798288.0,109.0,119635206.0,2545429.914893617,3333065.295867969,13955659.0,61.0,0,1,0,0,880,960,0.3677847138074055,0.4012196877898969,0.0,484.0,98.36559139784944,111.21305297043664,12368.343151005143,0,0,0,1,1,0,0,0,1.0,99.43478260869566,140.95454545454547,58.833333333333336,0,0,0,0,0,0,44,6202,48,2824,-1,64680,31,0,3957299.8,4528673.022679548,14318335.0,79.0,7554048.8,3035253.5055691367,13798288.0,5220546.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,04/06/2015 02:41:09 上午,21411289,2,4,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5,1.0,0.280226006010194,0.280226006010194,4282257.8,9152104.034725768,20652825.0,72.0,20923088.0,20923088.0,0.0,20923088.0,20923088.0,21141026.0,7047008.666666667,12017217.03378188,20922724.0,72.0,0,1,0,0,64,128,0.0934086686700646,0.1868173373401293,0.0,2.0,1.1428571428571428,1.0690449676496974,1.1428571428571426,0,0,0,1,1,0,0,0,2.0,1.3333333333333333,0.0,1.5,0,0,0,0,0,0,2,0,4,6,-1,1444,0,0,488201.0,0.0,488201.0,488201.0,20652825.0,0.0,20652825.0,20652825.0,No Label
137.117.177.33-10.8.8.178-443-40023-6,10.8.8.178,40023,137.117.177.33,443,6,04/06/2015 02:43:35 上午,773763,8,8,649.0,3556.0,267.0,0.0,81.125,115.93401756417929,1308.0,0.0,444.50000000000006,565.3029529123553,5434.480583848026,20.67816631190688,51584.2,72533.97268492292,186874.0,15.0,496333.0,70904.71428571429,81758.76930685434,186909.0,47.0,773763.0,110537.57142857143,79443.94275180696,208153.0,53.0,0,0,0,0,256,272,10.33908315595344,10.33908315595344,0.0,1308.0,247.35294117647055,427.5094942186182,182764.3676470588,0,1,0,0,0,0,0,0,1.0,262.8125,81.125,444.5,0,0,0,0,0,0,8,649,8,3556,-1,513,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
137.117.177.33-10.8.8.178-443-40023-6,10.8.8.178,40023,137.117.177.33,443,6,04/06/2015 02:43:36 上午,228,1,1,0.0,37.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,0.0,162280.70175438595,8771.929824561403,228.0,0.0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,4385.964912280701,4385.964912280701,0.0,37.0,24.666666666666664,21.361959960016154,456.33333333333337,0,0,0,1,1,0,0,0,1.0,37.0,0.0,37.0,0,0,0,0,0,0,1,0,1,37,-1,315,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,04/06/2015 02:42:22 上午,119130030,35,35,5272.0,1826.0,420.0,0.0,150.62857142857143,130.18698898446164,218.0,0.0,52.17142857142858,72.8808397778366,59.581954272990615,0.587593237406219,1726522.1739130432,5165323.74889354,33200492.0,26.0,118916376.0,3497540.470588236,7001914.565081032,33200567.0,136.0,118964492.0,3498955.647058824,7003821.267247805,33200605.0,38553.0,0,1,0,0,700,700,0.2937966187031095,0.2937966187031095,0.0,420.0,101.69014084507046,115.07197642584968,13241.559758551302,0,0,0,1,1,0,0,0,1.0,103.14285714285714,150.62857142857143,52.17142857142857,0,0,0,0,0,0,35,5272,35,1826,-1,64680,26,0,2977421.571428572,3690809.7164395535,9837179.0,75.0,13283498.571428573,10937267.482184509,33200492.0,5300581.0,No Label
134.170.25.26-10.8.8.178-443-54269-6,134.170.25.26,443,10.8.8.178,54269,6,04/06/2015 02:40:31 上午,119383580,1,4,149.0,470.0,149.0,149.0,149.0,0.0,469.0,0.0,117.5,234.33380749122253,5.184967647979731,0.0418818065264921,29845895.000000004,59544741.95400205,119162872.0,77.0,0.0,0.0,0.0,0.0,0.0,119383580.0,39794526.66666667,68735091.77800064,119162872.0,77.0,0,0,0,0,32,128,0.0083763613052984,0.0335054452211937,0.0,469.0,103.33333333333331,188.73120215445735,35619.46666666666,0,0,0,0,1,0,0,0,4.0,124.0,149.0,117.5,0,0,0,0,0,0,1,149,4,470,-1,65400,1,0,77.0,0.0,77.0,77.0,119162872.0,0.0,119162872.0,119162872.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,04/06/2015 02:43:09 上午,64460460,5,7,13.0,10.0,10.0,0.0,2.6,4.33589667773576,4.0,0.0,1.4285714285714286,1.5118578920369088,0.3568078788143926,0.1861606324249004,5860041.818181819,13621586.387462215,42474266.0,42.0,63997151.0,15999287.75,20169122.76908946,42474266.0,270395.0,64190320.0,10698386.666666668,17779333.847363178,42744359.0,100.0,0,1,0,0,160,224,0.0775669301770418,0.1085937022478586,0.0,10.0,1.9230769230769231,2.7827306272059005,7.743589743589744,0,0,0,1,1,0,0,0,1.0,2.083333333333333,2.6,1.4285714285714286,0,0,0,0,0,0,5,13,7,10,-1,1444,2,0,366653.0,136692.22608473388,463309.0,269997.0,31591148.5,15391052.369399972,42474266.0,20708031.0,No Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,04/06/2015 02:44:25 上午,119987953,72,73,11920.0,2356.0,420.0,0.0,165.55555555555563,123.71308114978925,218.0,0.0,32.273972602739725,59.2699240466802,118.97861112773546,1.2084546521099495,833249.6736111115,2156988.8086056714,16547405.0,21.0,119367170.0,1681227.7464788728,2888306.460939913,16547439.0,221.0,119987953.0,1666499.3472222218,2860532.054038308,16547446.0,37560.0,0,1,0,0,1440,1460,0.6000602410476992,0.6083944110622506,0.0,420.0,98.61643835616442,116.97463681906154,13683.06565895135,0,0,0,1,1,0,0,0,1.0,99.29655172413791,165.55555555555554,32.273972602739725,0,0,0,0,0,0,72,11920,73,2356,-1,64680,59,0,3019042.166666667,3487406.51756387,8813749.0,206187.0,9540389.0,4059562.3469366734,16547405.0,5997427.0,No Label
134.170.25.26-10.8.8.178-443-54269-6,134.170.25.26,443,10.8.8.178,54269,6,04/06/2015 02:44:31 上午,117,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,8547.008547008547,17094.017094017094,117.0,0.0,117.0,117.0,0.0,0.0,0.0,0.0,0.0,117.0,117.0,0.0,117.0,117.0,0,0,0,0,0,64,0.0,17094.017094017094,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,65400,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,04/06/2015 02:45:31 上午,99260415,3,3,2.0,4.0,2.0,0.0,0.6666666666666667,1.1547005383792517,2.0,0.0,1.3333333333333333,1.1547005383792517,0.0604470573692443,0.0604470573692443,19852083.0,27343086.02714557,56125466.0,40191.0,98990385.0,49495192.5,9815580.453567917,56435856.0,42554529.0,98990216.0,49495108.0,9376742.20698895,56125466.0,42864750.0,0,1,0,0,96,96,0.0302235286846221,0.0302235286846221,0.0,2.0,1.1428571428571428,1.0690449676496974,1.1428571428571426,0,0,0,1,1,0,0,0,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0,0,0,0,0,0,3,2,3,4,-1,1444,1,0,155110.5,162520.7154811349,270030.0,40191.0,49339997.5,9596101.579755422,56125466.0,42554529.0,No Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,04/06/2015 02:46:25 上午,106546823,80,84,11304.0,4936.0,452.0,0.0,141.30000000000004,122.928032872176,196.0,0.0,58.76190476190475,72.39177531790173,152.42125051443344,1.5392293771161998,653661.4907975461,1823915.3501769933,16579675.0,9.0,106524552.0,1348412.050632911,2480379.683840038,16579706.0,102.0,106546823.0,1283696.662650602,2439207.1944138976,16579751.0,89.0,0,0,0,0,1600,1680,0.7508435985932682,0.7883857785229317,0.0,452.0,98.42424242424248,108.13424084381276,11693.014042867702,0,0,0,0,1,0,0,0,1.0,99.02439024390245,141.3,58.76190476190476,0,0,0,0,0,0,80,11304,84,4936,-1,64680,57,0,11848636.8,7666094.147340952,21472647.0,944777.0,8633137.0,4687768.877122623,16579675.0,5087432.0,No Label
134.170.25.26-10.8.8.178-443-54269-6,134.170.25.26,443,10.8.8.178,54269,6,04/06/2015 02:46:31 上午,40,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,25000.0,49999.99999999999,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,0,64,0.0,49999.99999999999,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,65400,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,04/06/2015 02:47:31 上午,60289319,4,5,8.0,799.0,4.0,0.0,2.0,2.309401076758503,420.0,0.0,159.8,218.4335139121284,13.385455556397975,0.1492801734914272,7536164.875000001,13871280.368371569,33760588.0,15.0,60018683.0,20006227.666666668,17787091.67765929,34034878.0,430.0,60289319.0,15072329.75,17382461.51937959,33760588.0,269248.0,0,1,0,0,128,160,0.0663467437739676,0.0829334297174595,0.0,420.0,80.89999999999999,167.7037401027313,28124.544444444444,0,0,0,1,1,0,0,0,1.0,89.88888888888889,2.0,159.8,0,0,0,0,0,0,4,8,5,799,-1,1444,2,0,269887.0,903.6824663564078,270526.0,269248.0,29737580.0,5689392.4751354605,33760588.0,25714572.0,No Label
10.8.8.178-64.12.27.65-34579-443-6,64.12.27.65,443,10.8.8.178,34579,6,04/06/2015 02:44:36 上午,98,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20408.163265306124,98.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,40,0.0,20408.163265306124,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,32185,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.178-64.12.104.73-49838-443-6,64.12.104.73,443,10.8.8.178,49838,6,04/06/2015 02:44:36 上午,27,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,40,0.0,74074.07407407407,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,44880,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
205.188.12.91-10.8.8.178-443-48911-6,205.188.12.91,443,10.8.8.178,48911,6,04/06/2015 02:48:29 上午,118854876,54,58,7680.0,3552.0,666.0,0.0,142.22222222222223,139.7705217209207,314.0,0.0,61.241379310344826,80.17947200747496,94.50180234927844,0.9423256644514946,1070764.6486486488,2449482.8676971043,14329028.0,10.0,118658651.0,2238842.471698113,3220391.8794400305,14329028.0,129.0,118854876.0,2085173.263157895,3174627.754459622,14535493.0,73.0,0,1,0,0,1080,1160,0.4543355882176849,0.4879900762338097,0.0,666.0,102.17699115044248,120.6564063547287,14557.968394437416,0,0,0,1,1,0,0,0,1.0,103.08928571428572,142.22222222222223,61.241379310344826,0,0,0,0,0,0,54,7680,58,3552,-1,64680,38,0,13279294.8,12921237.518883657,33206783.0,327959.0,10121644.6,4062756.159075978,14329028.0,5245164.0,No Label
134.170.25.26-10.8.8.178-443-54269-6,134.170.25.26,443,10.8.8.178,54269,6,04/06/2015 02:48:31 上午,24,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,41666.66666666666,83333.33333333333,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,24.0,24.0,0,0,0,0,0,64,0.0,83333.33333333333,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0.0,1.0,0.0,0.5,0,0,0,0,0,0,0,0,2,1,-1,65400,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,157.56.52.13,40011,10.8.8.178,56909,6,04/06/2015 02:49:31 上午,70658617,8,8,386.0,18.0,272.0,0.0,48.25,97.256288816126,12.0,0.0,2.25,4.200340122282616,5.717632429743141,0.226440888306659,4710574.466666668,15586351.994407551,60475251.0,57.0,70349581.0,10049940.142857142,22460490.266379185,60475251.0,63.0,70658617.0,10094088.142857144,22576126.984375916,60784284.0,657.0,0,1,0,0,256,256,0.1132204441533295,0.1132204441533295,0.0,272.0,23.88235294117647,68.60565059904066,4706.735294117647,0,0,0,1,1,0,0,0,1.0,25.375,48.25,2.25,0,0,0,0,0,0,8,386,8,18,-1,1444,5,0,154516.5,218438.71973736704,308976.0,57.0,34604160.5,36587247.05848174,60475251.0,8733070.0,No Label
