Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.208.46-10.8.8.110-80-33063-6,10.8.8.110,33063,216.58.208.46,80,6,08/06/2015 10:24:06 下午,75137616,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2262515222734775,4696101.0,4942768.480843625,10023111.0,120223.0,64995364.0,9285052.000000002,2272845.226657035,10145345.0,4130724.0,71131268.0,8891408.5,3543759.8406323027,10147407.0,121051.0,0,0,0,0,256,288,0.1064713045992835,0.1197802176741939,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,8,0,9,0,-1,341,0,0,121375.42857142858,727.964023182203,122234.0,120223.0,10022466.285714284,763.4222759577926,10023111.0,10021201.0,No Label
10.8.8.110-64.233.184.16-37386-465-6,10.8.8.110,37386,64.233.184.16,465,6,08/06/2015 10:25:43 下午,2954055,17,22,1062.0,4495.0,391.0,0.0,62.47058823529412,98.95713569966722,1308.0,0.0,204.3181818181818,405.0283219213708,1881.1430389752395,13.202191563799593,77738.28947368421,180719.9229125238,1088396.0,9.0,2689305.0,168081.5625,304077.38026012806,1234874.0,31.0,2954055.0,140669.2857142857,229983.3430755677,1088396.0,27.0,0,0,0,0,544,720,5.754801450887001,7.44739011291259,0.0,1308.0,138.925,312.7395399878226,97806.01987179488,0,1,0,0,0,0,0,0,1.0,142.48717948717947,62.47058823529412,204.3181818181818,0,0,0,0,0,0,17,1062,22,4495,-1,350,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-64.233.184.16-37386-465-6,10.8.8.110,37386,64.233.184.16,465,6,08/06/2015 10:25:46 下午,40096,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,773.144453312051,74.82043096568236,20048.0,28316.798159396483,40071.0,25.0,25.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,49.88028731045491,24.940143655227452,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,335,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-64.233.184.16-37388-465-6,10.8.8.110,37388,64.233.184.16,465,6,08/06/2015 10:26:11 下午,2358039,12,21,1327.0,877.0,517.0,0.0,110.58333333333331,165.4484035656562,238.0,0.0,41.76190476190476,61.49626392058688,934.6749566058916,13.994679477311443,73688.71874999999,120135.93325418432,628631.0,24.0,2087164.0,189742.18181818185,212577.8256087959,759215.0,435.0,2358039.0,117901.94999999998,138556.37614741022,628631.0,39.0,0,0,0,0,384,688,5.088974355385979,8.905705121925463,0.0,517.0,64.8235294117647,112.44378274531174,12643.604278074868,0,1,0,0,0,0,0,0,1.0,66.78787878787878,110.58333333333331,41.76190476190476,0,0,0,0,0,0,12,1327,21,877,-1,350,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-64.233.184.16-37388-465-6,10.8.8.110,37388,64.233.184.16,465,6,08/06/2015 10:26:13 下午,17142,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,1808.4237545210592,175.00875043752183,8571.0,12080.21224979098,17113.0,29.0,29.0,29.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,116.67250029168125,58.33625014584062,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,245,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-64.233.184.16-37389-465-6,10.8.8.110,37389,64.233.184.16,465,6,08/06/2015 10:26:45 下午,2226818,12,19,1336.0,877.0,517.0,0.0,111.33333333333334,166.87411332189814,238.0,0.0,46.157894736842096,63.149085642975535,993.79473311245,13.921209546536806,74227.26666666668,116396.78745475972,585055.0,14.0,1961167.0,178287.9090909091,202626.71863476172,717856.0,423.0,2226818.0,123712.11111111114,132261.98245811844,585055.0,33.0,0,0,0,0,384,624,5.3888553083368285,8.532354238199979,0.0,517.0,69.15625000000001,115.60168247882676,13363.748991935485,0,1,0,0,0,0,0,0,1.0,71.38709677419355,111.33333333333331,46.1578947368421,0,0,0,0,0,0,12,1336,19,877,-1,350,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-64.233.184.16-37389-465-6,10.8.8.110,37389,64.233.184.16,465,6,08/06/2015 10:26:47 下午,24,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,1291666.6666666667,83333.33333333333,24.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,32,32,41666.66666666666,41666.66666666666,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,245,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-63.245.216.134-46949-443-6,10.8.8.110,46949,63.245.216.134,443,6,08/06/2015 10:27:04 下午,1214050,12,10,1186.0,3324.0,597.0,0.0,98.83333333333331,189.8807440729496,1212.0,0.0,332.4000000000001,488.2743309065328,3714.8387628186647,18.121164696676413,57811.90476190477,107754.34002902378,285544.0,9.0,946295.0,86026.81818181818,135227.60134441353,310304.0,27.0,1212110.0,134678.88888888888,158801.1698063371,385169.0,28.0,0,0,0,0,240,232,9.884271652732588,8.236893043943823,0.0,1212.0,196.08695652173915,361.8179995828488,130912.26482213438,0,1,0,0,0,0,0,0,0.0,205.0,98.83333333333331,332.4,0,0,0,0,0,0,12,1186,10,3324,-1,4235,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-63.245.216.134-46949-443-6,63.245.216.134,443,10.8.8.110,46949,6,08/06/2015 10:27:06 下午,45,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,22222.222222222223,22222.222222222223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,2556,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.110-63.245.216.134-46950-443-6,10.8.8.110,46950,63.245.216.134,443,6,08/06/2015 10:27:04 下午,6021690,9,7,589.0,2786.0,342.0,0.0,65.44444444444444,121.89248450080002,1212.0,0.0,398.00000000000006,565.2512715598259,560.4738868988605,2.657061389742746,401446.0,1325220.5415061514,5175816.0,9.0,5754379.0,719297.375,1805447.9609727203,5175816.0,26.0,806010.0,134335.0,145690.0887308399,267820.0,28.0,0,0,0,0,180,172,1.4945970317302948,1.1624643580124516,0.0,1212.0,198.52941176470588,396.3311616639327,157078.38970588235,0,1,0,0,0,0,0,0,0.0,210.9375,65.44444444444444,398.0,0,0,0,0,0,0,9,589,7,2786,-1,2184,3,0,845836.0,0.0,845836.0,845836.0,5175816.0,0.0,5175816.0,5175816.0,No Label
