Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
204.236.238.164-10.8.8.138-1878-59805-6,10.8.8.138,59805,204.236.238.164,1878,6,23/05/2015 03:40:44 上午,2654207,217,55,270331.0,4173.0,1308.0,0.0,1245.7649769585255,272.21875576442187,1308.0,0.0,75.87272727272722,299.7235797237585,103422.22742988772,102.4788194741405,9794.121771217711,47268.021037052014,338827.0,0.0,2428209.0,11241.708333333332,57787.21467980105,560598.0,0.0,2654113.0,49150.24074074072,98896.0606691912,338827.0,13.0,0,0,0,0,6968,1776,81.75699935988413,20.72182011425635,0.0,1308.0,1005.5091575091571,548.8173455496155,301200.47877612605,0,1,0,0,0,0,0,0,0.0,1009.2058823529412,1245.7649769585253,75.87272727272727,0,0,0,0,0,0,217,270331,55,4173,-1,1811,210,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1878-59805-6,204.236.238.164,1878,10.8.8.138,59805,6,23/05/2015 03:40:47 上午,227102,40,2,53.0,0.0,53.0,0.0,1.325,8.380035799446206,0.0,0.0,0.0,0.0,233.37531153402435,184.93892612130236,5539.073170731708,32324.81412273722,207413.0,17.0,227081.0,5822.589743589743,33139.05555996139,207413.0,17.0,227053.0,227053.0,0.0,227053.0,227053.0,0,0,0,0,1280,52,176.1323105917165,8.806615529585825,0.0,53.0,1.2325581395348837,8.082424227628048,65.32558139534883,0,0,0,0,1,0,0,0,0.0,1.261904761904762,1.325,0.0,0,0,0,0,0,0,40,53,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1901-44296-6,10.8.8.138,44296,204.236.238.164,1901,6,23/05/2015 03:40:46 上午,1670545,76,25,85844.0,4173.0,1308.0,0.0,1129.5263157894742,439.6832033387739,1308.0,0.0,166.91999999999996,431.62038876772266,53884.81004702058,60.45931118287745,16705.450000000008,58447.59271111812,263435.0,1.0,1448331.0,19311.08,65350.43149421435,263485.0,1.0,1670455.0,69602.29166666666,109033.83782010424,272917.0,50.0,0,0,0,0,2432,816,45.49413514751174,14.965176035365705,0.0,1308.0,882.519607843137,606.793662719607,368198.54911667627,0,1,0,0,0,0,0,0,0.0,891.2574257425742,1129.5263157894738,166.92,0,0,0,0,0,0,76,85844,25,4173,-1,807,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1901-44296-6,204.236.238.164,1901,10.8.8.138,44296,6,23/05/2015 03:40:48 上午,234652,18,2,53.0,0.0,53.0,0.0,2.9444444444444446,12.49221980096234,0.0,0.0,0.0,0.0,225.8663893766088,85.23259976475802,12350.105263157897,51810.03258367666,226286.0,34.0,8366.0,492.11764705882354,589.2504648229967,2312.0,35.0,234375.0,234375.0,0.0,234375.0,234375.0,0,0,0,0,576,52,76.70933978828222,8.523259976475803,0.0,53.0,2.523809523809524,11.565548182507596,133.76190476190476,0,0,0,0,1,0,0,0,0.0,2.65,2.9444444444444446,0.0,0,0,0,0,0,0,18,53,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1879-53875-6,10.8.8.138,53875,204.236.238.164,1879,6,23/05/2015 03:40:48 上午,2148188,177,51,218236.0,4173.0,1308.0,0.0,1232.97175141243,296.3334736518543,1308.0,0.0,81.82352941176467,310.6836143656342,103533.30341664694,106.13596202939408,9463.3832599119,44262.83181598484,272057.0,1.0,1928596.0,10957.931818181816,49045.903955794696,272111.0,1.0,2148072.0,42961.44,89884.98943381332,281607.0,37.0,0,0,0,0,5664,1648,82.39502315439802,23.74093887499604,0.0,1308.0,971.2183406113536,568.5236693793872,323219.1626446028,0,1,0,0,0,0,0,0,0.0,975.4780701754386,1232.9717514124293,81.82352941176471,0,0,0,0,0,0,177,218236,51,4173,-1,1311,170,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1879-53875-6,204.236.238.164,1879,10.8.8.138,53875,6,23/05/2015 03:40:50 上午,225331,38,2,53.0,0.0,53.0,0.0,1.3947368421052633,8.597735319930415,0.0,0.0,0.0,0.0,235.2095361934221,177.51663108937518,5777.717948717948,28520.113430745045,176331.0,16.0,222976.0,6026.378378378378,29279.16273881797,176331.0,16.0,225314.0,225314.0,0.0,225314.0,225314.0,0,0,0,0,1216,52,168.64079953490642,8.875831554468759,0.0,53.0,1.2926829268292683,8.27720938009612,68.51219512195122,0,0,0,0,1,0,0,0,0.0,1.325,1.394736842105263,0.0,0,0,0,0,0,0,38,53,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1335-35158-6,10.8.8.138,35158,204.236.238.164,1335,6,23/05/2015 03:40:50 上午,1056416,8,11,465.0,4487.0,267.0,0.0,58.125,95.61147196559924,1308.0,0.0,407.9090909090909,589.8563307357911,4687.54732983976,17.985339108835912,58689.77777777779,108081.55050187284,280798.0,12.0,543531.0,77647.28571428572,131161.89697687142,280848.0,27.0,1056416.0,105641.6,129738.71887605487,285016.0,35.0,0,0,0,0,256,368,7.572774361615121,10.412564747220792,0.0,1308.0,247.60000000000005,468.7327147690215,219710.35789473684,0,1,0,0,0,0,0,0,1.0,260.63157894736844,58.125,407.9090909090909,0,0,0,0,0,0,8,465,11,4487,-1,235,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1335-35158-6,10.8.8.138,35158,204.236.238.164,1335,6,23/05/2015 03:40:51 上午,130,2,1,53.0,0.0,53.0,0.0,26.5,37.476659402887016,0.0,0.0,0.0,0.0,407692.30769230775,23076.92307692308,65.0,38.18376618407357,92.0,38.0,38.0,38.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,15384.615384615388,7692.307692307693,0.0,53.0,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0.0,17.666666666666668,26.5,0.0,0,0,0,0,0,0,2,53,1,0,-1,10780,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1742-32797-6,10.8.8.138,32797,204.236.238.164,1742,6,23/05/2015 03:40:51 上午,2128879,271,71,341423.0,4173.0,1308.0,0.0,1259.8634686346863,240.3966009214579,1308.0,0.0,58.77464788732388,265.17914145417666,162337.07974948318,160.64792785310954,6243.04692082112,36060.268143241774,258275.0,2.0,1909762.0,7073.192592592592,39510.85031296436,261790.0,2.0,2128848.0,30412.11428571429,77422.87449718619,265181.0,46.0,0,0,0,0,8672,2288,127.29704224617744,33.3508856069321,0.0,1308.0,1007.5685131195338,548.0049519026002,300309.42730977107,0,1,0,0,0,0,0,0,0.0,1010.514619883041,1259.8634686346863,58.77464788732394,0,0,0,0,0,0,271,341423,71,4173,-1,1997,264,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
204.236.238.164-10.8.8.138-1742-32797-6,204.236.238.164,1742,10.8.8.138,32797,6,23/05/2015 03:40:53 上午,230073,66,2,53.0,0.0,53.0,0.0,0.803030303030303,6.523849021904635,0.0,0.0,0.0,0.0,230.361667818475,295.558366257666,3433.9253731343297,23456.24852158733,192467.0,18.0,228577.0,3516.569230769231,23814.69434441241,192467.0,18.0,229897.0,229897.0,0.0,229897.0,229897.0,0,0,0,0,2112,52,286.86547313244057,8.692893125225472,0.0,53.0,0.7681159420289855,6.380450213545768,40.71014492753624,0,0,0,0,1,0,0,0,0.0,0.7794117647058824,0.803030303030303,0.0,0,0,0,0,0,0,66,53,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
