Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.138-107.22.243.234-49969-80-6,10.8.8.138,49969,107.22.243.234,80,6,25/05/2015 01:03:28 上午,928995,9,7,4317.0,3210.0,1308.0,0.0,479.6666666666667,592.5694052176505,1308.0,0.0,458.57142857142856,619.4822723163962,8102.30410282079,17.222912932792966,61933.0,108623.59078290232,317047.0,10.0,706008.0,88251.00000000001,189983.28506777345,540837.0,10.0,764055.0,127342.5,143549.48998690312,317047.0,46.0,0,0,0,0,288,240,9.687888524696042,7.5350244080969215,0.0,1308.0,442.7647058823529,576.7204185534536,332606.4411764706,0,1,0,0,0,0,0,0,0.0,470.4375,479.6666666666667,458.57142857142856,0,0,0,0,0,0,9,4317,7,3210,-1,79,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.138-107.22.243.234-49969-80-6,107.22.243.234,80,10.8.8.138,49969,6,25/05/2015 01:03:29 上午,155012,3,2,1280.0,0.0,1280.0,0.0,426.6666666666666,739.008344562721,0.0,0.0,0.0,0.0,8257.425231594973,32.25556731091786,38753.0,76189.48990072931,153030.0,45.0,153139.0,76569.5,108131.47608582804,153030.0,109.0,154967.0,154967.0,0.0,154967.0,154967.0,0,0,0,0,96,52,19.35334038655072,12.902226924367143,0.0,1280.0,213.33333333333331,522.5578117937446,273066.6666666666,0,0,0,0,1,0,0,0,0.0,256.0,426.6666666666667,0.0,0,0,0,0,0,0,3,1280,2,0,-1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.138-74.125.226.35-54134-443-6,10.8.8.138,54134,74.125.226.35,443,6,25/05/2015 01:03:24 上午,13943390,1,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,4.518269947265335,0.3585928529575662,3485847.5000000005,6835414.583140196,13737944.0,35.0,0.0,0.0,0.0,0.0,0.0,13943390.0,4647796.666666666,7872965.362384388,13737944.0,255.0,0,0,0,0,32,128,0.0717185705915132,0.286874282366053,0.0,63.0,10.5,25.71964229922337,661.5,0,0,0,0,1,0,0,0,4.0,12.6,0.0,15.75,0,0,0,0,0,0,1,0,4,63,-1,341,0,0,205191.0,0.0,205191.0,205191.0,13737944.0,0.0,13737944.0,13737944.0,No Label
10.8.8.138-74.125.226.37-53315-443-6,10.8.8.138,53315,74.125.226.37,443,6,25/05/2015 01:03:24 上午,13939801,0,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,4.519433240115839,0.286948142229577,4646600.333333334,7870825.939442717,13734273.0,26.0,0.0,0.0,0.0,0.0,0.0,13939801.0,4646600.333333334,7870825.939442717,13734273.0,26.0,0,0,0,0,0,128,0.0,0.286948142229577,0.0,63.0,12.6,28.17445651649735,793.8,0,0,0,0,1,0,0,0,0.0,15.75,0.0,15.75,0,0,0,0,0,0,0,0,4,63,-1,350,0,0,205502.0,0.0,205502.0,205502.0,13734273.0,0.0,13734273.0,13734273.0,No Label
10.8.8.138-54.225.199.51-55192-80-6,10.8.8.138,55192,54.225.199.51,80,6,25/05/2015 01:03:33 上午,10194599,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392364623660038,3398199.6666666665,5668105.802035221,9941535.0,59.0,0.0,0.0,0.0,0.0,0.0,10194599.0,5097299.5,6850866.982029391,9941594.0,253005.0,0,0,0,0,32,112,0.0980911559150095,0.2942734677450285,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,57,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
216.58.219.200-10.8.8.138-443-38609-6,10.8.8.138,38609,216.58.219.200,443,6,25/05/2015 01:03:29 上午,13939145,1,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,4.519645932372466,0.3587020581247989,3484786.2500000005,6826047.484877681,13722716.0,41.0,0.0,0.0,0.0,0.0,0.0,13939145.0,4646381.666666666,7861078.992784917,13722716.0,144.0,0,0,0,0,32,128,0.0717404116249597,0.2869616464998391,0.0,63.0,10.5,25.71964229922337,661.5,0,0,0,0,1,0,0,0,4.0,12.6,0.0,15.75,0,0,0,0,0,0,1,0,4,63,-1,350,0,0,216285.0,0.0,216285.0,216285.0,13722716.0,0.0,13722716.0,13722716.0,No Label
10.8.8.138-74.125.29.157-50608-443-6,10.8.8.138,50608,74.125.29.157,443,6,25/05/2015 01:03:30 上午,13919977,1,4,0.0,63.0,0.0,0.0,0.0,0.0,63.0,0.0,15.75,31.5,4.525869547054568,0.3591959957979815,3479994.2500000005,6812646.545667128,13697757.0,33.0,0.0,0.0,0.0,0.0,0.0,13919977.0,4639992.333333334,7845040.223949482,13697757.0,67.0,0,0,0,0,32,128,0.0718391991595963,0.2873567966383852,0.0,63.0,10.5,25.71964229922337,661.5,0,0,0,0,1,0,0,0,4.0,12.6,0.0,15.75,0,0,0,0,0,0,1,0,4,63,-1,350,0,0,222153.0,0.0,222153.0,222153.0,13697757.0,0.0,13697757.0,13697757.0,No Label
10.8.8.138-54.225.199.51-55191-80-6,10.8.8.138,55191,54.225.199.51,80,6,25/05/2015 01:03:32 上午,12227711,9,8,4260.0,1320.0,1308.0,0.0,473.3333333333333,516.2276629550183,660.0,0.0,165.0,305.520632924942,456.34052031488153,1.390284739310571,764231.9375,2472674.429412479,9909244.0,5.0,2103068.0,262883.49999999994,569813.0021599818,1650202.0,5.0,12227711.0,1746815.857142857,3661032.272991386,9909288.0,131.0,0,0,0,0,288,272,0.736033097282067,0.6542516420285039,0.0,1308.0,310.0,439.90159327366143,193513.41176470587,0,1,0,0,0,0,0,0,0.0,328.2352941176471,473.3333333333333,165.0,0,0,0,0,0,0,9,4260,8,1320,-1,103,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.138-54.225.199.51-55192-80-6,10.8.8.138,55192,54.225.199.51,80,6,25/05/2015 01:03:43 上午,5356207,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3733985635730658,5356207.0,0.0,5356207.0,5356207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.1866992817865329,0.1866992817865329,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,229,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.8.138-54.225.199.51-55191-80-6,10.8.8.138,55191,54.225.199.51,80,6,25/05/2015 01:03:45 上午,3328202,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009250640435887,3328202.0,0.0,3328202.0,3328202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,0.3004625320217943,0.3004625320217943,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,249,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
