Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
173.252.110.27-10.8.0.10-443-35769-6,10.8.0.10,35769,173.252.110.27,443,6,15/04/2015 03:03:04 上午,302022,9,6,480.0,3570.0,208.0,0.0,53.333333333333336,79.18175294851711,1338.0,0.0,595.0,671.6508021286061,13409.619166815664,49.66525617339134,21573.0,49532.68687054423,138211.0,31.0,163802.0,20475.25,48231.20565641532,139345.0,91.0,280176.0,56035.2,76068.6066731868,140561.0,186.0,0,0,0,0,288,208,29.799153704034804,19.866102469356537,0.0,1338.0,253.125,478.2137423091617,228688.38333333333,0,1,0,0,0,0,0,0,0.0,270.0,53.333333333333336,595.0,0,0,0,0,0,0,9,480,6,3570,-1,59,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
173.252.110.27-10.8.0.10-443-35769-6,173.252.110.27,443,10.8.0.10,35769,6,15/04/2015 03:03:05 上午,2200,7,7,391.0,0.0,258.0,0.0,55.85714285714286,92.15824899130222,0.0,0.0,0.0,0.0,177727.2727272727,6363.636363636363,169.23076923076923,351.3815954785134,1225.0,24.0,1619.0,269.83333333333337,487.44206493353306,1264.0,53.0,2153.0,358.83333333333337,498.6419222916047,1257.0,53.0,0,0,0,0,224,152,3181.818181818181,3181.818181818181,0.0,258.0,26.066666666666663,66.87244432143788,4471.92380952381,0,0,0,0,1,0,0,0,1.0,27.928571428571427,55.85714285714285,0.0,0,0,0,0,0,0,7,391,7,0,-1,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
173.194.123.78-10.8.0.10-443-48811-6,10.8.0.10,48811,173.194.123.78,443,6,15/04/2015 03:03:47 上午,25825,2,4,0.0,151.0,0.0,0.0,0.0,0.0,65.0,0.0,37.75,27.268724453727817,5847.047434656341,232.33301064859631,5164.999999999999,11470.471764491642,25684.0,27.0,62.0,62.0,0.0,62.0,62.0,25825.0,8608.333333333332,14787.96484758242,25684.0,60.0,0,1,0,0,64,128,77.44433688286544,154.88867376573089,0.0,65.0,27.42857142857143,26.912556814351813,724.2857142857142,0,0,0,1,1,0,0,0,2.0,32.0,0.0,37.75,0,0,0,0,0,0,2,0,4,151,-1,437,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
173.194.123.78-10.8.0.10-443-48811-6,10.8.0.10,48811,173.194.123.78,443,6,15/04/2015 03:03:47 上午,290,2,1,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,45.0,45.0,0.0,262068.9655172414,10344.827586206897,145.0,159.80613254815975,258.0,32.0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,64,32,6896.551724137931,3448.2758620689656,0.0,45.0,30.25,21.219095173922945,450.25000000000006,0,0,0,1,1,0,0,0,0.0,40.333333333333336,15.5,45.0,0,0,0,0,0,0,2,31,1,45,-1,353,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
209.148.205.11-10.8.0.10-443-35271-6,10.8.0.10,35271,209.148.205.11,443,6,15/04/2015 03:03:50 上午,4368852,4,2,68.0,74.0,41.0,0.0,17.0,20.445048300260872,37.0,37.0,37.0,0.0,32.502817673842,1.3733584932609295,873770.4,1938806.0023987184,4341975.0,26.0,4346967.0,1448989.0,2505400.5863428307,4341975.0,26.0,21837.0,21837.0,0.0,21837.0,21837.0,0,1,0,0,128,64,0.9155723288406198,0.4577861644203099,0.0,41.0,25.57142857142857,17.980147782643897,323.2857142857143,0,0,0,1,1,0,0,0,0.0,29.83333333333333,17.0,37.0,0,0,0,0,0,0,4,68,2,74,-1,568,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
209.148.205.11-10.8.0.10-443-35271-6,209.148.205.11,443,10.8.0.10,35271,6,15/04/2015 03:03:55 上午,101,1,2,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,13.5,19.091883092036785,267326.7326732673,29702.970297029704,50.5,14.849242404917495,61.0,40.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,61.0,61.0,0,1,0,0,32,52,9900.9900990099,19801.980198019803,0.0,27.0,13.5,15.588457268119896,243.0,0,0,0,1,1,0,0,0,2.0,18.0,0.0,13.5,0,0,0,0,0,0,1,0,2,27,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.0.10-31.13.73.7-47592-443-6,10.8.0.10,47592,31.13.73.7,443,6,15/04/2015 03:03:09 上午,63596043,6,5,117.0,123.0,45.0,0.0,19.5,21.842618890600093,41.0,0.0,24.6,22.45662485771181,3.773819701329531,0.1729667363109368,6359604.299999999,18245685.95000717,58080556.0,30.0,63448316.0,12689663.2,25472689.496544,58080556.0,36.0,58376084.0,14594021.0,29089623.18116537,58228331.0,56.0,0,1,0,0,192,160,0.0943454925332382,0.0786212437776985,0.0,45.0,23.416666666666668,20.913059570662075,437.3560606060606,0,0,0,1,1,0,0,0,0.0,25.545454545454547,19.5,24.6,0,0,0,0,0,0,6,117,5,123,-1,118,3,0,147780.0,74.95331880577403,147833.0,147727.0,31647793.0,37381571.92559374,58080556.0,5215030.0,No Label
209.148.205.10-10.8.0.10-443-50813-6,10.8.0.10,50813,209.148.205.10,443,6,15/04/2015 03:03:09 上午,63601208,6,3,105.0,111.0,41.0,0.0,17.5,19.70532922840925,37.0,37.0,37.0,0.0,3.3961619093775703,0.1415067462240654,7950150.999999999,20390403.36946689,58202500.0,31.0,63575408.0,12715081.6,25532586.499850336,58202500.0,31.0,58253852.0,29126926.0,41155282.0228471,58228105.0,25747.0,0,1,0,0,192,96,0.0943378308160436,0.0471689154080218,0.0,41.0,25.3,17.80792582594116,317.1222222222222,0,0,0,1,1,0,0,0,0.0,28.11111111111111,17.5,37.0,0,0,0,0,0,0,6,105,3,111,-1,893,3,0,25700.5,140.71424945612296,25800.0,25601.0,31769893.5,37381350.601171225,58202500.0,5337287.0,No Label
209.148.205.10-10.8.0.10-443-50813-6,209.148.205.10,443,10.8.0.10,50813,6,15/04/2015 03:04:13 上午,104,1,2,0.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,13.5,19.091883092036785,259615.38461538465,28846.153846153848,52.0,18.384776310850235,65.0,39.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,0.0,65.0,65.0,0,1,0,0,32,52,9615.384615384615,19230.76923076923,0.0,27.0,13.5,15.588457268119896,243.0,0,0,0,1,1,0,0,0,2.0,18.0,0.0,13.5,0,0,0,0,0,0,1,0,2,27,-1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
10.8.0.10-31.13.73.7-47592-443-6,31.13.73.7,443,10.8.0.10,47592,6,15/04/2015 03:04:13 上午,226,3,3,76.0,0.0,45.0,0.0,25.333333333333336,23.028967265887832,0.0,0.0,0.0,0.0,336283.185840708,26548.67256637168,45.2,25.51862065237853,88.0,24.0,138.0,69.0,24.04163056034261,86.0,52.0,198.0,99.0,49.49747468305833,134.0,64.0,0,0,0,0,96,72,13274.33628318584,13274.33628318584,0.0,45.0,10.857142857142856,18.97743020387263,360.1428571428571,0,0,0,0,1,0,0,0,1.0,12.666666666666666,25.33333333333333,0.0,0,0,0,0,0,0,3,76,3,0,-1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label
