Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-74.125.226.174-64543-443-6,74.125.226.174,443,131.202.240.87,64543,6,15/04/2015 02:19:20 上午,64,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,859375.0,31250.0,64.0,0.0,64.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,15625.0,15625.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,352,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.174-64543-443-6,131.202.240.87,64543,74.125.226.174,443,6,15/04/2015 02:19:20 上午,12491,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.1152830037627,12491.0,0.0,12491.0,12491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,80.05764150188135,80.05764150188135,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16459,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.27.65-64345-443-6,131.202.240.87,64345,64.12.27.65,443,6,15/04/2015 02:17:31 上午,90052997,3,5,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.26650973093099833,0.08883657697699944,1.2864713857142856E7,1.5978917006273251E7,2.9947074E7,52388.0,6.0000155E7,3.00000775E7,207.18228688765842,3.0000224E7,2.9999931E7,9.0052997E7,2.251324925E7,1.497390750376023E7,3.0000577E7,52388.0,0,1,0,0,60,100,0.03331371636637479,0.05552286061062465,0.0,6.0,3.3333333333333335,3.1622776601683795,10.0,0,0,0,1,1,0,0,0,1.0,3.75,6.0,1.2,0,0,0,0,0,0,3,18,5,6,-1,16384,3,0,52977.666666666664,560.2770148179678,53503.0,52388.0,2.9946894666666668E7,176.56821155953676,2.9947074E7,2.9946721E7,No Label
131.202.240.87-64.12.104.73-39237-443-6,131.202.240.87,39237,64.12.104.73,443,6,15/04/2015 02:17:31 上午,90052819,3,5,222.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,14.8,33.09380606699689,3.2869598451992936,0.08883675257295388,1.286468842857143E7,1.5978572166463453E7,2.9954167E7,53027.0,6.0000157E7,3.00000785E7,10062.836603065758,3.0007194E7,2.9992963E7,9.0052819E7,2.251320475E7,1.497290770422101E7,3.0007452E7,53845.0,0,1,0,0,60,100,0.03331378221485771,0.055522970358096176,0.0,74.0,41.111111111111114,39.00142447541001,1521.111111111111,0,0,0,1,1,0,0,0,1.0,46.25,74.0,14.8,0,0,0,0,0,0,3,222,5,74,-1,16384,3,0,53385.666666666664,418.1881554197026,53845.0,53027.0,2.99465E7,7281.366561298779,2.9954167E7,2.9939678E7,No Label
131.202.240.87-64.12.104.85-39235-443-6,131.202.240.87,39235,64.12.104.85,443,6,15/04/2015 02:17:31 上午,90052772,3,5,159.0,53.0,53.0,53.0,53.0,0.0,53.0,0.0,10.599999999999998,23.70232056149777,2.3541751718647816,0.08883679893829365,1.2864681714285713E7,1.5978508052160153E7,2.9947009E7,53125.0,5.9999604E7,2.9999802E7,579.827560572969,3.0000212E7,2.9999392E7,9.0052772E7,2.2513193E7,1.4972897341473693E7,3.000033E7,53847.0,0,1,0,0,60,100,0.033313799601860115,0.05552299933643353,0.0,53.0,29.444444444444443,27.933452664820685,780.2777777777778,0,0,0,1,1,0,0,0,1.0,33.125,53.0,10.6,0,0,0,0,0,0,3,159,5,53,-1,16384,3,0,53457.0,342.8644046850008,53847.0,53203.0,2.9946425333333332E7,509.3194806144109,2.9947009E7,2.9946071E7,No Label
131.202.240.87-178.237.19.103-64201-443-6,131.202.240.87,64201,178.237.19.103,443,6,15/04/2015 02:17:41 上午,119999957,10,10,342.0,710.0,286.0,0.0,34.2,89.22605498893745,337.0,0.0,71.0,113.76779470092188,8.766669808056681,0.1666667263889103,6315787.2105263155,1.1531791794215225E7,3.7556169E7,63.0,1.19247714E8,1.3249746000000002E7,1.4104409923710154E7,3.7556169E7,60174.0,8.239353E7,9154836.666666666,1.123070821828165E7,3.0000714E7,68704.0,0,1,0,0,200,200,0.08333336319445515,0.08333336319445515,0.0,337.0,50.38095238095239,99.24186424613163,9848.94761904762,0,0,0,1,1,0,0,0,1.0,52.9,34.2,71.0,0,0,0,0,0,0,10,342,10,710,-1,16384,5,0,1295945.0,2505753.055741128,5769138.0,50258.0,2.27040464E7,1.1728731475837627E7,3.7556169E7,1.0652374E7,No Label
131.202.240.87-178.237.19.228-64205-443-6,131.202.240.87,64205,178.237.19.228,443,6,15/04/2015 02:17:41 上午,119999935,3,4,18.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.5,3.0,0.20000010833339202,0.05833336493057267,1.9999989166666668E7,2.4328358874196332E7,5.983066E7,170173.0,9.0000805E7,4.50004025E7,2.1213812254535027E7,6.0000833E7,2.9999972E7,6.0169275E7,2.0056425E7,1.7221653012994688E7,2.999977E7,170573.0,0,1,0,0,60,80,0.025000013541674002,0.03333335138889867,0.0,6.0,3.75,3.1052950170405937,9.642857142857142,0,0,0,1,1,0,0,0,1.0,4.285714285714286,6.0,1.5,0,0,0,0,0,0,3,18,4,6,-1,16384,3,0,170373.66666666666,200.003333305556,170573.0,170173.0,3.9829604666666664E7,1.7321422028970264E7,5.983066E7,2.9828557E7,No Label
131.202.240.87-64.12.104.73-64366-443-6,131.202.240.87,64366,64.12.104.73,443,6,15/04/2015 02:17:47 上午,90060344,3,5,222.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,14.8,33.09380606699689,3.286685202979016,0.08882932981024368,1.286576342857143E7,1.5980912603282953E7,2.995592E7,52174.0,5.9998716E7,2.9999358E7,869.7413408594534,2.9999973E7,2.9998743E7,9.0060344E7,2.2515086E7,1.4974672550887004E7,3.0008094E7,53078.0,0,1,0,0,60,100,0.03331099867884138,0.055518331131402296,0.0,74.0,41.111111111111114,39.00142447541001,1521.111111111111,0,0,0,1,1,0,0,0,1.0,46.25,74.0,14.8,0,0,0,0,0,0,3,222,5,74,-1,16384,3,0,52494.0,506.53331578485535,53078.0,52174.0,2.9950077333333332E7,5093.8329706944,2.995592E7,2.9946569E7,No Label
131.202.240.87-64.12.24.167-64362-443-6,131.202.240.87,64362,64.12.24.167,443,6,15/04/2015 02:17:47 上午,90059931,3,5,159.0,53.0,53.0,53.0,53.0,0.0,53.0,0.0,10.599999999999998,23.70232056149777,2.3539880349231,0.08882973716690944,1.286570442857143E7,1.5978213583144978E7,2.9952555E7,54374.0,5.9998373E7,2.99991865E7,1105.2078989945737,2.9999968E7,2.9998405E7,9.0059931E7,2.251498275E7,1.4973569666264184E7,3.0007215E7,54629.0,0,1,0,0,60,100,0.03331115143759104,0.0555185857293184,0.0,53.0,29.444444444444443,27.933452664820685,780.2777777777778,0,0,0,1,1,0,0,0,1.0,33.125,53.0,10.6,0,0,0,0,0,0,3,159,5,53,-1,16384,3,0,54719.333333333336,130.53862774417897,54869.0,54629.0,2.9947133E7,4744.142915216615,2.9952555E7,2.9943745E7,No Label
131.202.240.87-178.237.24.202-64364-443-6,131.202.240.87,64364,178.237.24.202,443,6,15/04/2015 02:17:41 上午,96912089,8,10,88.0,1073.0,38.0,0.0,11.0,16.869245050429157,581.0,0.0,107.30000000000001,179.92161873685134,11.979929562760741,0.18573534205830608,5700711.117647059,9484716.470130358,3.1399549E7,71.0,9.6537133E7,1.3791019E7,1.0640815387993691E7,3.1399549E7,69930.0,9.6912089E7,1.0768009888888888E7,1.104129829150178E7,3.1617557E7,40628.0,0,1,0,0,160,200,0.0825490409148027,0.10318630114350337,0.0,581.0,67.6842105263158,137.03651282761547,18779.005847953216,0,0,0,1,1,0,0,0,1.0,71.44444444444444,11.0,107.3,0,0,0,0,0,0,8,88,10,1073,-1,16384,4,0,146640.5,54486.9751986656,208563.0,51367.0,1.5977642166666666E7,9591309.222605377,3.1399549E7,5086778.0,No Label
