Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-131.202.6.26-3246-13111-6,131.202.240.87,3246,131.202.6.26,13111,6,16/04/2015 01:13:57 上午,304193,3,4,124.0,195.0,124.0,0.0,41.33333333333333,71.5914333795136,195.0,0.0,48.75,97.5,1048.676333774939,23.01170638377609,50698.833333333336,103060.53404949281,258179.0,67.0,303167.0,151583.5,212462.25322277838,301817.0,1350.0,303802.0,101267.33333333333,137635.33379308286,258179.0,959.0,0,0,0,0,60,104,9.862159878761181,13.149546505014909,0.0,195.0,39.875,76.23354623411252,5811.5535714285725,0,1,0,0,0,0,0,0,1.0,45.57142857142857,41.333333333333336,48.75,0,0,0,0,0,0,3,124,4,195,-1,516,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-3246-13111-6,131.202.6.26,13111,131.202.240.87,3246,6,16/04/2015 01:13:57 上午,42,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47619.04761904762,42.0,0.0,42.0,42.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,23809.52380952381,23809.52380952381,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,516,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-64.12.104.73-13389-443-6,131.202.240.87,13389,64.12.104.73,443,6,16/04/2015 01:12:57 上午,119999415,4,5,296.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,14.8,33.09380606699689,3.083348364656611,0.07500036562678243,1.4999926874999998E7,1.5979595260029893E7,2.9949695E7,52212.0,9.0000347E7,3.0000115666666668E7,1911.1840134673932,3.000196E7,2.9998144E7,9.0053693E7,2.251342325E7,1.4974140894384567E7,3.0002333E7,52212.0,0,1,0,0,80,100,0.03333349583412552,0.04166686979265691,0.0,74.0,44.400000000000006,38.21343568257985,1460.2666666666667,0,0,0,1,1,0,0,0,1.0,49.333333333333336,74.0,14.8,0,0,0,0,0,0,4,296,5,74,-1,16384,4,0,52384.25,191.22826673899456,52638.0,52212.0,2.99474695E7,1673.454411290211,2.9949695E7,2.9945722E7,No Label
131.202.240.87-64.12.24.167-13385-443-6,131.202.240.87,13385,64.12.24.167,443,6,16/04/2015 01:12:57 上午,119999341,4,5,212.0,53.0,53.0,53.0,53.0,0.0,53.0,0.0,10.599999999999998,23.70232056149777,2.208345460830489,0.07500041187726189,1.4999917624999998E7,1.5976877208370369E7,2.9946789E7,54756.0,9.0000311E7,3.0000103666666668E7,1940.886481310366,3.0001975E7,2.99981E7,9.005616E7,2.251404E7,1.4972820692151451E7,3.0001545E7,54809.0,0,1,0,0,80,100,0.03333351638989417,0.04166689548736772,0.0,53.0,31.799999999999997,27.36908231319908,749.0666666666667,0,0,0,1,1,0,0,0,1.0,35.333333333333336,53.0,10.6,0,0,0,0,0,0,4,212,5,53,-1,16384,4,0,54917.5,191.4410266026242,55186.0,54756.0,2.994491775E7,1561.9926109518267,2.9946789E7,2.9943181E7,No Label
131.202.240.87-178.237.19.228-13407-443-6,131.202.240.87,13407,178.237.19.228,443,6,16/04/2015 01:12:59 上午,119998999,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.25000208543406266,0.0750006256302188,1.4999874875E7,1.585237701205044E7,2.9829515E7,170873.0,9.0000508E7,3.0000169333333332E7,772.1381568950814,3.0000788E7,2.9999304E7,9.0169484E7,2.2542371E7,1.491433200030863E7,2.9999665E7,170873.0,0,1,0,0,80,100,0.033333611391208356,0.041667014239010446,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,171334.0,503.683763221859,172047.0,170873.0,2.982841575E7,798.2979289301979,2.9829515E7,2.9827618E7,No Label
131.202.240.87-178.237.19.103-13404-443-6,131.202.240.87,13404,178.237.19.103,443,6,16/04/2015 01:12:59 上午,119998289,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.25000356463415907,0.07500106939024773,1.4999786125E7,1.5851543972404657E7,2.9828795E7,171949.0,9.0000324E7,3.0000108E7,1098.2745558374736,3.0000882E7,2.9998851E7,9.0169666E7,2.25424165E7,1.4913645047799537E7,3.0000889E7,171949.0,0,1,0,0,80,100,0.03333380861788788,0.04166726077235985,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,172024.5,76.65724579799159,172094.0,171949.0,2.982754775E7,1376.3888440411345,2.9828795E7,2.9826016E7,No Label
131.202.240.87-209.148.205.26-3229-443-6,131.202.240.87,3229,209.148.205.26,443,6,16/04/2015 01:12:59 上午,118083795,5,4,74.0,148.0,37.0,0.0,14.8,20.265734627691145,37.0,37.0,37.0,0.0,1.8800208783940253,0.07621706263759562,1.4760474375000002E7,2.726292876827385E7,5.8931662E7,21755.0,1.18009695E8,2.950242375E7,3.39817269130549E7,5.8931662E7,71819.0,1.18033168E8,3.9344389333333336E7,3.405341215367308E7,5.900605E7,22896.0,0,1,0,0,100,80,0.04234281257644201,0.03387425006115361,0.0,37.0,25.900000000000002,17.872697986966973,319.43333333333334,0,0,0,1,1,0,0,0,0.0,28.77777777777778,14.8,37.0,0,0,0,0,0,0,5,74,4,148,-1,524,2,0,72959.5,1612.9105678865149,74100.0,71819.0,5.89314625E7,282.13560569343247,5.8931662E7,5.8931263E7,No Label
131.202.240.87-209.148.205.26-3229-443-6,131.202.240.87,3229,209.148.205.26,443,6,16/04/2015 01:15:00 上午,1211,1,1,27.0,41.0,27.0,27.0,27.0,0.0,41.0,41.0,41.0,0.0,56151.94054500412,1651.5276630883566,1211.0,0.0,1211.0,1211.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,825.7638315441783,825.7638315441783,27.0,41.0,36.333333333333336,8.082903768654761,65.33333333333334,0,0,0,1,1,0,0,0,1.0,54.5,27.0,41.0,0,0,0,0,0,0,1,27,1,41,-1,16264,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-209.148.205.26-3229-443-6,209.148.205.26,443,131.202.240.87,3229,6,16/04/2015 01:15:00 上午,130,1,1,0.0,27.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,0.0,207692.30769230772,15384.615384615387,130.0,0.0,130.0,130.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,7692.307692307693,7692.307692307693,0.0,27.0,18.0,15.588457268119896,243.0,0,0,0,1,1,0,0,0,1.0,27.0,0.0,27.0,0,0,0,0,0,0,1,0,1,27,-1,524,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.110.27-1967-443-6,173.252.110.27,443,131.202.240.87,1967,6,16/04/2015 01:13:00 上午,117202678,247,212,92125.0,54963.0,1350.0,0.0,372.97570850202413,480.77834021059476,1350.0,0.0,259.2594339622641,366.1713317879688,1254.9883885758993,3.9162927659383344,255901.0436681222,1839547.8531876712,3.513765E7,4.0,1.16921327E8,475289.94715447153,2507309.801132161,3.5188437E7,17.0,1.17202678E8,555462.928909953,2687381.5788550186,3.5149142E7,4.0,0,1,0,0,4940,4240,2.1074603773132212,1.808832388625113,0.0,1350.0,322.5630434782609,436.7854180985028,190781.50146348393,0,0,0,1,1,0,0,0,0.0,323.2657952069717,372.9757085020243,259.25943396226415,0,0,0,0,0,0,247,92125,212,54963,-1,16525,225,0,1.8265104E7,2.1299937082719542E7,4.2810849E7,4644225.0,1.9108550666666668E7,1.3882396658812532E7,3.513765E7,1.0945954E7,No Label
131.202.240.87-178.237.24.202-13393-443-6,131.202.240.87,13393,178.237.24.202,443,6,16/04/2015 01:13:04 上午,119993144,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.2500142841494344,0.07500428524483033,1.4999143E7,1.584992425892806E7,2.9826723E7,172490.0,8.9997854E7,2.9999284666666668E7,823.0129606107872,3.0000202E7,2.9998611E7,9.0167591E7,2.254189775E7,1.4912892663848093E7,3.000003E7,172559.0,0,1,0,0,80,100,0.033335237886591255,0.041669047358239064,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,172896.5,463.5144729851138,173479.0,172490.0,2.98253895E7,1845.8655602905285,2.9826723E7,2.9822731E7,No Label
131.202.240.87-178.237.19.227-13397-443-6,131.202.240.87,13397,178.237.19.227,443,6,16/04/2015 01:13:04 上午,119992825,4,5,24.0,6.0,6.0,6.0,6.0,0.0,6.0,0.0,1.2,2.6832815729997477,0.250014948810481,0.07500448464314428,1.4999103125E7,1.5848706510769304E7,2.9826267E7,173368.0,8.9997545E7,2.9999181666666668E7,1024.5317629694714,3.0000237E7,2.9998191E7,9.0169131E7,2.254228275E7,1.491209008505929E7,3.0000764E7,174148.0,0,1,0,0,80,100,0.03333532650806413,0.04166915813508016,0.0,6.0,3.6,3.0983866769659336,9.600000000000001,0,0,0,1,1,0,0,0,1.0,4.0,6.0,1.2,0,0,0,0,0,0,4,24,5,6,-1,16384,4,0,173995.75,472.2869007993657,174497.0,173368.0,2.98242105E7,2333.817259341534,2.9826267E7,2.9821132E7,No Label
131.202.240.87-64.12.104.73-1258-443-6,131.202.240.87,1258,64.12.104.73,443,6,16/04/2015 01:13:23 上午,30052912,1,3,74.0,74.0,74.0,74.0,74.0,0.0,74.0,0.0,24.666666666666664,42.72391992003231,4.92464756826227,0.13309858292600732,1.0017637333333332E7,1.725995269274665E7,2.9947714E7,52561.0,0,0,0,0,0,3.0052912E7,1.5026456E7,2.1176285390550677E7,3.0000351E7,52561.0,0,1,0,0,20,60,0.03327464573150183,0.09982393719450548,0.0,74.0,44.4,40.53146925538229,1642.8,0,0,0,1,1,0,0,0,3.0,55.5,74.0,24.666666666666668,0,0,0,0,0,0,1,74,3,74,-1,16384,1,0,52561.0,0.0,52561.0,52561.0,2.9947714E7,0.0,2.9947714E7,2.9947714E7,No Label
