Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-74.125.226.164-23381-443-6,131.202.240.87,23381,74.125.226.164,443,6,13/04/2015 10:49:46 下午,29317,3,2,517.0,0.0,517.0,0.0,172.33333333333331,298.4900891710365,0.0,0.0,0.0,0.0,17634.819388068358,170.5495105229048,7329.25,12178.344643259197,25412.0,68.0,3813.0,1906.5,2600.0316344229354,3745.0,68.0,25412.0,25412.0,0.0,25412.0,25412.0,0,0,0,0,60,64,102.32970631374288,68.21980420916192,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,0,1,0,0,0,0,0,0,0.0,103.4,172.33333333333334,0.0,0,0,0,0,0,0,3,517,2,0,-1,42900,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.164-23381-443-6,74.125.226.164,443,131.202.240.87,23381,6,13/04/2015 10:49:46 下午,514,2,1,137.0,0.0,137.0,0.0,68.5,96.87362902255701,0.0,0.0,0.0,0.0,266536.96498054476,5836.575875486381,257.0,179.60512242138307,384.0,130.0,130.0,130.0,0.0,130.0,130.0,0,0,0,0,0,0,0,0,0,40,20,3891.050583657587,1945.5252918287936,0.0,137.0,34.25,68.5,4692.25,0,0,0,0,1,0,0,0,0.0,45.666666666666664,68.5,0.0,0,0,0,0,0,0,2,137,1,0,-1,344,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.162-23385-443-6,131.202.240.87,23385,74.125.226.162,443,6,13/04/2015 10:49:55 下午,84858,4,6,182.0,3898.0,182.0,0.0,45.5,90.99999999999999,1350.0,0.0,649.6666666666666,713.8351817238113,48080.32242098564,117.8439275024158,9428.666666666664,11428.279616810221,25559.0,40.0,59217.0,19739.0,6272.559844274107,26540.0,14181.0,70810.0,14162.0,20001.44038563223,44168.0,173.0,0,0,0,0,80,144,47.13757100096632,70.70635650144948,0.0,1350.0,370.9090909090909,600.0015757555066,360001.89090909093,0,1,0,0,0,0,0,0,1.0,408.0,45.5,649.6666666666666,0,0,0,0,0,0,4,182,6,3898,-1,344,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-23388-13000-6,131.202.240.87,23388,131.202.6.26,13000,6,13/04/2015 10:50:55 下午,564379,21,21,11055.0,9499.0,1350.0,0.0,526.4285714285714,509.33854865193257,1350.0,0.0,452.3333333333332,490.25455972722307,36418.789501381165,74.41807721407069,13765.341463414634,46618.43159288489,272519.0,3.0,561510.0,28075.5,89175.28953312004,402208.0,3.0,564379.0,28218.949999999997,65198.13364254419,272519.0,161.0,0,0,0,0,420,444,37.209038607035346,37.209038607035346,0.0,1350.0,478.00000000000017,494.9044159758336,244930.38095238095,0,1,0,0,0,0,0,0,1.0,489.3809523809524,526.4285714285714,452.3333333333333,0,0,0,0,0,0,21,11055,21,9499,-1,32297,16,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-23388-13000-6,131.202.240.87,23388,131.202.6.26,13000,6,13/04/2015 10:50:56 下午,53,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37735.84905660377,53.0,0.0,53.0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18867.924528301886,18867.924528301886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32334,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.188-23379-443-6,74.125.226.188,443,131.202.240.87,23379,6,13/04/2015 10:51:08 下午,83,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,662650.6024096386,24096.385542168675,83.0,0.0,83.0,83.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,12048.192771084337,12048.192771084337,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,352,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.188-23379-443-6,131.202.240.87,23379,74.125.226.188,443,6,13/04/2015 10:51:08 下午,495,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4040.4040404040406,495.0,0.0,495.0,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2020.2020202020203,2020.2020202020203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16459,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.166-23258-443-6,74.125.226.166,443,131.202.240.87,23258,6,13/04/2015 10:51:16 下午,64,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,859375.0,31250.0,64.0,0.0,64.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,15625.0,15625.0,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,647,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.226.166-23258-443-6,131.202.240.87,23258,74.125.226.166,443,6,13/04/2015 10:51:16 下午,14266,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.19346698443854,14266.0,0.0,14266.0,14266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,70.09673349221927,70.09673349221927,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16379,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-209.148.205.35-23345-443-6,131.202.240.87,23345,209.148.205.35,443,6,13/04/2015 10:51:36 下午,23191,0,3,0.0,27.0,0,0,0,0,27.0,0.0,9.0,15.588457268119896,1164.2447501185804,129.3605277909534,11595.5,16268.4057147589,23099.0,92.0,0,0,0,0,0,23191.0,11595.5,16268.4057147589,23099.0,92.0,0,0,0,0,0,60,0.0,129.3605277909534,0.0,27.0,6.75,13.5,182.25,1,0,0,0,1,0,0,0,0.0,9.0,0.0,9.0,0,0,0,0,0,0,0,0,3,27,-1,624,0,0,0,0,0,0,0,0,0,0,No Label
