Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-72.39.249.200-49420-18990-6,10.0.2.15,49420,72.39.249.200,18990,6,15/04/2015 08:35:31 下午,137695,5,7,152.0,79.0,82.0,0.0,30.4,38.76596445337069,71.0,0.0,11.285714285714285,26.499775380898896,1677.6208286430153,87.1491339554813,12517.727272727274,20330.99957744778,46184.0,77.0,91434.0,22858.5,24073.757364953784,45463.0,738.0,134441.0,22406.833333333332,23810.958480638,46184.0,401.0,0,0,0,0,100,156,36.31213914811721,50.8369948073641,0.0,82.0,17.76923076923077,31.134530257560886,969.3589743589743,0,1,0,0,0,0,0,0,1.0,19.25,30.4,11.285714285714286,0,0,0,0,0,0,5,152,7,79,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-24.53.88.18-49419-58491-6,10.0.2.15,49419,24.53.88.18,58491,6,15/04/2015 08:35:31 下午,138401,3,3,102.0,0.0,102.0,0.0,34.0,58.88972745734183,0.0,0.0,0.0,0.0,736.988894588912,43.35228791699482,27680.2,38376.06498457079,80874.0,95.0,57432.0,28716.0,39432.51675964901,56599.0,833.0,82005.0,41002.5,56386.81605215886,80874.0,1131.0,0,0,0,0,60,76,21.67614395849741,21.67614395849741,0.0,102.0,14.571428571428571,38.55237624694117,1486.285714285714,0,1,0,0,0,0,0,0,1.0,17.0,34.0,0.0,0,0,0,0,0,0,3,102,3,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-72.39.249.200-49420-18990-6,72.39.249.200,18990,10.0.2.15,49420,6,15/04/2015 08:35:31 下午,50223,2,1,69.0,0.0,69.0,0.0,34.5,48.79036790187178,0.0,0.0,0.0,0.0,1373.8725285227883,59.73358819664298,25111.5,35508.781230844856,50220.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,40,20,39.82239213109532,19.91119606554766,0.0,69.0,17.25,34.5,1190.25,0,0,0,0,1,0,0,0,0.0,23.0,34.5,0.0,0,0,0,0,0,0,2,69,1,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
204.79.197.213-10.0.2.15-443-49417-6,10.0.2.15,49417,204.79.197.213,443,6,15/04/2015 08:35:29 下午,59022030,11,15,3581.0,6340.0,1461.0,0.0,325.54545454545456,538.9913475439774,1420.0,0.0,422.6666666666666,573.4831753250938,168.08977935865641,0.440513482846998,2360881.2,1.1488074444134815E7,5.7495552E7,3.0,1490617.0,149061.7,298842.91558686073,872139.0,71.0,5.902203E7,4215859.285714285,1.5337094891940515E7,5.7495621E7,3.0,0,0,0,0,220,316,0.18637108889680684,0.2541423939501911,0.0,1461.0,367.44444444444446,544.5374419092094,296521.0256410256,0,1,0,0,0,0,0,0,1.0,381.5769230769231,325.54545454545456,422.6666666666667,0,0,0,0,0,0,11,3581,15,6340,-1,65535,5,0,0,0,0,0,0,0,0,0,No Label
131.253.34.162-10.0.2.15-443-49425-6,10.0.2.15,49425,131.253.34.162,443,6,15/04/2015 08:36:28 下午,379937,8,12,920.0,5938.0,501.0,0.0,115.0,182.4523421139261,1338.0,0.0,494.83333333333337,610.1944300173858,18050.360980899462,52.6403061560206,19996.684210526317,37513.10470881791,92863.0,3.0,202644.0,28949.142857142862,43800.08354036391,93110.0,203.0,379937.0,34539.72727272727,44508.05347370498,92863.0,3.0,0,0,0,0,160,256,21.05612246240824,31.58418369361236,0.0,1338.0,326.5714285714285,506.6174662828525,256661.25714285718,0,1,0,0,0,0,0,0,1.0,342.9,115.0,494.8333333333333,0,0,0,0,0,0,8,920,12,5938,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
131.253.34.162-10.0.2.15-443-49425-6,10.0.2.15,49425,131.253.34.162,443,6,15/04/2015 08:36:29 下午,106,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18867.924528301886,106.0,0.0,106.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,9433.962264150943,9433.962264150943,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.217.253.60-49426-443-6,10.0.2.15,49426,74.217.253.60,443,6,15/04/2015 08:36:29 下午,4645546,7,10,906.0,3455.0,373.0,0.0,129.42857142857142,173.52027464906143,1349.0,0.0,345.5,565.9753135566564,938.7486422478648,3.6594191511611336,290346.625,1079485.246287808,4336454.0,4.0,263085.0,43847.5,44178.8944123775,120991.0,408.0,4645546.0,516171.77777777775,1433135.2486775087,4336535.0,4.0,0,0,0,0,140,216,1.5068196504781137,2.1525995006830194,0.0,1349.0,242.27777777777774,441.78778583435087,195176.44771241827,0,1,0,0,0,0,0,0,1.0,256.52941176470586,129.42857142857142,345.5,0,0,0,0,0,0,7,906,10,3455,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-68.67.152.173-49422-80-6,10.0.2.15,49422,68.67.152.173,80,6,15/04/2015 08:36:28 下午,10104438,3,6,921.0,2148.0,921.0,0.0,307.0,531.7395979236453,1338.0,0.0,358.0,579.1994475135486,303.7279262834806,0.8906977310366,1263054.75,3530246.617593562,9999777.0,2.0,52400.0,26200.0,36655.00132314825,52119.0,281.0,1.0104438E7,2020887.6,4460438.135507688,9999828.0,2.0,0,0,0,0,60,136,0.29689924367886666,0.5937984873577333,0.0,1338.0,306.9,511.2847543199386,261412.09999999998,0,1,0,0,0,0,0,0,2.0,341.0,307.0,358.0,0,0,0,0,0,0,3,921,6,2148,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-68.67.153.95-49423-80-6,10.0.2.15,49423,68.67.153.95,80,6,15/04/2015 08:36:28 下午,10211801,3,6,1512.0,1594.0,1512.0,0.0,504.0,872.9536070147142,1338.0,0.0,265.6666666666667,535.2209512590726,304.15790515306753,0.881333273141535,1276475.125,3524825.557116041,9998854.0,3.0,162404.0,81202.0,114590.89653196714,162230.0,174.0,1.0211801E7,2042360.2,4448334.53333275,9998905.0,3.0,0,0,0,0,60,136,0.293777757713845,0.58755551542769,0.0,1512.0,310.59999999999997,594.1567694360358,353022.26666666666,0,1,0,0,0,0,0,0,2.0,345.1111111111111,504.0,265.6666666666667,0,0,0,0,0,0,3,1512,6,1594,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-68.67.176.50-49424-443-6,10.0.2.15,49424,68.67.176.50,443,6,15/04/2015 08:36:28 下午,10224681,8,12,1507.0,4800.0,836.0,0.0,188.375,302.54819568836587,1338.0,0.0,400.00000000000006,559.0940724226845,616.8407601176017,1.9560512450217273,538141.1052631579,2291302.1079555736,9999606.0,3.0,172165.0,24595.0,27979.667677321213,55064.0,232.0,1.0224681E7,929516.4545454545,3008339.627780559,9999683.0,3.0,0,0,0,0,160,256,0.782420498008691,1.1736307470130363,0.0,1338.0,300.33333333333337,468.4482184119535,219443.7333333333,0,1,0,0,0,0,0,0,1.0,315.35,188.375,400.0,0,0,0,0,0,0,8,1507,12,4800,-1,65535,3,0,0,0,0,0,0,0,0,0,No Label
