Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.123.101-2435-443-6,173.194.123.101,443,131.202.240.87,2435,6,30/03/2015 08:45:30 下午,49,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,1122448.9795918367,40816.32653061225,49.0,0.0,49.0,49.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,20408.163265306124,20408.163265306124,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,390,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.101-2435-443-6,131.202.240.87,2435,173.194.123.101,443,6,30/03/2015 08:45:30 下午,5399,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.4389701796629,5399.0,0.0,5399.0,5399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,185.21948508983144,185.21948508983144,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16514,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.96-2447-443-6,173.194.123.96,443,131.202.240.87,2447,6,30/03/2015 08:46:01 下午,70,1,1,0.0,55.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,0.0,785714.2857142858,28571.428571428572,70.0,0.0,70.0,70.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,14285.714285714286,14285.714285714286,0.0,55.0,36.66666666666667,31.754264805429415,1008.3333333333333,0,0,0,1,1,0,0,0,1.0,55.0,0.0,55.0,0,0,0,0,0,0,1,0,1,55,-1,446,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.123.96-2447-443-6,131.202.240.87,2447,173.194.123.96,443,6,30/03/2015 08:46:01 下午,846,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2364.066193853428,846.0,0.0,846.0,846.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1182.033096926714,1182.033096926714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16315,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-58046-51706-17,131.202.240.87,51706,131.202.240.150,58046,17,30/03/2015 08:44:07 下午,119986054,6271,6274,654196.0,397277.0,165.0,85.0,104.32084197097744,4.588114211551891,105.0,46.0,63.32116671979589,5.290144491012511,8763.293440752706,104.5538175628311,9565.214764030658,7251.056024531468,24323.0,0.0,1.19959517E8,19132.299362041547,4100.973118998262,83385.0,35.0,1.19986054E8,19127.379882034184,3673.7625520088914,30179.0,9.0,0,0,0,0,50168,50192,52.26440732853837,52.28941023429273,46.0,165.0,83.81779053084621,21.09014505275474,444.7942183462352,0,0,0,0,0,0,0,0,1.0,83.82447190115585,104.32084197097751,63.32116671979598,0,0,0,0,0,0,6271,654196,6274,397277,-1,-1,6271,0,0,0,0,0,0,0,0,0,No Label
131.202.240.150-131.202.240.87-43584-51706-17,131.202.240.87,51706,131.202.240.150,43584,17,30/03/2015 08:44:07 下午,119985973,28554,28623,3.0693981E7,3.0681107E7,1182.0,94.0,1074.945051481393,183.4089809647406,1182.0,64.0,1071.9039583551685,186.54238664332374,511518.85895862174,476.53070246802935,2098.5373758220176,5888.331701772824,64024.0,1.0,1.19985896E8,4202.216789829447,11039.979940192692,158986.0,28.0,1.19985624E8,4192.076863950803,10578.849710958559,76840.0,7.0,0,0,0,0,228432,228984,237.97781762373174,238.55288484429758,64.0,1182.0,1073.4240791913046,184.98753009440222,34220.38629042737,0,0,0,0,0,0,0,0,1.0,1073.442852895395,1074.9450514814037,1071.903958355169,0,0,0,0,0,0,28554,30693981,28623,30681107,-1,-1,28554,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-51706-443-17,131.202.240.87,51706,173.252.79.80,443,17,30/03/2015 08:44:08 下午,119489409,111,1,2220.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,18.746431325976346,0.9373215662988174,1076481.1621621617,639812.0471346328,1654467.0,98695.0,1.17890441E8,1071731.2818181824,640771.2230877416,1654467.0,98695.0,0,0,0,0,0,0,0,0,0,888,8,0.9289526237425779,0.00836894255623944,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.178571428571427,20.0,20.0,0,0,0,0,0,0,111,2220,1,20,-1,-1,111,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-51706-3478-17,131.202.240.87,51706,173.252.79.80,3478,17,30/03/2015 08:44:08 下午,119479942,111,1,2220.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,18.747916700528698,0.9373958350264349,1076395.873873874,639700.6204761881,1655635.0,99726.0,1.17881439E8,1071649.4454545458,640661.8082422512,1655635.0,99726.0,0,0,0,0,0,0,0,0,0,888,8,0.929026229356556,0.008369605669878882,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.178571428571427,20.0,20.0,0,0,0,0,0,0,111,2220,1,20,-1,-1,111,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.80-3478-51706-17,173.252.79.80,51706,131.202.240.87,3478,17,30/03/2015 08:44:09 下午,119479478,110,1,2200.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,18.580596744823406,0.9290298372411704,1086177.0727272725,635382.6232685528,1654643.0,98978.0,1.17881098E8,1081477.963302752,636394.2753573232,1654643.0,98978.0,0,0,0,0,0,0,0,0,0,880,8,0.9206601990678265,0.008369638173343878,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,20.18018018018018,20.0,20.0,0,0,0,0,0,0,110,2200,1,20,-1,-1,110,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-131.202.6.26-2454-13000-6,131.202.240.87,2454,131.202.6.26,13000,6,30/03/2015 08:45:43 下午,29168202,19,21,4556.0,11642.0,1035.0,0.0,239.78947368421046,267.5596670625012,1350.0,0.0,554.3809523809524,489.15718089285747,555.3307673884046,1.3713563832285582,747902.6153846154,3813861.051199404,2.3682721E7,15.0,2.9165979E7,1620332.1666666665,5575821.403812528,2.3682721E7,473.0,5346450.0,267322.49999999994,829322.425095616,3289190.0,40.0,0,0,0,0,380,444,0.6513942820335652,0.719962101194993,0.0,1350.0,395.07317073170736,424.8903029161705,180531.76951219514,0,1,0,0,0,0,0,0,1.0,404.95,239.78947368421052,554.3809523809524,0,0,0,0,0,0,19,4556,21,11642,-1,32768,11,0,0,0,0,0,0,0,0,0,No Label
