Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.76.127-2652-19305-6,131.202.240.87,2652,173.194.76.127,19305,6,30/03/2015 10:19:04 下午,39800,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.62814070351759,9950.0,19252.728447330956,38825.0,80.0,895.0,447.5,474.4686501761734,783.0,112.0,38825.0,38825.0,0.0,38825.0,38825.0,0,0,0,0,60,64,75.37688442211055,50.25125628140703,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,2,0,-1,42900,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.76.127-2654-443-6,131.202.240.87,2654,173.194.76.127,443,6,30/03/2015 10:19:04 下午,47154,3,2,72.0,0.0,72.0,0.0,24.0,41.569219381653056,0.0,0.0,0.0,0.0,1526.9118208423463,106.03554311405183,11788.5,18619.333974840956,39178.0,41.0,7935.0,3967.5,5432.701399856244,7809.0,126.0,39178.0,39178.0,0.0,39178.0,39178.0,0,0,0,0,60,64,63.62132586843109,42.41421724562073,0.0,72.0,12.0,29.393876913398138,864.0,0,1,0,0,0,0,0,0,0.0,14.4,24.0,0.0,0,0,0,0,0,0,3,72,2,0,-1,42900,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.76.127-2652-19305-6,173.194.76.127,19305,131.202.240.87,2652,6,30/03/2015 10:19:04 下午,2510,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.8127490039841,2510.0,0.0,2510.0,2510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,398.40637450199205,398.40637450199205,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,336,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.76.127-2654-443-6,173.194.76.127,443,131.202.240.87,2654,6,30/03/2015 10:19:04 下午,57,2,1,79.0,0.0,79.0,0.0,39.5,55.86143571373726,0.0,0.0,0.0,0.0,1385964.9122807016,52631.57894736842,28.5,7.7781745930520225,34.0,23.0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,0,0,0,0,0,40,20,35087.71929824561,17543.859649122805,0.0,79.0,19.75,39.5,1560.2499999999998,0,0,0,0,1,0,0,0,0.0,26.333333333333332,39.5,0.0,0,0,0,0,0,0,2,79,1,0,-1,336,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-216.58.221.3-2649-443-6,131.202.240.87,2649,216.58.221.3,443,6,30/03/2015 10:19:03 下午,10171891,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3932405488812257,3390630.3333333335,5725831.662262639,1.0001521E7,87.0,1.0001521E7,1.0001521E7,0.0,1.0001521E7,1.0001521E7,170283.0,170283.0,0.0,170283.0,170283.0,0,0,0,0,40,64,0.19662027444061286,0.19662027444061286,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,42900,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-216.58.221.3-2646-443-6,131.202.240.87,2646,216.58.221.3,443,6,30/03/2015 10:19:02 下午,10344287,5,6,717.0,227.0,517.0,0.0,143.4,226.0924589631419,145.0,0.0,37.833333333333336,56.38587293521904,91.25810217755946,1.0633889024927479,1034428.7,3093288.683774602,9835260.0,29.0,1.01763E7,2544075.0,4861420.889426122,9835260.0,2944.0,508998.0,101799.6,92462.59443580415,170049.0,59.0,0,0,0,0,100,144,0.4833585920421582,0.5800303104505898,0.0,517.0,78.66666666666667,153.00406015607044,23410.242424242424,0,1,0,0,0,0,0,0,1.0,85.81818181818181,143.4,37.833333333333336,0,0,0,0,0,0,5,717,6,227,-1,352,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-216.58.221.3-2647-443-6,131.202.240.87,2647,216.58.221.3,443,6,30/03/2015 10:19:02 下午,20342988,5,6,717.0,227.0,517.0,0.0,143.4,226.0924589631419,145.0,0.0,37.833333333333336,56.38587293521904,46.40419588312199,0.5407268588075655,2034298.7999999998,6252967.021391112,1.9829155E7,15.0,2.0175016E7,5043754.0,9857229.682919538,1.9829155E7,7317.0,513805.0,102761.0,93809.3459976137,174883.0,15.0,0,0,0,0,100,144,0.24578493582162073,0.29494192298594485,0.0,517.0,78.66666666666667,153.00406015607044,23410.242424242424,0,1,0,0,0,0,0,0,1.0,85.81818181818181,143.4,37.833333333333336,0,0,0,0,0,0,5,717,6,227,-1,352,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.204.189-2579-443-6,173.194.204.189,443,131.202.240.87,2579,6,30/03/2015 10:18:27 下午,101424268,37,30,12857.0,2305.0,1350.0,0.0,347.48648648648646,390.22683016289255,544.0,0.0,76.83333333333334,154.5351390312323,149.49084966528918,0.6605914079655966,1536731.3333333333,5218922.880426151,2.7499616E7,11.0,1.01225143E8,2811809.527777778,6862872.8652826445,2.754963E7,12.0,1.01424268E8,3497388.5517241377,7528099.297379592,2.7549922E7,129.0,0,1,0,0,740,600,0.3648042103690608,0.29578719759653577,0.0,1350.0,229.41176470588232,333.06084941308353,110929.5294117647,0,0,0,1,1,0,0,0,0.0,232.83582089552237,347.4864864864865,76.83333333333333,0,0,0,0,0,0,37,12857,30,2305,-1,16254,29,0,4409259.0,5034293.458498223,8871781.0,50014.0,2.09342315E7,6600258.958245275,2.7499616E7,1.2516258E7,No Label
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,6,30/03/2015 10:18:26 下午,118910682,321,594,53206.0,116021.0,8736.0,0.0,165.7507788161994,567.141996280212,1350.0,0.0,195.3215488215486,353.779891709094,1423.1438013281263,7.694851165684173,130099.21444201321,1049258.1008248234,2.0603886E7,3.0,1.18820158E8,371312.99375000014,1762240.6830981683,2.0719182E7,28.0,1.18910682E8,200523.91568296799,1300176.2596855874,2.0603886E7,3.0,0,1,0,0,6420,11880,2.6995051630433,4.995346002640873,0.0,8736.0,184.99999999999974,440.23409818207625,193806.06120218596,0,0,0,1,1,0,0,0,1.0,185.20218579234972,165.7507788161994,195.32154882154882,0,0,0,0,0,0,321,53206,594,116021,-1,6080,158,0,3602352.3333333335,4232813.33710902,1.1012754E7,261935.0,9457298.111111112,4491674.690415408,2.0603886E7,5185011.0,No Label
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,6,30/03/2015 10:18:38 下午,60171788,7,18,2257.0,3646.0,2181.0,0.0,322.42857142857144,819.7487129486403,3001.0,0.0,202.5555555555556,700.8081236285656,98.10245293026692,0.41547710033147095,2507157.8333333335,1.2232217821076507E7,5.9935578E7,6.0,6.005841E7,1.0009735E7,2.449084859312096E7,6.0001451E7,45.0,6.0171788E7,3539516.9411764704,1.4539763762091478E7,5.9962021E7,6.0,0,1,0,0,140,360,0.11633358809281187,0.2991435122386591,0.0,3001.0,342.46153846153845,890.03672871491,792165.3784615383,0,0,0,1,1,0,0,0,2.0,356.16,322.42857142857144,202.55555555555554,0,0,0,0,0,0,7,2257,18,3646,-1,1373,3,0,115568.0,0.0,115568.0,115568.0,5.9935578E7,0.0,5.9935578E7,5.9935578E7,No Label
