Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-209.148.205.34-1685-80-6,131.202.240.86,1685,209.148.205.34,80,6,01/04/2015 12:57:56 上午,1654891,11,18,629.0,18934.0,366.0,0.0,57.181818181818166,129.28945678733297,1350.0,0.0,1051.888888888889,543.6308099402938,11821.322371080634,17.523812746579686,59103.25000000002,255259.66914854388,1347122.0,12.0,1631690.0,163169.0,421811.9670461393,1347122.0,91.0,1654891.0,97346.52941176473,379914.0323078232,1571108.0,114.0,0,0,0,0,220,384,6.646963455599191,10.876849290980495,0.0,1350.0,652.0999999999999,653.5484758951148,427125.6103448276,0,1,0,0,0,0,0,0,1.0,674.5862068965517,57.18181818181818,1051.888888888889,0,0,0,0,0,0,11,629,18,18934,-1,524,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-209.148.205.34-1685-80-6,131.202.240.86,1685,209.148.205.34,80,6,01/04/2015 12:57:58 上午,5098,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.31071008238524,5098.0,0.0,5098.0,5098.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,196.15535504119262,196.15535504119262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-209.148.205.34-1687-80-6,131.202.240.86,1687,209.148.205.34,80,6,01/04/2015 12:57:59 上午,4936507,37,73,723.0,92106.0,460.0,0.0,19.540540540540544,86.06218507393187,1350.0,0.0,1261.7260273972602,315.29440652410585,18804.591991867936,22.28296242667133,45289.055045871566,405082.56636462716,4220016.0,1.0,4913931.0,136498.08333333337,702748.8177558739,4220016.0,78.0,4936507.0,68562.59722222222,502917.67833646754,4246821.0,1.0,0,0,0,0,752,1484,7.495178270789447,14.787784155881882,0.0,1350.0,836.2972972972975,646.7978832061076,418347.50171990163,0,1,0,0,0,0,0,0,1.0,843.9,19.54054054054054,1261.7260273972602,0,0,0,0,0,0,37,723,73,92106,-1,524,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-209.148.205.34-1687-80-6,131.202.240.86,1687,209.148.205.34,80,6,01/04/2015 12:58:04 上午,5005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.6003996003996,5005.0,0.0,5005.0,5005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,199.8001998001998,199.8001998001998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-178.255.83.1-1689-80-6,131.202.240.86,1689,178.255.83.1,80,6,01/04/2015 12:58:06 上午,100797,2,5,232.0,874.0,232.0,0.0,116.0,164.04877323527901,874.0,0.0,174.8,390.86468246696325,10972.548786174191,69.44651130489994,16799.5,25551.880382860283,50348.0,1.0,173.0,173.0,0.0,173.0,173.0,100797.0,25199.25,28541.38709984736,50606.0,1.0,0,0,0,0,40,124,19.841860372828556,49.604650932071394,0.0,874.0,138.25,308.17330467496,94970.78571428572,0,1,0,0,0,0,0,0,2.0,158.0,116.0,174.8,0,0,0,0,0,0,2,232,5,874,-1,31,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-178.255.83.1-1689-80-6,131.202.240.86,1689,178.255.83.1,80,6,01/04/2015 12:58:06 上午,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105263.15789473684,19.0,0.0,19.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,52631.57894736842,52631.57894736842,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-178.255.83.1-1690-80-6,131.202.240.86,1690,178.255.83.1,80,6,01/04/2015 12:58:11 上午,103188,2,5,233.0,874.0,233.0,0.0,116.5,164.75588001646557,874.0,0.0,174.8,390.86468246696325,10727.991626933364,67.83734542776291,17198.0,26234.896691239323,51667.0,1.0,107.0,107.0,0.0,107.0,107.0,103188.0,25797.000000000004,29284.931142142028,51667.0,1.0,0,0,0,0,40,124,19.382098693646547,48.45524673411637,0.0,874.0,138.375,308.21696323948726,94997.69642857143,0,1,0,0,0,0,0,0,2.0,158.14285714285714,116.5,174.8,0,0,0,0,0,0,2,233,5,874,-1,31,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-178.255.83.1-1690-80-6,131.202.240.86,1690,178.255.83.1,80,6,01/04/2015 12:58:11 上午,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,37037.03703703704,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,254,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-68.67.152.196-1686-443-6,131.202.240.86,1686,68.67.152.196,443,6,01/04/2015 12:57:58 上午,13225780,11,10,1230.0,4397.0,677.0,0.0,111.81818181818183,220.6766041889435,1350.0,0.0,439.7,566.6449113470935,425.45694847487255,1.5878080536648878,661289.0,2296076.684469012,9995155.0,24.0,231003.0,23100.3,28845.737343670036,59016.0,149.0,1.322578E7,1469531.111111111,3350619.126482315,9995179.0,154.0,0,0,0,0,232,224,0.8317089804911317,0.7560990731737561,0.0,1350.0,255.77272727272728,436.89509820988707,190877.32683982686,0,1,0,0,0,0,0,0,0.0,267.95238095238096,111.81818181818181,439.7,0,0,0,0,0,0,11,1230,10,4397,-1,42,3,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-173.252.100.27-1645-443-6,173.252.100.27,443,131.202.240.86,1645,6,01/04/2015 12:58:18 上午,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,64,0,0,0,0,0,0,0,0,0,0,No Label
