Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.252.100.27-2504-443-6,173.252.100.27,443,131.202.240.87,2504,6,30/03/2015 09:30:05 下午,219,2,2,31.0,45.0,31.0,0.0,15.5,21.920310216782973,45.0,0.0,22.5,31.81980515339464,347031.96347031964,18264.8401826484,73.0,35.156791662493895,113.0,47.0,172.0,172.0,0.0,172.0,172.0,106.0,106.0,0.0,106.0,106.0,0,1,0,0,40,40,9132.4200913242,9132.4200913242,0.0,45.0,24.2,22.81885185542866,520.7,0,0,0,1,1,0,0,0,1.0,30.25,15.5,22.5,0,0,0,0,0,0,2,31,2,45,-1,16507,1,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2504-443-6,131.202.240.87,2504,173.252.100.27,443,6,30/03/2015 09:30:05 下午,15738,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.08095056551024,15738.0,0.0,15738.0,15738.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,63.54047528275512,63.54047528275512,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16507,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.84-2518-3478-6,131.202.240.87,2518,173.252.79.84,3478,6,30/03/2015 09:30:53 下午,30247463,19,15,1424.0,576.0,140.0,0.0,74.94736842105262,70.2989439498762,104.0,0.0,38.4,29.15181935023218,66.12124792085868,1.1240612146545976,916589.7878787878,5200696.105665908,2.9886613E7,6.0,3.0166913E7,1675939.611111111,7040524.294234052,2.9886613E7,36.0,325904.0,23278.857142857145,38019.56310973267,82890.0,9.0,0,0,0,0,380,324,0.6281518552481575,0.49590935940644015,0.0,140.0,57.14285714285715,58.26165263762458,3394.420168067227,0,1,0,0,0,0,0,0,0.0,58.8235294117647,74.94736842105263,38.4,0,0,0,0,0,0,19,1424,15,576,-1,29,11,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.84-2521-3478-6,131.202.240.87,2521,173.252.79.84,3478,6,30/03/2015 09:30:53 下午,30246935,19,14,1424.0,576.0,140.0,0.0,74.94736842105262,70.2989439498762,104.0,0.0,41.142857142857146,28.172155218767514,66.12240215413561,1.0910196355432378,945216.71875,5281458.845089515,2.9887654E7,6.0,3.0167072E7,1675948.4444444443,7040781.693813017,2.9887654E7,26.0,327283.0,25175.615384615383,38824.78615210147,83008.0,10.0,0,0,0,0,380,304,0.6281628204642884,0.4628568150789493,0.0,140.0,58.823529411764724,58.27025364534677,3395.4224598930487,0,1,0,0,0,0,0,0,0.0,60.60606060606061,74.94736842105263,41.142857142857146,0,0,0,0,0,0,19,1424,14,576,-1,29,11,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.84-2520-443-6,131.202.240.87,2520,173.252.79.84,443,6,30/03/2015 09:30:53 下午,30248955,14,19,2544.0,928.0,1120.0,0.0,181.7142857142857,400.5187844574792,176.0,0.0,48.8421052631579,39.02316001484067,114.78082465989321,1.0909467781614275,945279.84375,5252989.419313958,2.9731612E7,7.0,3.0169155E7,2320704.2307692305,8236028.353672672,2.9731612E7,36.0,489181.0,27176.72222222223,39188.48000115153,84411.0,9.0,0,0,0,0,280,404,0.46282590588666617,0.6281208722747612,0.0,1120.0,102.11764705882352,262.0353624881495,68662.5311942959,0,1,0,0,0,0,0,0,1.0,105.21212121212122,181.71428571428572,48.8421052631579,0,0,0,0,0,0,14,2544,19,928,-1,38,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.79.84-2523-443-6,131.202.240.87,2523,173.252.79.84,443,6,30/03/2015 09:30:53 下午,30262662,15,22,2544.0,928.0,1120.0,0.0,169.6,388.7909463966464,104.0,0.0,42.18181818181819,22.210328707578853,114.7288364784301,1.2226287297528553,840629.4999999999,4957994.985031945,2.9761789E7,7.0,3.0182384E7,2155884.5714285714,7945615.299909937,2.9761789E7,27.0,500859.0,23850.428571428572,38704.16766909144,94895.0,8.0,0,0,0,0,300,464,0.4956602958457521,0.7269684339071031,0.0,1120.0,91.36842105263158,248.23445990419222,61620.34708392601,0,1,0,0,0,0,0,0,1.0,93.83783783783784,169.6,42.18181818181818,0,0,0,0,0,0,15,2544,22,928,-1,38,5,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2527-443-6,131.202.240.87,2527,173.252.100.27,443,6,30/03/2015 09:31:06 下午,65559470,7,11,1165.0,909.0,532.0,0.0,166.42857142857142,248.2873719052563,476.0,0.0,82.63636363636364,140.77377080072318,31.635399126930096,0.27455987670431137,3856439.411764706,1.5350799586621214E7,6.3410157E7,16.0,6.5419927E7,1.0903321166666668E7,2.572951338685439E7,6.341024E7,776.0,6.555947E7,6555947.0,1.9999520200246193E7,6.3461033E7,46.0,0,0,0,0,140,244,0.10677328538500996,0.16778659131930138,0.0,532.0,109.1578947368421,184.18959530207957,33925.807017543855,0,1,0,0,0,0,0,0,1.0,115.22222222222223,166.42857142857142,82.63636363636364,0,0,0,0,0,0,7,1165,11,909,-1,64,3,0,2149214.0,0.0,2149214.0,2149214.0,6.3410157E7,0.0,6.3410157E7,6.3410157E7,No Label
131.202.240.87-173.252.100.27-2527-443-6,131.202.240.87,2527,173.252.100.27,443,6,30/03/2015 09:32:12 下午,518,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3861.003861003861,518.0,0.0,518.0,518.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1930.5019305019305,1930.5019305019305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16310,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.252.100.27-2309-443-6,173.252.100.27,443,131.202.240.87,2309,6,30/03/2015 09:30:00 下午,110943165,246,174,88427.0,22127.0,1350.0,0.0,359.4593495934958,511.8138656139333,3295.0,0.0,127.16666666666673,357.23291220791396,996.4922129272228,3.7857221758546373,264780.8233890215,1521232.322424582,1.9873646E7,3.0,1.10942775E8,452827.65306122403,1992734.2768459278,1.9873681E7,3.0,1.10943165E8,641289.971098266,2322169.904415424,1.9916147E7,15.0,0,1,0,0,4956,3780,2.21735156014343,1.5683706157112067,0.0,3295.0,262.73396674584325,467.5105249751718,218566.09096256073,0,0,0,1,1,0,0,0,0.0,263.3595238095238,359.4593495934959,127.16666666666667,0,0,0,0,0,0,246,88427,174,22127,-1,16495,220,0,7744099.0,1.002982692798152E7,2.5477054E7,202344.0,1.0722555333333334E7,5511148.858929385,1.9873646E7,5012443.0,No Label
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,6,30/03/2015 09:30:24 下午,103028000,4,6,27.0,26.0,25.0,0.0,6.750000000000001,12.175795661885921,25.0,0.0,4.333333333333334,10.132456102380443,0.514423263578833,0.09706099312808168,1.1447555555555554E7,1.9468074293930426E7,4.5000602E7,400.0,5.7950287E7,1.9316762333333336E7,2.3108481802262053E7,4.4953103E7,88798.0,1.03028E8,2.06056E7,2.291840878581241E7,4.5042114E7,400.0,0,0,0,0,80,156,0.03882439725123267,0.058236595876849005,0.0,25.0,4.909090909090909,9.94439083558712,98.89090909090909,0,0,0,0,1,0,0,0,1.0,5.4,6.75,4.333333333333333,0,0,0,0,0,0,4,27,6,26,-1,361,3,0,55292.33333333333,29019.892769156355,88798.0,38113.0,3.4274375E7,1.8537250010526616E7,4.5000602E7,1.286942E7,No Label
