Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,6,30/03/2015 10:01:17 下午,116900488,394,689,68852.0,123841.0,1321.0,0.0,174.75126903553289,352.7362313641181,1350.0,0.0,179.74020319303358,328.6893026829659,1648.3506895197906,9.264289812032265,108041.11645101671,785981.0750871936,1.1949521E7,4.0,1.16810437E8,297227.5750636129,1293776.3255949542,1.2015139E7,27.0,1.16900488E8,169913.49999999985,984556.2006888046,1.1974707E7,4.0,0,1,0,0,7880,13780,3.3703879833247576,5.893901828707508,0.0,1350.0,178.16881918819166,337.42180121540235,113853.47193544649,0,0,0,1,1,0,0,0,1.0,178.33333333333334,174.751269035533,179.74020319303338,0,0,0,0,0,0,394,68852,689,123841,-1,6080,199,0,4208842.0,6263148.127840264,1.9659414E7,157580.0,7817367.888888889,2266212.337740191,1.1949521E7,5404425.0,No Label
131.202.240.87-173.194.123.110-0-0-0,131.202.240.87,0,173.194.123.110,0,0,30/03/2015 10:01:20 下午,118590473,48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131866478009578,2470634.8541666674,3785544.786371194,1.2101928E7,45.0,1.18590353E8,2523199.0,3808723.1523133153,1.2101928E7,45.0,0,0,0,0,0,0,0,0,0,0,0,0.40475426723359137,0.008432380567366487,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,48,0,1,0,-1,-1,0,0,3417164.0,2622142.183349332,7223372.0,520.0,8917044.454545455,2095380.5112412097,1.2101928E7,5416218.0,No Label
131.202.240.87-173.194.204.189-2579-443-6,173.194.204.189,443,131.202.240.87,2579,6,30/03/2015 10:01:17 下午,113220326,49,39,15204.0,3018.0,1350.0,0.0,310.2857142857144,390.6122864597751,543.0,0.0,77.38461538461537,142.82168038734162,160.94283282667814,0.7772455981093006,1301383.0574712642,5002955.858854218,2.9113651E7,14.0,1.12995607E8,2354075.1458333335,6586423.482468654,2.9163763E7,35.0,1.13220326E8,2979482.263157895,7306829.400472017,2.9163453E7,352.0,0,1,0,0,980,780,0.43278448076540604,0.3444611173438946,0.0,1350.0,209.66292134831457,325.6031446624802,106017.407814096,0,0,0,1,1,0,0,0,0.0,212.04545454545453,310.2857142857143,77.38461538461539,0,0,0,0,0,0,49,15204,39,3018,-1,16277,37,0,3143654.8,4242423.306356369,9057118.0,50112.0,1.949045E7,9526559.053991767,2.9113651E7,6477557.0,No Label
131.202.240.87-74.125.198.94-2621-443-6,131.202.240.87,2621,74.125.198.94,443,6,30/03/2015 10:01:38 下午,1939781,32,49,5158.0,1532.0,1036.0,0.0,161.1875,273.91609705493113,180.0,0.0,31.265306122448983,34.02375120792096,3448.842936393335,41.75729115812558,24247.2625,56945.88249920942,447580.0,6.0,1830041.0,59033.58064516129,104574.43781625098,541049.0,27.0,1939781.0,40412.10416666667,81273.99259642277,502060.0,9.0,0,0,0,0,640,1004,16.49670761802492,25.26058354010066,0.0,1036.0,81.58536585365852,183.08042833680489,33518.443239987944,0,1,0,0,0,0,0,0,1.0,82.5925925925926,161.1875,31.26530612244898,0,0,0,0,0,0,32,5158,49,1532,-1,450,19,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-173.194.76.127-59216-19305-17,131.202.240.87,59216,173.194.76.127,19305,17,30/03/2015 10:01:39 下午,119997378,6997,2943,1064883.0,550519.0,1178.0,22.0,152.19136772902607,182.40160640845343,385.0,22.0,187.06048250084936,121.18540558537379,13461.977477541217,82.83514328121403,12073.385451252645,7544.741699392966,62496.0,7.0,1.19948287E8,17145.266866781083,7076.881601875985,209009.0,33.0,1.19992498E8,40786.02923181505,24569.982972870435,139508.0,7.0,0,0,0,0,55976,23544,58.30960739825499,24.525535882959044,22.0,1178.0,162.51021024041827,167.38209166162432,28016.764609020407,0,0,0,0,0,0,0,0,0.0,162.52655935613683,152.19136772902672,187.06048250084947,0,0,0,0,0,0,6997,1064883,2943,550519,-1,-1,6997,0,0,0,0,0,0,0,0,0,No Label
131.202.240.87-74.125.22.188-2295-5228-6,131.202.240.87,2295,74.125.22.188,5228,6,30/03/2015 10:01:37 下午,90113005,2,4,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.033291532115702946,0.06658306423140589,1.8022601E7,2.4624224592123535E7,4.4998408E7,38652.0,4.503695E7,4.503695E7,0.0,4.503695E7,4.503695E7,9.0113005E7,3.0037668333333332E7,2.5979910345409397E7,4.5039591E7,38652.0,0,0,0,0,40,116,0.022194354743801964,0.04438870948760393,0.0,1.0,0.5714285714285714,0.5345224838248487,0.28571428571428564,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,1.0,0.25,0,0,0,0,0,0,2,2,4,1,-1,361,2,0,39917.5,1789.6872631831518,41183.0,38652.0,4.49970875E7,1867.469009113672,4.4998408E7,4.4995767E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,30/03/2015 10:01:35 下午,86502782,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04624128736113944,2.8834260666666664E7,4.993926513787239E7,8.6499157E7,1000.0,8.6501782E7,4.3250891E7,6.11622843263192E7,8.6499157E7,2625.0,0,0,0,0,0,0,0,0,0,0,0,0.03468096552085458,0.01156032184028486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,1000.0,0.0,1000.0,1000.0,8.6499157E7,0.0,8.6499157E7,8.6499157E7,No Label
131.202.240.87-216.58.219.238-2611-443-6,131.202.240.87,2611,216.58.219.238,443,6,30/03/2015 10:01:38 下午,60105252,7,17,1023.0,12537.0,947.0,0.0,146.14285714285714,353.59884453592724,11923.0,0.0,737.470588235294,2883.009779675727,225.60424503336247,0.399299548731615,2613271.8260869565,1.2481306695674548E7,5.9868911E7,5.0,5.9983704E7,9997284.0,2.4464394127277642E7,5.9935005E7,45.0,6.0105252E7,3756578.25,1.4970137656174555E7,5.9894529E7,5.0,0,1,0,0,140,340,0.11646236838005437,0.28283718035156064,0.0,11923.0,1019.3199999999998,3287.0699302976,1.0804828726666668E7,0,0,0,1,1,0,0,0,2.0,1061.7916666666667,146.14285714285714,737.4705882352941,0,0,0,0,0,0,7,1023,17,12537,-1,1305,3,0,123693.0,0.0,123693.0,123693.0,5.9868911E7,0.0,5.9868911E7,5.9868911E7,No Label
131.202.240.87-173.194.123.117-2565-443-6,131.202.240.87,2565,173.194.123.117,443,6,30/03/2015 10:01:30 下午,71172980,7,13,1170.0,2735.0,1094.0,0.0,167.14285714285717,409.09796242115755,1230.0,0.0,210.38461538461542,383.8792211233325,54.86632708086693,0.28100551641929283,3745946.3157894737,1.6033907131899638E7,6.9953715E7,8.0,7.1032138E7,1.1838689666666666E7,2.8503527562457595E7,7.001823E7,795.0,7.117298E7,5931081.666666667,2.017119927206815E7,6.9978937E7,28.0,0,1,0,0,140,260,0.0983519307467525,0.18265358567254034,0.0,1230.0,205.33333333333331,375.74836437878656,141186.83333333334,0,0,0,1,1,0,0,0,1.0,215.6,167.14285714285714,210.3846153846154,0,0,0,0,0,0,7,1170,13,2735,-1,1233,3,0,913584.0,0.0,913584.0,913584.0,6.9953715E7,0.0,6.9953715E7,6.9953715E7,No Label
131.202.240.87-173.194.123.110-2536-443-6,131.202.240.87,2536,173.194.123.110,443,6,30/03/2015 10:03:19 下午,115562942,260,455,44097.0,46505.0,1319.0,0.0,169.60384615384612,348.62507765907316,983.0,0.0,102.20879120879128,175.242997841821,784.0056546846998,6.187104513140553,161852.85994397744,975905.8980006427,9778500.0,4.0,1.15472842E8,445841.0888030887,1596587.1159725385,9845131.0,33.0,1.15562942E8,254543.92511013182,1219167.868118071,9803761.0,4.0,0,1,0,0,5200,9100,2.2498561865965647,3.937248326543988,0.0,1319.0,126.86173184357557,254.15009967117973,64592.27316287059,0,0,0,1,1,0,0,0,1.0,127.03916083916084,169.60384615384615,102.20879120879121,0,0,0,0,0,0,260,44097,455,46505,-1,6080,137,0,4082864.4444444445,6042335.177013646,1.6122031E7,221759.0,8005753.666666666,1719689.1385075967,9778500.0,5049791.0,No Label
