Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-74.125.226.183-49470-443-6,10.0.2.15,49470,74.125.226.183,443,6,15/04/2015 01:47:34 上午,14999819,0,4,0.0,56.0,0,0,0,0,55.0,0.0,14.0,27.337398071750233,3.7333783827658187,0.2666698844832728,4999939.666666666,8659932.165935732,1.4999568E7,3.0,0,0,0,0,0,1.4999819E7,4999939.666666666,8659932.165935732,1.4999568E7,3.0,0,0,0,0,0,80,0.0,0.2666698844832728,0.0,55.0,11.4,24.378269011560274,594.3,0,0,0,0,1,0,0,0,0.0,14.25,0.0,14.0,0,0,0,0,0,0,0,0,4,56,-1,65535,0,0,248.0,0.0,248.0,248.0,1.4999568E7,0.0,1.4999568E7,1.4999568E7,No Label
10.0.2.15-74.125.226.183-49470-443-6,10.0.2.15,49470,74.125.226.183,443,6,15/04/2015 01:47:49 上午,204,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9803.921568627451,204.0,0.0,204.0,204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4901.9607843137255,4901.9607843137255,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64185,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.226.76-49467-443-6,10.0.2.15,49467,74.125.226.76,443,6,15/04/2015 01:47:37 上午,14999104,0,4,0.0,56.0,0,0,0,0,55.0,0.0,14.0,27.337398071750233,3.733556351099372,0.266682596507098,4999701.333333334,8659631.943088477,1.4998983E7,8.0,0,0,0,0,0,1.4999104E7,4999701.333333334,8659631.943088477,1.4998983E7,8.0,0,0,0,0,0,80,0.0,0.266682596507098,0.0,55.0,11.4,24.378269011560274,594.3,0,0,0,0,1,0,0,0,0.0,14.25,0.0,14.0,0,0,0,0,0,0,0,0,4,56,-1,65535,0,0,113.0,0.0,113.0,113.0,1.4998983E7,0.0,1.4998983E7,1.4998983E7,No Label
10.0.2.15-74.125.226.76-49467-443-6,10.0.2.15,49467,74.125.226.76,443,6,15/04/2015 01:47:52 上午,472,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4237.28813559322,472.0,0.0,472.0,472.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2118.64406779661,2118.64406779661,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64185,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.226.167-49426-443-6,10.0.2.15,49426,74.125.226.167,443,6,15/04/2015 01:47:38 上午,14991791,0,4,0.0,56.0,0,0,0,0,55.0,0.0,14.0,27.337398071750233,3.735377580970813,0.26681268435505806,4997263.666666666,8655302.394058242,1.4991546E7,5.0,0,0,0,0,0,1.4991791E7,4997263.666666666,8655302.394058242,1.4991546E7,5.0,0,0,0,0,0,80,0.0,0.26681268435505806,0.0,55.0,11.4,24.378269011560274,594.3,0,0,0,0,1,0,0,0,0.0,14.25,0.0,14.0,0,0,0,0,0,0,0,0,4,56,-1,65535,0,0,240.0,0.0,240.0,240.0,1.4991546E7,0.0,1.4991546E7,1.4991546E7,No Label
10.0.2.15-74.125.226.167-49426-443-6,10.0.2.15,49426,74.125.226.167,443,6,15/04/2015 01:47:53 上午,413,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4842.6150121065375,413.0,0.0,413.0,413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2421.3075060532688,2421.3075060532688,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63192,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.123-10.0.2.15-443-49475-6,10.0.2.15,49475,173.194.123.123,443,6,15/04/2015 01:47:42 上午,14991913,0,4,0.0,56.0,0,0,0,0,55.0,0.0,14.0,27.337398071750233,3.735347183511537,0.26681051310796694,4997304.333333334,8655396.21331631,1.4991695E7,4.0,0,0,0,0,0,1.4991913E7,4997304.333333334,8655396.21331631,1.4991695E7,4.0,0,0,0,0,0,80,0.0,0.26681051310796694,0.0,55.0,11.4,24.378269011560274,594.3,0,0,0,0,1,0,0,0,0.0,14.25,0.0,14.0,0,0,0,0,0,0,0,0,4,56,-1,65535,0,0,214.0,0.0,214.0,214.0,1.4991695E7,0.0,1.4991695E7,1.4991695E7,No Label
173.194.123.123-10.0.2.15-443-49475-6,10.0.2.15,49475,173.194.123.123,443,6,15/04/2015 01:47:57 上午,391,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5115.089514066496,391.0,0.0,391.0,391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2557.544757033248,2557.544757033248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63606,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-65.52.103.247-49483-443-6,10.0.2.15,49483,65.52.103.247,443,6,15/04/2015 01:49:12 上午,452257,6,13,3676.0,4021.0,2933.0,0.0,612.6666666666666,1144.7832400357138,1338.0,0.0,309.30769230769226,511.8161103064564,17019.084281724772,42.01151115405621,25125.38888888889,50700.75772973498,175887.0,3.0,187100.0,37420.0,48793.12040646714,92421.0,672.0,452257.0,37688.083333333336,58793.94140317263,175887.0,3.0,0,0,0,0,120,276,13.26679299601775,28.74471815803846,0.0,2933.0,384.85,733.7650043296882,538411.0815789474,0,1,0,0,0,0,0,0,2.0,405.10526315789474,612.6666666666666,309.3076923076923,0,0,0,0,0,0,6,3676,13,4021,-1,65535,4,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-65.52.103.247-49483-443-6,10.0.2.15,49483,65.52.103.247,443,6,15/04/2015 01:49:12 上午,178,2,1,69.0,0.0,69.0,0.0,34.5,48.79036790187178,0.0,0.0,0.0,0.0,387640.44943820225,16853.932584269663,89.0,21.213203435596427,104.0,74.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,0,0,0,0,0,40,20,11235.955056179775,5617.9775280898875,0.0,69.0,17.25,34.5,1190.25,0,0,0,0,1,0,0,0,0.0,23.0,34.5,0.0,0,0,0,0,0,0,2,69,1,0,-1,62895,1,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-65.52.103.247-49484-443-6,10.0.2.15,49484,65.52.103.247,443,6,15/04/2015 01:49:12 上午,543375,6,12,3420.0,4085.0,2677.0,0.0,570.0,1041.0807845695742,1338.0,0.0,340.4166666666667,528.3732252409419,13811.824246606853,33.12629399585921,31963.235294117654,69490.06884218188,265192.0,6.0,189884.0,37976.8,49390.47310160128,94245.0,669.0,543375.0,49397.727272727265,82337.859660172,265192.0,6.0,0,0,0,0,120,256,11.042097998619736,22.084195997239473,0.0,2677.0,395.00000000000006,701.8124947432739,492540.77777777775,0,1,0,0,0,0,0,0,2.0,416.94444444444446,570.0,340.4166666666667,0,0,0,0,0,0,6,3420,12,4085,-1,65535,4,0,0,0,0,0,0,0,0,0,No Label
