Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
131.202.240.86-162.17.58.49-49624-56229-6,162.17.58.49,56229,131.202.240.86,49624,6,01/04/2015 02:21:03 上午,11213180,10,9,198.0,117.0,83.0,0.0,19.8,27.095715118405305,52.0,0.0,13.0,18.748333259252675,28.091941804198274,1.694434585015134,622954.4444444444,2320172.687794678,9912458.0,21.0,1.1153828E7,1239314.2222222222,3254253.344755667,9912458.0,5395.0,1033378.0,129172.25,112746.23013114769,265745.0,59.0,0,0,0,0,200,204,0.8918076763237548,0.8026269086913793,0.0,83.0,15.749999999999998,22.826289091400962,521.0394736842106,0,1,0,0,0,0,0,0,0.0,16.57894736842105,19.8,13.0,0,0,0,0,0,0,10,198,9,117,-1,257,6,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-162.17.58.49-49624-56229-6,131.202.240.86,49624,162.17.58.49,56229,6,01/04/2015 02:21:14 上午,78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25641.02564102564,78.0,0.0,78.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12820.51282051282,12820.51282051282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,257,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-131.253.34.162-2178-443-6,131.202.240.86,2178,131.253.34.162,443,6,01/04/2015 02:21:23 上午,5663576,8,8,846.0,5874.0,485.0,0.0,105.75,173.75742532951753,1350.0,0.0,734.25,616.957222411501,1186.529500089696,2.8250702383088,377571.7333333333,1358766.9333237642,5287106.0,3.0,5485456.0,783636.5714285715,1986262.4444573328,5287106.0,117.0,5663576.0,809082.2857142858,2014018.7788679888,5375148.0,3.0,0,0,0,0,160,184,1.4125351191544,1.4125351191544,0.0,1350.0,395.29411764705884,537.4632271962755,288866.7205882353,0,1,0,0,0,0,0,0,1.0,420.0,105.75,734.25,0,0,0,0,0,0,8,846,8,5874,-1,255,3,0,288475.0,0.0,288475.0,288475.0,5287106.0,0.0,5287106.0,5287106.0,No Label
131.202.240.86-131.253.34.162-2178-443-6,131.202.240.86,2178,131.253.34.162,443,6,01/04/2015 02:21:29 上午,54,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-23.32.171.120-2174-443-6,131.202.240.86,2174,23.32.171.120,443,6,01/04/2015 02:21:23 上午,20146479,5,8,549.0,3958.0,342.0,0.0,109.8,157.74409656148785,1350.0,0.0,494.75,664.6044473433589,223.7115478094212,0.6452740451569726,1678873.25,5744408.217857482,1.9919556E7,1.0,156494.0,39123.5,37512.289013068774,71665.0,2401.0,2.0146479E7,2878068.4285714286,7514708.010023363,1.991961E7,1.0,0,0,0,0,100,184,0.24818232506037408,0.39709172009659854,0.0,1350.0,321.92857142857144,537.7299099398842,289153.45604395604,0,1,0,0,0,0,0,0,1.0,346.6923076923077,109.8,494.75,0,0,0,0,0,0,5,549,8,3958,-1,524,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-23.32.171.120-2175-443-6,131.202.240.86,2175,23.32.171.120,443,6,01/04/2015 02:21:23 上午,20148332,5,8,549.0,3958.0,342.0,0.0,109.8,157.74409656148785,1350.0,0.0,494.75,664.6044473433589,223.69097352574894,0.6452147006511507,1679027.6666666667,5742407.097109085,1.9913332E7,0.0,164640.0,41160.0,39796.735519386515,79922.0,2715.0,2.0148332E7,2878333.1428571427,7511850.534313086,1.9913375E7,0.0,0,0,0,0,100,184,0.24815950025044256,0.39705520040070813,0.0,1350.0,321.92857142857144,537.7299099398842,289153.45604395604,0,1,0,0,0,0,0,0,1.0,346.6923076923077,109.8,494.75,0,0,0,0,0,0,5,549,8,3958,-1,524,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-66.119.34.47-2176-443-6,131.202.240.86,2176,66.119.34.47,443,6,01/04/2015 02:21:23 上午,60123188,7,10,533.0,5599.0,326.0,0.0,76.14285714285715,134.49960169882607,1350.0,0.0,559.9,681.3549327952683,101.99059970006914,0.2827528041260886,3757699.25,1.496419486463827E7,5.9873338E7,1.0,184579.0,30763.166666666668,32987.43549545291,64074.0,83.0,6.0123188E7,6680354.222222222,1.9947407516717996E7,5.9873377E7,1.0,0,0,0,0,140,224,0.11642762522838943,0.16632517889769918,0.0,1350.0,340.66666666666663,562.2035427933657,316072.82352941175,0,1,0,0,0,0,0,0,1.0,360.70588235294116,76.14285714285714,559.9,0,0,0,0,0,0,7,533,10,5599,-1,63,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-93.184.215.200-2177-443-6,131.202.240.86,2177,93.184.215.200,443,6,01/04/2015 02:21:23 上午,60776450,8,12,355.0,7255.0,205.0,0.0,44.37500000000001,83.47101721127947,1350.0,0.0,604.5833333333334,665.842659319525,125.21297311705439,0.3290748307938355,3198760.5263157897,1.3846848068477817E7,6.037843E7,1.0,346026.0,49432.28571428571,106888.53669549772,288676.0,52.0,6.077645E7,5525131.818181817,1.8193005523215406E7,6.0378465E7,1.0,0,0,0,0,160,264,0.13162993231753417,0.19744489847630128,0.0,1350.0,362.3809523809523,573.1434790862124,328493.4476190476,0,1,0,0,0,0,0,0,1.0,380.5,44.375,604.5833333333334,0,0,0,0,0,0,8,355,12,7255,-1,33,2,0,398019.0,0.0,398019.0,398019.0,6.037843E7,0.0,6.037843E7,6.037843E7,No Label
131.202.240.86-148.87.19.206-443-23684-6,148.87.19.206,23684,131.202.240.86,443,6,01/04/2015 02:22:41 上午,1417102,5,3,130.0,79.0,72.0,0.0,26.0,35.94440151122286,79.0,0.0,26.333333333333332,45.61067126598043,147.48409077116537,5.645324048657048,202443.1428571429,428478.57466678094,1168825.0,1.0,1317068.0,329267.0,561199.8597202247,1168825.0,1.0,1269153.0,634576.5,897391.337324191,1269128.0,25.0,0,0,0,0,160,112,3.528327530410655,2.116996518246393,0.0,79.0,23.22222222222222,35.24123216410636,1241.9444444444443,0,1,0,0,0,0,0,0,0.0,26.125,26.0,26.333333333333332,0,0,0,0,0,0,5,130,3,79,-1,256,2,0,0,0,0,0,0,0,0,0,No Label
131.202.240.86-148.87.19.206-443-23684-6,131.202.240.86,443,148.87.19.206,23684,6,01/04/2015 02:22:42 上午,135,2,1,46.0,0.0,46.0,0.0,23.0,32.526911934581186,0.0,0.0,0.0,0.0,340740.74074074073,22222.222222222223,67.5,0.7071067811865476,68.0,67.0,68.0,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,64,32,14814.814814814814,7407.407407407407,0.0,46.0,11.5,23.0,529.0,0,0,0,0,1,0,0,0,0.0,15.333333333333334,23.0,0.0,0,0,0,0,0,0,2,46,1,0,-1,255,1,0,0,0,0,0,0,0,0,0,No Label
