Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-93.184.215.200-56229-80-6,93.184.215.200,80,10.0.2.15,56229,6,14/04/2015 10:19:50 下午,162,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,18518.51851851852,81.0,22.627416997969522,97.0,65.0,0,0,0,0,0,162.0,81.0,22.627416997969522,97.0,65.0,0,0,0,0,0,60,0.0,18518.51851851852,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,63845,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.9-10.0.2.15-80-56221-6,10.0.2.15,56221,209.148.205.9,80,6,14/04/2015 10:20:22 下午,21697,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,138.2679633129004,10848.5,14347.903697056236,20994.0,703.0,0,0,0,0,0,21697.0,10848.5,14347.903697056236,20994.0,703.0,0,0,0,0,0,60,0.0,138.2679633129004,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.9-10.0.2.15-80-56219-6,10.0.2.15,56219,209.148.205.9,80,6,14/04/2015 10:20:22 下午,21842,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,137.35005951835913,10921.0,14997.734828966673,21526.0,316.0,0,0,0,0,0,21842.0,10921.0,14997.734828966673,21526.0,316.0,0,0,0,0,0,60,0.0,137.35005951835913,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.9-10.0.2.15-80-56220-6,10.0.2.15,56220,209.148.205.9,80,6,14/04/2015 10:20:22 下午,22474,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,133.48758565453412,11237.0,15455.940023175555,22166.0,308.0,0,0,0,0,0,22474.0,11237.0,15455.940023175555,22166.0,308.0,0,0,0,0,0,60,0.0,133.48758565453412,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.9-10.0.2.15-80-56222-6,10.0.2.15,56222,209.148.205.9,80,6,14/04/2015 10:20:22 下午,22339,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,134.2942835399973,11169.5,15547.15679794862,22163.0,176.0,0,0,0,0,0,22339.0,11169.5,15547.15679794862,22163.0,176.0,0,0,0,0,0,60,0.0,134.2942835399973,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-23.194.223.54-56218-80-6,10.0.2.15,56218,23.194.223.54,80,6,14/04/2015 10:20:22 下午,35925,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,83.50730688935282,17962.5,24680.14798375407,35414.0,511.0,0,0,0,0,0,35925.0,17962.5,24680.14798375407,35414.0,511.0,0,0,0,0,0,60,0.0,83.50730688935282,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-23.45.43.208-56223-80-6,10.0.2.15,56223,23.45.43.208,80,6,14/04/2015 10:20:22 下午,47817,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,62.739193173975785,23908.5,33339.37762616453,47483.0,334.0,0,0,0,0,0,47817.0,23908.5,33339.37762616453,47483.0,334.0,0,0,0,0,0,60,0.0,62.739193173975785,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-23.195.194.188-56224-80-6,10.0.2.15,56224,23.195.194.188,80,6,14/04/2015 10:20:37 下午,32015,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,93.7060752772138,16007.5,21639.588824651913,31309.0,706.0,0,0,0,0,0,32015.0,16007.5,21639.588824651913,31309.0,706.0,0,0,0,0,0,60,0.0,93.7060752772138,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.226.171-56161-443-6,10.0.2.15,56161,74.125.226.171,443,6,14/04/2015 10:20:28 下午,14957436,0,4,0.0,56.0,0,0,0,0,55.0,0.0,14.0,27.337398071750233,3.7439571862450225,0.2674255133032159,4985812.0,8635406.904402537,1.4957121E7,1.0,0,0,0,0,0,1.4957436E7,4985812.0,8635406.904402537,1.4957121E7,1.0,0,0,0,0,0,80,0.0,0.2674255133032159,0.0,55.0,11.4,24.378269011560274,594.3,0,0,0,0,1,0,0,0,0.0,14.25,0.0,14.0,0,0,0,0,0,0,0,0,4,56,-1,65535,0,0,314.0,0.0,314.0,314.0,1.4957121E7,0.0,1.4957121E7,1.4957121E7,No Label
10.0.2.15-74.125.226.171-56161-443-6,10.0.2.15,56161,74.125.226.171,443,6,14/04/2015 10:20:43 下午,310,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6451.612903225807,310.0,0.0,310.0,310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3225.8064516129034,3225.8064516129034,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64147,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.112-10.0.2.15-443-56151-6,10.0.2.15,56151,173.194.123.112,443,6,14/04/2015 10:19:49 下午,59990519,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.9501501395578859,0.10001580416398798,1.19981038E7,1.9558769467167757E7,4.5004293E7,5.0,0,0,0,0,0,5.9990519E7,1.499762975E7,2.121525297120716E7,4.5004539E7,5.0,0,0,0,0,20,100,0.016669300693997996,0.08334650346998998,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,315.0,97.58073580374356,384.0,246.0,2.9994942E7,2.1226427746618178E7,4.5004293E7,1.4985591E7,No Label
173.194.123.112-10.0.2.15-443-56151-6,10.0.2.15,56151,173.194.123.112,443,6,14/04/2015 10:20:49 下午,691,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2894.356005788712,691.0,0.0,691.0,691.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1447.178002894356,1447.178002894356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63111,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.111-10.0.2.15-443-56140-6,10.0.2.15,56140,173.194.123.111,443,6,14/04/2015 10:19:52 下午,60001569,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.9499751581496143,0.09999738506838046,1.20003138E7,1.955464151164093E7,4.4992504E7,5.0,0,0,0,0,0,6.0001569E7,1.500039225E7,2.120995257367304E7,4.4993167E7,5.0,0,0,0,0,20,100,0.016666230844730075,0.08333115422365038,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,393.5,381.1305550595491,663.0,124.0,3.00003885E7,2.1202053068763897E7,4.4992504E7,1.5008273E7,No Label
173.194.123.111-10.0.2.15-443-56140-6,10.0.2.15,56140,173.194.123.111,443,6,14/04/2015 10:20:52 下午,588,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3401.360544217687,588.0,0.0,588.0,588.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1700.6802721088436,1700.6802721088436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63124,0,0,0,0,0,0,0,0,0,0,No Label
10.0.2.15-74.125.226.168-56212-80-6,10.0.2.15,56212,74.125.226.168,80,6,14/04/2015 10:19:52 下午,59979611,1,4,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.25,0.5,0.03334466440604292,0.08336166101510728,1.499490275E7,2.12163043268608E7,4.5006692E7,119.0,0,0,0,0,0,5.9979611E7,1.9993203666666668E7,2.2919537026089888E7,4.5006823E7,119.0,0,0,0,0,20,80,0.01667233220302146,0.06668932881208584,0.0,1.0,0.5,0.5477225575051661,0.29999999999999993,0,0,0,0,1,0,0,0,4.0,0.6,1.0,0.25,0,0,0,0,0,0,1,1,4,1,-1,65535,1,0,119.0,0.0,119.0,119.0,4.5006692E7,0.0,4.5006692E7,4.5006692E7,No Label
10.0.2.15-74.125.226.188-56163-443-6,10.0.2.15,56163,74.125.226.188,443,6,14/04/2015 10:19:53 下午,59880649,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.9518934906667428,0.10019931480702556,1.19761298E7,1.9552672564631023E7,4.4999026E7,3.0,0,0,0,0,0,5.9880649E7,1.497016225E7,2.1212881158301234E7,4.4999199E7,3.0,0,0,0,0,20,100,0.016699885801170926,0.08349942900585464,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,143.0,42.42640687119285,173.0,113.0,2.994018E7,2.1296424246887833E7,4.4999026E7,1.4881334E7,No Label
10.0.2.15-74.125.226.188-56163-443-6,10.0.2.15,56163,74.125.226.188,443,6,14/04/2015 10:20:53 下午,294,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6802.721088435374,294.0,0.0,294.0,294.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3401.360544217687,3401.360544217687,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64185,0,0,0,0,0,0,0,0,0,0,No Label
173.194.112.31-10.0.2.15-443-56164-6,10.0.2.15,56164,173.194.112.31,443,6,14/04/2015 10:19:54 下午,59907451,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.9514676229506076,0.10015448662637974,1.19814902E7,1.9554072922413047E7,4.5000134E7,2.0,0,0,0,0,0,5.9907451E7,1.497686275E7,2.1213442807484712E7,4.5000451E7,2.0,0,0,0,0,20,100,0.016692414437729956,0.08346207218864979,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,209.5,152.02795795510772,317.0,102.0,2.9953515E7,2.1279132657660697E7,4.5000134E7,1.4906896E7,No Label
173.194.112.31-10.0.2.15-443-56164-6,10.0.2.15,56164,173.194.112.31,443,6,14/04/2015 10:20:54 下午,253,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7905.138339920948,253.0,0.0,253.0,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3952.569169960474,3952.569169960474,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63514,0,0,0,0,0,0,0,0,0,0,No Label
173.194.123.98-10.0.2.15-443-56150-6,10.0.2.15,56150,173.194.123.98,443,6,14/04/2015 10:19:55 下午,59997833,1,5,1.0,56.0,1.0,1.0,1.0,0.0,55.0,0.0,11.2,24.48877293781785,0.950034312072571,0.10000361179711274,1.19995666E7,1.9557952005396903E7,4.5002191E7,6.0,0,0,0,0,0,5.9997833E7,1.499945825E7,2.1214585027358424E7,4.5003401E7,6.0,0,0,0,0,20,100,0.016667268632852124,0.08333634316426061,0.0,55.0,8.285714285714285,20.60513112240319,424.5714285714285,0,0,0,0,1,0,0,0,5.0,9.666666666666666,1.0,11.2,0,0,0,0,0,0,1,1,5,56,-1,65535,1,0,1073.0,193.74725804511402,1210.0,936.0,2.99978405E7,2.121935597169953E7,4.5002191E7,1.499349E7,No Label
173.194.123.98-10.0.2.15-443-56150-6,10.0.2.15,56150,173.194.123.98,443,6,14/04/2015 10:20:55 下午,894,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2237.1364653243845,894.0,0.0,894.0,894.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1118.5682326621923,1118.5682326621923,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63792,0,0,0,0,0,0,0,0,0,0,No Label
