Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
216.58.208.46-10.8.8.178-443-38246-6,10.8.8.178,38246,216.58.208.46,443,6,04/06/2015 03:52:06 上午,4347774,12,11,601.0,4290.0,203.0,0.0,50.08333333333333,71.44922969663442,1308.0,0.0,390.0,590.3178804678035,1124.9434768228523,5.290063374959232,197626.09090909088,783933.9691657654,3700557.0,9.0,4218684.0,383516.7272727273,1143372.088883325,3827624.0,33.0,579955.0,57995.5,72509.72931537456,166251.0,19.0,0,0,0,0,384,368,2.760033065196121,2.5300303097631107,0.0,1308.0,203.79166666666669,429.7300445999605,184667.91123188403,0,1,0,0,0,0,0,0,0.0,212.65217391304347,50.083333333333336,390.0,0,0,0,0,0,0,12,601,11,4290,-1,350,6,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38247-6,10.8.8.178,38247,216.58.208.46,443,6,04/06/2015 03:52:06 上午,4235329,11,11,601.0,4290.0,203.0,0.0,54.63636363636364,73.08799180066822,1308.0,0.0,390.0,590.3178804678035,1154.8099333015216,5.194401662775194,201682.3333333333,768918.0581540749,3547853.0,9.0,4100929.0,410092.9,1163762.914542348,3717969.0,33.0,591461.0,59146.1,77233.93549103485,180611.0,18.0,0,0,0,0,352,368,2.597200831387597,2.597200831387597,0.0,1308.0,212.65217391304353,437.1407729049858,191092.05533596835,0,1,0,0,0,0,0,0,1.0,222.3181818181818,54.63636363636363,390.0,0,0,0,0,0,0,11,601,11,4290,-1,350,6,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38246-6,216.58.208.46,443,10.8.8.178,38246,6,04/06/2015 03:52:10 上午,50737,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.12844669570531,25368.5,33470.89948746523,49036.0,1701.0,1701.0,1701.0,0.0,1701.0,1701.0,0,0,0,0,0,0,0,0,0,64,32,39.41896446380354,19.70948223190177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38247-6,216.58.208.46,443,10.8.8.178,38247,6,04/06/2015 03:52:10 上午,88033,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.078129792237,44016.5,61353.53408321317,87400.0,633.0,633.0,633.0,0.0,633.0,633.0,0,0,0,0,0,0,0,0,0,64,32,22.718753194824668,11.359376597412334,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,350,0,0,0,0,0,0,0,0,0,0,No Label
216.58.208.46-10.8.8.178-443-38245-6,10.8.8.178,38245,216.58.208.46,443,6,04/06/2015 03:52:06 上午,59058491,4,10,130.0,405.0,46.0,0.0,32.5,21.992422937608914,152.0,0.0,40.5,53.48156484039877,9.058815945703726,0.23705312755112556,4542960.846153846,1.6247521318385838E7,5.8617583E7,19.0,5.8927973E7,1.9642657666666668E7,3.390179357254907E7,5.8788995E7,117.0,5.9058491E7,6562054.555555555,1.9569426618948195E7,5.8746901E7,19.0,0,1,0,0,128,320,0.0677294650146073,0.16932366253651826,0.0,152.0,42.93333333333333,47.84867018105349,2289.4952380952377,0,0,0,1,1,0,0,0,2.0,46.0,32.5,40.5,0,0,0,0,0,0,4,130,10,405,-1,383,3,0,311043.0,0.0,311043.0,311043.0,5.8617583E7,0.0,5.8617583E7,5.8617583E7,No Label
216.58.208.46-10.8.8.178-443-38245-6,10.8.8.178,38245,216.58.208.46,443,6,04/06/2015 03:53:05 上午,870,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,88505.74712643678,3448.2758620689656,435.0,585.4844148224613,849.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,0,1,0,0,64,32,2298.8505747126437,1149.4252873563219,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,254,1,0,0,0,0,0,0,0,0,0,No Label
216.58.208.37-10.8.8.178-443-51898-6,10.8.8.178,51898,216.58.208.37,443,6,04/06/2015 03:52:09 上午,59001214,12,17,3033.0,1654.0,1308.0,0.0,252.75,419.75709967464843,993.0,0.0,97.29411764705883,241.48363420371845,79.43904340680177,0.4915153101764991,2107186.2142857146,1.0995540731040183E7,5.8211644E7,9.0,5.8741744E7,5340158.545454545,1.7579737350245453E7,5.8344798E7,9.0,5.9001214E7,3687575.875,1.4574330195829492E7,5.8340914E7,20.0,0,0,0,0,384,560,0.2033856455902755,0.28812966458622363,0.0,1308.0,156.2333333333333,325.1755688466042,105739.15057471264,0,1,0,0,0,0,0,0,1.0,161.6206896551724,252.75,97.29411764705883,0,0,0,0,0,0,12,3033,17,1654,-1,390,9,0,659356.0,0.0,659356.0,659356.0,5.8211644E7,0.0,5.8211644E7,5.8211644E7,No Label
216.58.208.37-10.8.8.178-443-51898-6,10.8.8.178,51898,216.58.208.37,443,6,04/06/2015 03:53:08 上午,734,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,104904.63215258856,4087.1934604904636,367.0,476.589970519733,704.0,30.0,30.0,30.0,0.0,30.0,30.0,0,0,0,0,0,0,1,0,0,64,32,2724.7956403269754,1362.3978201634877,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,261,1,0,0,0,0,0,0,0,0,0,No Label
216.58.208.35-10.8.8.178-443-52153-6,10.8.8.178,52153,216.58.208.35,443,6,04/06/2015 03:52:15 上午,59059763,3,8,92.0,1262.0,46.0,0.0,30.666666666666668,26.558112382722786,865.0,0.0,157.75000000000003,292.2194625375153,22.925930129452095,0.18625201729983237,5905976.3,1.852531772463405E7,5.8629597E7,15.0,5.8799728E7,2.9399864E7,4.1576918482760146E7,5.8799185E7,543.0,5.9059763E7,8437108.999999998,2.21895898866847E7,5.8758105E7,34.0,0,1,0,0,96,256,0.050796004718136105,0.1354560125816963,0.0,865.0,126.33333333333333,240.41265029994244,57798.24242424241,0,0,0,1,1,0,0,0,2.0,137.8181818181818,30.666666666666668,157.75,0,0,0,0,0,0,3,92,8,1262,-1,366,2,0,301411.0,0.0,301411.0,301411.0,5.8629597E7,0.0,5.8629597E7,5.8629597E7,No Label
216.58.208.35-10.8.8.178-443-52153-6,10.8.8.178,52153,216.58.208.35,443,6,04/06/2015 03:53:14 上午,588,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,130952.38095238096,5102.040816326531,294.0,374.7665940288702,559.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,0,1,0,0,64,32,3401.360544217687,1700.6802721088436,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,276,1,0,0,0,0,0,0,0,0,0,No Label
