Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,04/06/2015 03:00:55 上午,115173999,63,66,5843.0,1740.0,327.0,0.0,92.74603174603176,105.82136016068326,257.0,0.0,26.363636363636356,47.062196608853164,65.8395129616017,1.1200444642023761,899796.8671875001,1931902.8181983305,9683469.0,26.0,1.15038111E8,1855453.4032258063,2483193.073776013,9683469.0,29779.0,1.15064435E8,1770222.076923077,2462172.499411586,9867978.0,125.0,0,1,0,0,1260,1320,0.5469984592616256,0.5730460049407505,0.0,327.0,60.30769230769229,88.8896054433452,7901.3619558735845,0,0,0,1,1,0,0,0,1.0,60.775193798449614,92.74603174603175,26.363636363636363,0,0,0,0,0,0,63,5843,66,1740,-1,64680,47,0,4533296.600000001,4852085.807122936,1.5521343E7,144005.0,6687997.900000001,1593139.4390945644,9683469.0,5094877.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,04/06/2015 03:01:30 上午,84036172,2,4,2.0,4.0,2.0,0.0,1.0,1.4142135623730951,2.0,0.0,1.0,1.1547005383792515,0.07139782616466633,0.07139782616466633,1.68072344E7,2.3071219252306312E7,4.7027126E7,51.0,4.7027126E7,4.7027126E7,0.0,4.7027126E7,4.7027126E7,8.4036172E7,2.8012057333333336E7,2.4627261951725964E7,4.7298138E7,271024.0,0,1,0,0,64,128,0.023799275388222112,0.047598550776444225,0.0,2.0,1.1428571428571428,1.0690449676496974,1.1428571428571426,0,0,0,1,1,0,0,0,2.0,1.3333333333333333,1.0,1.0,0,0,0,0,0,0,2,2,4,4,-1,83,1,0,135537.5,191606.84581846235,271024.0,51.0,4.1747068E7,7467129.633716559,4.7027126E7,3.646701E7,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,04/06/2015 03:02:30 上午,1184842,3,2,938.0,618.0,469.0,0.0,312.66666666666663,270.7772762499345,469.0,149.0,309.0,226.27416997969522,1313.2552694789686,4.219971945626505,296210.5,233611.83570258878,483405.0,107.0,701437.0,350718.5,187204.3989987949,483092.0,218345.0,1184735.0,1184735.0,0.0,1184735.0,1184735.0,0,1,0,0,96,64,2.5319831673759032,1.6879887782506022,0.0,469.0,337.5,209.0968675040351,43721.5,0,0,0,1,1,0,0,0,0.0,405.0,312.6666666666667,309.0,0,0,0,0,0,0,3,938,2,618,-1,64931,2,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,04/06/2015 03:02:56 上午,115813227,82,83,8704.0,1628.0,697.0,0.0,106.14634146341463,139.20303334562328,141.0,0.0,19.614457831325296,36.93825808525897,89.21260781378625,1.4247077322178407,706178.2134146342,1593245.9571749594,1.0699627E7,16.0,1.15630238E8,1427533.8024691362,2079908.4225190089,1.0699627E7,31408.0,1.15813227E8,1412356.4268292678,2060858.7902604295,1.0777706E7,31387.0,0,1,0,0,1640,1660,0.7080365699506845,0.7166711622671562,0.0,697.0,62.46987951807226,109.84621065994506,12066.189996349027,0,0,0,1,1,0,0,0,1.0,62.84848484848485,106.14634146341463,19.6144578313253,0,0,0,0,0,0,82,8704,83,1628,-1,64680,62,0,1.89280375E7,1.7648372905783515E7,4.5211148E7,7193418.0,8413924.75,1975477.1380424143,1.0699627E7,5885744.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,04/06/2015 03:03:30 上午,562730,2,4,377.0,6.0,377.0,0.0,188.5,266.5792565073284,4.0,0.0,1.5,1.914854215512676,680.6105947790237,10.662306967817605,112546.0,154173.4045952803,291505.0,55.0,271170.0,271170.0,0.0,271170.0,271170.0,562662.0,187554.0,162651.56139121443,291505.0,112.0,0,1,0,0,64,128,3.554102322605868,7.108204645211736,0.0,377.0,55.0,141.99647882958226,20163.000000000004,0,0,0,1,1,0,0,0,2.0,64.16666666666667,188.5,1.5,0,0,0,0,0,0,2,377,4,6,-1,83,1,0,0,0,0,0,0,0,0,0,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,04/06/2015 03:04:31 上午,124,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,8064.516129032258,16129.032258064515,124.0,0.0,124.0,124.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20,8064.516129032258,8064.516129032258,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,-1,64931,0,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,04/06/2015 03:04:56 上午,119972879,185,183,17953.0,4492.0,809.0,0.0,97.04324324324327,113.02788358491487,369.0,0.0,24.5464480874317,46.12651946282267,187.08394919821836,3.0673599155689177,326901.5776566756,1393827.3732033835,1.8876264E7,22.0,1.19827368E8,651235.6956521738,1931931.7522869569,1.8876291E7,124.0,1.19940884E8,659015.8461538465,1940596.0508929673,1.8876326E7,69.0,0,1,0,0,3700,3660,1.542015174946331,1.5253447406225868,0.0,809.0,61.57723577235777,94.23519444287311,8880.271871686104,0,0,0,1,1,0,0,0,0.0,61.744565217391305,97.04324324324324,24.546448087431695,0,0,0,0,0,0,185,17953,183,4492,-1,64680,142,0,2506812.8333333335,2526860.011356499,6166933.0,150028.0,9912138.166666668,4745529.241248374,1.8876264E7,6166149.0,No Label
157.56.52.13-10.8.8.178-40011-56909-6,10.8.8.178,56909,157.56.52.13,40011,6,04/06/2015 03:05:30 上午,714395,1,3,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3333333333333333,1.1547005383792515,5.599143331070346,5.599143331070346,238131.6666666667,212106.3642664532,406997.0,68.0,0,0,0,0,0,714327.0,357163.5,70475.21156051963,406997.0,307330.0,0,1,0,0,32,96,1.3997858327675865,4.19935749830276,0.0,2.0,1.2,1.0954451150103321,1.1999999999999997,0,0,0,1,1,0,0,0,3.0,1.5,0.0,1.3333333333333333,0,0,0,0,0,0,1,0,3,4,-1,83,0,0,0,0,0,0,0,0,0,0,No Label
134.170.25.26-10.8.8.178-443-54269-6,10.8.8.178,54269,134.170.25.26,443,6,04/06/2015 03:06:32 上午,50,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20000.0,40000.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,20,20000.0,20000.0,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0,1,1,-1,64931,0,0,0,0,0,0,0,0,0,0,No Label
178.237.17.103-10.8.8.178-443-51318-6,178.237.17.103,443,10.8.8.178,51318,6,04/06/2015 03:06:56 上午,119845062,276,274,28958.0,8107.0,285.0,0.0,104.9202898550725,98.65322639292572,159.0,0.0,29.587591240875916,39.04455977029937,309.2743195376711,4.58925875477456,218297.01639344255,439288.8481766817,2328991.0,21.0,1.19741305E8,435422.9272727272,592923.0748532744,2339569.0,4059.0,1.19845062E8,438992.9010989013,585819.3039205682,2329103.0,13254.0,0,0,0,0,5520,5480,2.302973484214143,2.2862852705604175,0.0,285.0,67.26860254083488,83.96369612488867,7049.902266952644,0,0,0,0,1,0,0,0,0.0,67.39090909090909,104.92028985507247,29.587591240875913,0,0,0,0,0,0,276,28958,274,8107,-1,64680,199,0,0,0,0,0,0,0,0,0,No Label
