Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:00:54 上午,116083555,68,69,1869.0,5986.0,130.0,0.0,27.485294117647058,37.06971755508391,391.0,0.0,86.7536231884058,105.86803741910762,67.66677674542272,1.1801843939048904,853555.551470588,1846028.35402002,9469905.0,0.0,1.1539181E8,1722265.8208955217,2381845.7690956495,9469905.0,33176.0,1.16083521E8,1707110.6029411766,2405734.3441171823,9645292.0,29266.0,0,1,0,0,1360,1380,0.5857849546389237,0.5943994392659666,0.0,391.0,57.19565217391303,84.356374608934,7115.997937162806,0,0,0,1,1,0,0,0,1.0,57.613138686131386,27.485294117647058,86.7536231884058,0,0,0,0,0,0,68,1869,69,5986,-1,16384,33,0,4690700.9,5073903.957655605,1.6430563E7,347923.0,6603677.899999999,1477219.3680074473,9469905.0,5315069.0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:02:56 上午,119972129,96,94,3460.0,7747.0,194.0,0.0,36.04166666666668,48.63460251100557,367.0,0.0,82.41489361702129,102.7816779595571,93.4133626985981,1.5837011611255145,634773.1693121691,1504726.518623957,1.0487647E7,23.0,1.19880868E8,1261903.8736842102,1980129.854636383,1.0487647E7,32141.0,1.19972129E8,1290022.892473118,2004065.7458864087,1.0661559E7,31745.0,0,1,0,0,1920,1880,0.8001858498318389,0.7835153112936756,0.0,367.0,58.87434554973823,83.02627942541643,6893.363075227329,0,0,0,1,1,0,0,0,0.0,59.18421052631579,36.041666666666664,82.41489361702128,0,0,0,0,0,0,96,3460,94,7747,-1,16384,51,0,1.89690555E7,1.77807356920483E7,4.5421364E7,6978799.0,8383001.25,1792046.90237958,1.0487647E7,6109954.0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:04:57 上午,119494298,197,196,5541.0,17443.0,207.0,0.0,28.1269035532995,37.81667833457955,823.0,0.0,88.99489795918369,111.6215904787921,192.3439058154892,3.2888598584009423,304832.3928571428,1335248.2160833876,1.8673396E7,0.0,1.17464852E8,599310.4693877555,1864391.4796742103,1.8847237E7,454.0,1.1949427E8,612791.1282051285,1879046.2528358097,1.8849012E7,1144.0,0,1,0,0,3940,3920,1.6486142292747725,1.6402456291261698,0.0,823.0,58.43147208121821,88.4457633399661,7822.653052789292,0,0,0,1,1,0,0,0,0.0,58.58015267175573,28.126903553299492,88.99489795918367,0,0,0,0,0,0,197,5541,196,17443,-1,16384,96,0,2357919.666666667,2584038.886651489,6519299.0,37647.0,9846989.666666666,4680275.391557153,1.8673396E7,6392960.0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:06:57 上午,118198911,271,265,7291.0,29374.0,157.0,0.0,26.90405904059042,37.959310844106014,287.0,0.0,110.84528301886793,100.36634895365592,310.19744335884786,4.534728750588912,220932.5439252336,438438.71441230073,2502101.0,0.0,1.18023236E8,437123.0962962965,563169.699949183,2521636.0,751.0,1.18198911E8,447723.14772727265,601614.6364587711,2502138.0,755.0,0,1,0,0,5420,5300,2.292745319794021,2.241983430794891,0.0,287.0,68.76722532588458,86.71324227880788,7519.186386503234,0,0,0,1,1,0,0,0,0.0,68.8955223880597,26.904059040590408,110.84528301886793,0,0,0,0,0,0,271,7291,265,29374,-1,16384,105,0,0,0,0,0,0,0,0,0,No Label
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,6,04/06/2015 03:05:01 上午,28,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,71428.57142857143,28.0,0.0,28.0,28.0,0,0,0,0,0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,40,0.0,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,34481,0,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:08:58 上午,119974749,247,224,5413.0,20328.0,120.0,0.0,21.91497975708502,31.5556814988571,277.0,0.0,90.75,96.5188705729694,214.55348074952005,3.9258260919553996,255265.42340425536,508121.78573031357,2303394.0,0.0,1.19974688E8,487701.9837398373,671923.9398261786,2303394.0,3070.0,1.19974701E8,538003.143497758,645480.8072649153,2363040.0,3085.0,0,1,0,0,4940,4480,2.0587665492844667,1.867059542670933,0.0,277.0,54.69703389830504,78.18883554525168,6113.494003922413,0,0,0,1,1,0,0,0,0.0,54.81316348195329,21.91497975708502,90.75,0,0,0,0,0,0,247,5413,224,20328,-1,16384,102,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:10:58 上午,118354350,189,209,4848.0,18086.0,117.0,0.0,25.650793650793652,32.56947993602198,261.0,0.0,86.53588516746412,94.8900674885773,193.77403534386357,3.3627830324783163,298121.7884130985,576568.5534419669,1836459.0,18.0,1.18180264E8,628618.425531915,787831.0360593594,2012159.0,4827.0,1.1835435E8,569011.2980769232,702118.4387636539,1965024.0,2333.0,0,0,0,0,3780,4180,1.5968994802472407,1.7658835522310756,0.0,261.0,57.47869674185461,78.35477827611577,6139.471278699263,0,0,0,0,1,0,0,0,1.0,57.62311557788945,25.650793650793652,86.53588516746412,0,0,0,0,0,0,189,4848,209,18086,-1,16384,91,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:12:58 上午,118564819,235,209,4707.0,17825.0,132.0,0.0,20.029787234042573,30.624050063017947,259.0,0.0,85.28708133971297,95.06168986706881,190.0395091059853,3.7447870603167708,267640.67494356673,569682.996460219,1840249.0,0.0,1.1848661E8,506353.0341880342,740651.7669686155,2013199.0,827.0,1.18564819E8,570023.1682692299,759288.7844631018,2009486.0,7031.0,0,1,0,0,4700,4180,1.9820381963388314,1.7627488639779394,0.0,259.0,50.71910112359553,76.08565419292245,5789.026773964977,0,0,0,1,1,0,0,0,0.0,50.833333333333336,20.029787234042555,85.28708133971291,0,0,0,0,0,0,235,4707,209,17825,-1,16384,91,0,0,0,0,0,0,0,0,0,No Label
178.237.19.227-10.8.8.130-443-48410-6,178.237.19.227,443,10.8.8.130,48410,6,04/06/2015 03:10:01 上午,88,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22727.272727272728,88.0,0.0,88.0,88.0,0,0,0,0,0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,40,0.0,22727.272727272728,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,34481,0,0,0,0,0,0,0,0,0,0,No Label
178.237.18.202-10.8.8.130-443-34342-6,10.8.8.130,34342,178.237.18.202,443,6,04/06/2015 03:14:58 上午,118596988,230,208,4980.0,18696.0,110.0,0.0,21.652173913043484,31.88901153044472,261.0,0.0,89.88461538461539,95.43880936085962,199.6340750238952,3.6931797964380007,271388.9885583518,559007.8728673434,1833459.0,13.0,1.18485983E8,517406.0393013103,691138.5408474609,1895817.0,2237.0,1.18596966E8,572932.2028985505,807348.8168472039,2058919.0,2141.0,0,1,0,0,4600,4160,1.9393409889971236,1.753838807440877,0.0,261.0,54.01822323462414,77.4465768765493,5997.972269895262,0,0,0,1,1,0,0,0,0.0,54.141552511415526,21.652173913043477,89.88461538461539,0,0,0,0,0,0,230,4980,208,18696,-1,16384,89,0,0,0,0,0,0,0,0,0,No Label
