Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.230.99.79-10.8.8.138-443-50698-6,10.8.8.138,50698,172.230.99.79,443,6,25/05/2015 01:48:27 上午,3552,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,14921.17117117117,1126.126126126126,1184.0,2008.3134715477063,3503.0,23.0,0,0,0,0,0,3552.0,1776.0,2442.346822218335,3503.0,49.0,0,0,0,0,20,96,281.5315315315315,844.5945945945946,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,0,1,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
172.230.99.79-10.8.8.138-443-50697-6,10.8.8.138,50697,172.230.99.79,443,6,25/05/2015 01:48:27 上午,13142,1,3,0.0,53.0,0.0,0.0,0.0,0.0,53.0,0.0,17.666666666666664,30.599564267050166,4032.871709024502,304.36767615279257,4380.666666666666,7462.1147360070345,12997.0,25.0,0,0,0,0,0,13142.0,6571.0,9087.736351809508,12997.0,145.0,0,0,0,0,20,96,76.09191903819814,228.27575711459446,0.0,53.0,10.6,23.70232056149777,561.8,1,0,0,0,1,0,0,0,3.0,13.25,0.0,17.666666666666668,0,0,0,0,0,0,1,0,3,53,-1,486,0,0,0,0,0,0,0,0,0,0,No Label
209.148.205.35-10.8.8.138-443-42011-6,10.8.8.138,42011,209.148.205.35,443,6,25/05/2015 01:48:29 上午,10214171,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3916127897212608,3404723.6666666665,5713138.076961324,1.0000535E7,41.0,1.0000535E7,1.0000535E7,0.0,1.0000535E7,1.0000535E7,213595.0,213595.0,0.0,213595.0,213595.0,0,0,0,0,64,80,0.1958063948606304,0.1958063948606304,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,14480,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.192.55.216-47640-443-6,54.192.55.216,443,10.8.8.138,47640,6,25/05/2015 01:48:46 上午,41,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,756097.5609756097,73170.73170731707,20.5,4.949747468305833,24.0,17.0,0,0,0,0,0,24.0,24.0,0.0,24.0,24.0,0,1,0,0,32,64,24390.243902439022,48780.487804878045,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,582,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-54.192.55.216-47640-443-6,10.8.8.138,47640,54.192.55.216,443,6,25/05/2015 01:48:46 上午,708547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822677959260289,708547.0,0.0,708547.0,708547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1.4113389796301445,1.4113389796301445,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,582,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.235.40.143-39891-443-6,10.8.8.138,39891,23.235.40.143,443,6,25/05/2015 01:49:00 上午,10220148,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5870756470454244,2044029.6,3872354.341710518,8925639.0,44.0,1.0000686E7,5000343.0,5551206.8395288605,8925639.0,1075047.0,1294465.0,647232.5,605052.1807782367,1075069.0,219396.0,0,0,0,0,96,120,0.2935378235227122,0.2935378235227122,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,3,0,-1,14480,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.138-23.235.44.143-49845-443-6,10.8.8.138,49845,23.235.44.143,443,6,25/05/2015 01:48:56 上午,15973848,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.9406720284304695,0.3130116174887854,3993461.9999999995,7826039.593705661,1.5731271E7,41.0,0,0,0,0,0,1.5973848E7,5324616.0,9013241.246016828,1.5731271E7,183.0,0,0,0,0,32,128,0.06260232349775709,0.25040929399102835,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,56,0,0,242394.0,0.0,242394.0,242394.0,1.5731271E7,0.0,1.5731271E7,1.5731271E7,No Label
10.8.8.138-104.156.85.217-33754-443-6,10.8.8.138,33754,104.156.85.217,443,6,25/05/2015 01:48:57 上午,15998175,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,1.9377210213039926,0.31253564859741817,3999543.7499999995,7911479.089328298,1.5866397E7,22.0,0,0,0,0,0,1.5998175E7,5332725.0,9122665.104009518,1.5866397E7,54.0,0,0,0,0,32,128,0.06250712971948363,0.25002851887793454,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666666,0,0,0,0,1,0,0,0,4.0,6.2,0.0,7.75,0,0,0,0,0,0,1,0,4,31,-1,83,0,0,131724.0,0.0,131724.0,131724.0,1.5866397E7,0.0,1.5866397E7,1.5866397E7,No Label
10.8.8.138-23.235.44.143-49849-443-6,10.8.8.138,49849,23.235.44.143,443,6,25/05/2015 01:48:58 上午,15972987,0,4,0.0,31.0,0,0,0,0,31.0,0.0,7.75,15.500000000000002,1.9407766374567261,0.25042279192990013,5324329.0,9011058.170661367,1.5728448E7,203.0,0,0,0,0,0,1.5972987E7,5324329.0,9011058.170661367,1.5728448E7,203.0,0,0,0,0,0,128,0.0,0.25042279192990013,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,0.0,7.75,0,0,0,0,0,0,0,0,4,31,-1,83,0,0,244336.0,0.0,244336.0,244336.0,1.5728448E7,0.0,1.5728448E7,1.5728448E7,No Label
10.8.8.138-23.235.44.143-49848-443-6,10.8.8.138,49848,23.235.44.143,443,6,25/05/2015 01:48:58 上午,15989458,0,4,0.0,31.0,0,0,0,0,31.0,0.0,7.75,15.500000000000002,1.9387774119673098,0.2501648273506206,5329819.333333334,9022614.704209879,1.5747301E7,112.0,0,0,0,0,0,1.5989458E7,5329819.333333334,9022614.704209879,1.5747301E7,112.0,0,0,0,0,0,128,0.0,0.2501648273506206,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,0.0,7.75,0,0,0,0,0,0,0,0,4,31,-1,83,0,0,242045.0,0.0,242045.0,242045.0,1.5747301E7,0.0,1.5747301E7,1.5747301E7,No Label
