Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,23/05/2015 12:33:20 上午,119997802,6000,5997,498000.0,497751.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8298.076993110257,99.97683124229226,10003.15121707236,5167.251550474902,24052.0,5.0,1.19981224E8,20000.20403400568,2776.903749536242,27709.0,10591.0,1.19995417E8,20012.57788525685,5462.967286168389,117249.0,81.0,0,0,0,0,48000,47976,50.000915850108655,49.9759153921836,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.00691839626573,83.0,83.0,0,0,0,0,0,0,6000,498000,5997,497751,-1,-1,6000,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:33:49 上午,98999061,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040442363387669,3.2999687E7,4887.862518524841,3.3004727E7,3.2994967E7,6.5999694E7,3.2999847E7,6901.362184380704,3.3004727E7,3.2994967E7,0,0,0,0,0,0,0,0,0,0,0,0.03030331772540752,0.010101105908469172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.2999687E7,4887.862518524841,3.3004727E7,3.2994967E7,No Label
10.8.8.222-10.8.8.223-137-137-17,10.8.8.222,137,10.8.8.223,137,17,23/05/2015 12:35:09 上午,117321639,20,1,1000.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,8.94975563715062,0.17899511274301239,5866081.950000001,1.6582720665210983E7,7.2533142E7,28.0,1.16571446E8,6135339.263157893,1.69921486089672E7,7.2533142E7,28.0,0,0,0,0,0,0,0,0,0,160,8,0.1704715359457261,0.008523576797286304,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,52.38095238095238,50.0,50.0,0,0,0,0,0,0,20,1000,1,50,-1,-1,20,0,1500781.0,734.94965813993,1501620.0,1500251.0,3.6061645666666664E7,3.16531820835317E7,7.2533142E7,1.5753121E7,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,23/05/2015 12:35:20 上午,119994131,6000,5996,498000.0,497668.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8297.639157035106,99.97155610885669,10003.679116298466,5455.058766401979,25199.0,10.0,1.19979203E8,19999.86714452406,2746.0634475563465,26611.0,12424.0,1.19982892E8,20013.826855712985,5551.235321196895,188073.0,52.0,0,0,0,0,48000,47968,50.00244553627377,49.96911057258292,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.006918972991,83.0,83.0,0,0,0,0,0,0,6000,498000,5996,497668,-1,-1,6000,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:36:01 上午,99001470,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404034404741667,3.300049E7,3029.394659003676,3.3002414E7,3.2996998E7,6.5999056E7,3.2999528E7,3577.9603128039303,3.3002058E7,3.2996998E7,0,0,0,0,0,0,0,0,0,0,0,0.03030258035562502,0.010100860118541674,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.300049E7,3029.394659003676,3.3002414E7,3.2996998E7,No Label
10.8.8.222-77.72.169.162-44886-6901-17,10.8.8.222,44886,77.72.169.162,6901,17,23/05/2015 12:35:42 上午,128857,0,2,0.0,74.0,0,0,0,0,44.0,30.0,37.0,9.899494936611665,574.2800158315032,15.521081508959544,128857.0,0.0,128857.0,128857.0,0,0,0,0,0,128857.0,128857.0,0.0,128857.0,128857.0,0,0,0,0,0,16,0.0,15.521081508959544,30.0,44.0,34.666666666666664,8.082903768654761,65.33333333333334,0,0,0,0,0,0,0,0,0.0,52.0,0.0,37.0,0,0,0,0,0,0,0,0,2,74,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-77.72.169.133-53075-11113-17,10.8.8.222,53075,77.72.169.133,11113,17,23/05/2015 12:35:57 上午,130799,1,3,18.0,193.0,18.0,18.0,18.0,0.0,108.0,18.0,64.33333333333333,45.05922029211484,1613.162180138992,30.581273557137287,43599.66666666667,75172.28458902478,130401.0,62.0,0,0,0,0,0,130737.0,65368.5,91969.8434950283,130401.0,336.0,0,0,0,0,8,24,7.645318389284322,22.935955167852967,18.0,108.0,63.8,45.03554152000395,2028.1999999999998,0,0,0,0,0,0,0,0,3.0,79.75,18.0,64.33333333333333,0,0,0,0,0,0,1,18,3,193,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.8.8.222-80.239.235.110-53075-11666-17,10.8.8.222,53075,80.239.235.110,11666,17,23/05/2015 12:37:20 上午,119995300,6000,5993,498000.0,497419.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8295.483239760224,99.94558120193041,10006.279186124111,5735.516986180445,24542.0,9.0,1.19982348E8,20000.391398566386,2758.7331995177415,27808.0,12432.0,1.199953E8,20025.917890520574,6420.196970184857,213746.0,67.0,0,0,0,0,48000,47944,50.00195841003772,49.94362279189268,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.00692070374384,83.0,83.0,0,0,0,0,0,0,6000,498000,5993,497419,-1,-1,6000,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:38:13 上午,98996442,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04040549255295458,3.2998814E7,4707.9858750850135,3.3004249E7,3.2995993E7,6.6000242E7,3.3000121E7,5837.873585476136,3.3004249E7,3.2995993E7,0,0,0,0,0,0,0,0,0,0,0,0.030304119414715936,0.010101373138238645,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,3.2998814E7,4707.9858750850135,3.3004249E7,3.2995993E7,No Label
10.8.8.222-77.72.169.133-53075-11113-17,10.8.8.222,53075,77.72.169.133,11113,17,23/05/2015 12:38:38 上午,132700,0,2,0.0,136.0,0,0,0,0,118.0,18.0,68.0,70.71067811865476,1024.8681235870383,15.071590052750564,132700.0,0.0,132700.0,132700.0,0,0,0,0,0,132700.0,132700.0,0.0,132700.0,132700.0,0,0,0,0,0,16,0.0,15.071590052750564,18.0,118.0,84.66666666666666,57.735026918962575,3333.3333333333335,0,0,0,0,0,0,0,0,0.0,127.0,0.0,68.0,0,0,0,0,0,0,0,0,2,136,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
