Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:33:22 上午,119999408,5994,6002,497502.0,498166.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8297.274266553048,99.96715983798853,10004.119049604058,6898.771999279914,24445.0,6.0,1.1996219E8,20017.051560153515,5647.398861958742,114866.0,65.0,1.19999408E8,19996.568571904612,3242.490538254828,26060.0,1192.0,0,0,0,0,47952,48016,49.950246421215674,50.01691341677285,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.006918972991,83.0,83.0,0,0,0,0,0,0,5994,497502,6002,498166,-1,-1,5994,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:33:23 上午,84002921,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035713043835701855,4.20014605E7,10393.762576661062,4.200881E7,4.1994111E7,4.200881E7,4.200881E7,0.0,4.200881E7,4.200881E7,0,0,0,0,0,0,0,0,0,0,0,0.023808695890467906,0.011904347945233953,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.20014605E7,10393.762576661062,4.200881E7,4.1994111E7,No Label
10.8.8.246-77.72.169.160-19729-6901-17,10.8.8.246,19729,77.72.169.160,6901,17,23/05/2015 12:34:30 上午,134745,0,2,0.0,72.0,0,0,0,0,42.0,30.0,36.0,8.48528137423857,534.3426472225315,14.842851311736984,134745.0,0.0,134745.0,134745.0,0,0,0,0,0,134745.0,134745.0,0.0,134745.0,134745.0,0,0,0,0,0,16,0.0,14.842851311736984,30.0,42.0,34.0,6.928203230275509,48.0,0,0,0,0,0,0,0,0,0.0,51.0,0.0,36.0,0,0,0,0,0,0,0,0,2,72,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:35:22 上午,119982390,5992,6000,497336.0,498000.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8295.684058302222,99.94800070243642,10006.03702777086,7048.286270275422,24185.0,1.0,1.19965198E8,20024.236020697743,5675.391596268576,198767.0,91.0,1.1998239E8,20000.39839973335,3372.0681103863376,34170.0,5473.0,0,0,0,0,47936,48000,49.94066212550025,50.00733857693617,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.0069212808539,83.0,83.0,0,0,0,0,0,0,5992,497336,6000,498000,-1,-1,5992,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:35:29 上午,84002103,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571339160401734,4.20010515E7,10662.46315351195,4.2008591E7,4.1993512E7,4.1993512E7,4.1993512E7,0.0,4.1993512E7,4.1993512E7,0,0,0,0,0,0,0,0,0,0,0,0.02380892773601156,0.01190446386800578,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.20010515E7,10662.46315351195,4.2008591E7,4.1993512E7,No Label
10.8.8.246-10.8.8.247-137-137-17,10.8.8.246,137,10.8.8.247,137,17,23/05/2015 12:33:47 上午,81014002,47,1,2350.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,29.624508612721044,0.5924901722544209,1723702.170212766,2191284.9708975637,9010942.0,66437.0,8.0264561E7,1744881.7608695657,2210629.6368470252,9010942.0,66437.0,0,0,0,0,0,0,0,0,0,376,8,0.5801466269991205,0.012343545255300434,50.0,50.0,50.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,51.041666666666664,50.0,50.0,0,0,0,0,0,0,47,2350,1,50,-1,-1,47,0,1.212668725E7,1.0685622965760281E7,2.7656226E7,3718970.0,7751467.0,1071242.5509155244,9010942.0,6549396.0,No Label
8.8.8.8-10.8.8.246-53-64162-17,10.8.8.246,64162,8.8.8.8,53,17,23/05/2015 12:33:50 上午,107585027,1,3,40.0,256.0,40.0,40.0,40.0,0.0,108.0,40.0,85.33333333333333,39.25981830489455,2.7513122248879487,0.03717989493091822,3.586167566666667E7,6.19065688152999E7,1.07345224E8,119041.0,0,0,0,0,0,1.07585027E8,5.37925135E7,7.590575274915935E7,1.07465986E8,119041.0,0,0,0,0,8,24,0.009294973732729556,0.027884921198188667,40.0,108.0,67.2,37.2451339103513,1387.2,0,0,0,0,0,0,0,0,3.0,84.0,40.0,85.33333333333333,0,0,0,0,0,0,1,40,3,256,-1,-1,1,0,119041.0,0.0,119041.0,119041.0,1.07345224E8,0.0,1.07345224E8,1.07345224E8,No Label
10.8.8.246-80.239.235.110-60245-11666-17,80.239.235.110,11666,10.8.8.246,60245,17,23/05/2015 12:37:22 上午,119995160,5997,6001,497751.0,498083.0,83.0,83.0,83.0,0.0,83.0,83.0,83.0,0.0,8298.951391039438,99.98736615710168,10002.097190964378,7158.211109277559,24410.0,10.0,1.19978146E8,20009.697464976616,6194.547062077037,206433.0,90.0,1.1999516E8,19999.19333333332,3418.3923708407738,25728.0,5887.0,0,0,0,0,47976,48008,49.97701573963483,50.01035041746684,83.0,83.0,83.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,83.00691781963661,83.0,83.0,0,0,0,0,0,0,5997,497751,6001,498083,-1,-1,5997,0,0,0,0,0,0,0,0,0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,23/05/2015 12:37:35 上午,84004010,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035712580863699245,4.2002005E7,17660.69896691521,4.2014493E7,4.1989517E7,4.2014493E7,4.2014493E7,0.0,4.2014493E7,4.2014493E7,0,0,0,0,0,0,0,0,0,0,0,0.023808387242466166,0.011904193621233083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,4.2002005E7,17660.69896691521,4.2014493E7,4.1989517E7,No Label
10.8.8.246-77.72.169.133-60245-11113-17,10.8.8.246,60245,77.72.169.133,11113,17,23/05/2015 12:36:05 上午,80845147,2,4,136.0,211.0,118.0,18.0,68.0,70.71067811865476,108.0,18.0,52.75,43.477005416656745,4.292156213161441,0.07421595757627851,1.61690294E7,3.60061636334315E7,8.0578703E7,62.0,8.0578703E7,8.0578703E7,0.0,8.0578703E7,8.0578703E7,8.0845147E7,2.6948382333333332E7,4.6561994613420814E7,8.0713489E7,93.0,0,0,0,0,16,32,0.02473865252542617,0.04947730505085234,18.0,118.0,65.0,46.7938742429676,2189.6666666666665,0,0,0,0,0,0,0,0,2.0,75.83333333333333,68.0,52.75,0,0,0,0,0,0,2,136,4,211,-1,-1,2,0,131720.0,0.0,131720.0,131720.0,8.0578703E7,0.0,8.0578703E7,8.0578703E7,No Label
